Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,17.639999,18.299999,17.51,18.200001,16.532631,2276000
1/3/2018,18.299999,18.59,18.129999,18.530001,16.832397,2112700
1/4/2018,18.41,18.549999,17.040001,18.200001,16.532631,3580800
1/5/2018,18.200001,18.540001,17.99,18.280001,16.605297,2288900
1/8/2018,18.41,18.559999,17.950001,18.309999,16.632549,2417900
1/9/2018,18.1,18.120001,17.32,17.52,15.914924,2638000
1/10/2018,17.5,18.74,17.440001,18.280001,16.605297,2932600
1/11/2018,18.5,19.219999,18.139999,19.08,17.332005,2311700
1/12/2018,19.219999,19.6,19.09,19.1,17.350178,1935400
1/16/2018,19.209999,19.219999,18.58,18.59,16.8869,1988100
1/17/2018,18.709999,18.969999,18.5,18.860001,17.132162,1599000
1/18/2018,18.860001,19.040001,18.700001,18.950001,17.213919,918000
1/19/2018,19.280001,20.08,19.280001,19.92,18.095053,2789600
1/22/2018,20.959999,22.5,20.83,22.43,20.375103,7673600
1/23/2018,22.639999,23.530001,22.41,23.059999,20.947386,4304700
1/24/2018,23.09,23.09,21.4,21.85,19.848236,4068400
1/25/2018,22.040001,22.1,21.120001,21.51,19.539385,2292500
1/26/2018,21.66,22.48,21.290001,22.209999,20.175255,1943500
1/29/2018,22.049999,22.440001,21.68,21.870001,19.866405,1632300
1/30/2018,21.65,21.719999,20.98,21.34,19.38496,2004600
1/31/2018,21.459999,21.57,20.219999,20.709999,18.812675,2052400
2/1/2018,20.469999,21.059999,20.110001,20.52,18.640083,1710900
2/2/2018,20.309999,21.139999,20.190001,20.540001,18.658253,2705100
2/5/2018,20.16,21.030001,19.83,19.83,18.013294,2738700
2/6/2018,19.309999,20.66,19.15,20.379999,18.512909,3380600
2/7/2018,20.450001,21.700001,20.32,21.549999,19.575718,3783300
2/8/2018,21.58,21.66,20.110001,20.129999,18.285809,3116200
2/9/2018,20.6,20.99,19.66,20.65,18.758177,2373800
2/12/2018,20.74,20.9,19.780001,20.190001,18.340319,1409800
2/13/2018,20.139999,20.940001,20.129999,20.91,18.994354,1486600
2/14/2018,20.75,22.030001,20.379999,22,19.984497,2370300
2/15/2018,22.15,22.23,21.030001,22.09,20.06625,1836300
2/16/2018,22.02,22.6,21.66,21.92,19.911823,1802100
2/20/2018,21.73,22.07,21.32,21.5,19.5303,1422800
2/21/2018,21.629999,22.049999,21.370001,21.389999,19.43038,1012800
2/22/2018,21.57,21.91,21.139999,21.43,19.466713,2548800
2/23/2018,21.620001,21.709999,20.459999,20.93,19.012524,2569500
2/26/2018,20.969999,21.42,20.940001,21.120001,19.185114,1914200
2/27/2018,21.459999,22.4,20.75,20.91,18.994354,3439200
2/28/2018,21.1,21.51,20.540001,20.629999,18.740005,1875300
3/1/2018,20.540001,20.85,19.809999,20.280001,18.422073,2382500
3/2/2018,20.02,20.75,19.809999,20.68,18.785425,1659800
3/5/2018,20.629999,20.969999,20.299999,20.68,18.785425,2358400
3/6/2018,20.790001,21.59,20.5,21.35,19.394043,4596500
3/7/2018,22.9,24.52,22.16,23.889999,21.701344,13973000
3/8/2018,23.719999,23.790001,22.219999,22.35,20.473829,7520400
3/9/2018,22.42,22.82,21.780001,22.299999,20.428028,3793200
3/12/2018,22.299999,22.690001,21.74,21.879999,20.043285,3571700
3/13/2018,21.9,22.4,21.83,22.15,20.290621,3223400
3/14/2018,22.33,22.610001,21.75,22.049999,20.199013,2219300
3/15/2018,22.1,22.299999,21.780001,22.049999,20.199013,2234900
3/16/2018,22.030001,22.860001,21.790001,22.48,20.592916,2814700
3/19/2018,22.48,23.09,22.360001,22.639999,20.739485,2642600
3/20/2018,22.469999,23.08,22.24,22.93,21.005142,1858900
3/21/2018,22.940001,23.719999,22.85,23.5,21.527294,2609500
3/22/2018,23.17,23.65,22.620001,23.08,21.142551,3089700
3/23/2018,23.17,23.940001,23.17,23.25,21.298283,2225900
3/26/2018,23.57,24.42,23.51,24.35,22.305944,2354900
3/27/2018,24.299999,24.299999,23.530001,23.59,21.609743,2753900
3/28/2018,23.65,24.360001,23.309999,23.639999,21.655542,1809400
3/29/2018,23.639999,24.32,23.639999,24.209999,22.177692,2114400
4/2/2018,24.120001,24.32,23.27,23.780001,21.783791,2351300
4/3/2018,23.93,24.950001,23.889999,24.870001,22.78229,3900400
4/4/2018,24.58,26.35,24.559999,26.299999,24.092247,3785200
4/5/2018,26.42,26.809999,26.01,26.67,24.43119,3434500
4/6/2018,26.49,27.540001,26.290001,27.35,25.054106,4715200
