Date,Trend
10/1/2023,84
10/2/2023,77
10/3/2023,72
10/4/2023,73
10/5/2023,74
10/6/2023,75
10/7/2023,82
10/8/2023,82
10/9/2023,75
10/10/2023,75
10/11/2023,72
10/12/2023,72
10/13/2023,74
10/14/2023,75
10/15/2023,79
10/16/2023,73
10/17/2023,71
10/18/2023,71
10/19/2023,69
10/20/2023,69
10/21/2023,73
10/22/2023,75
10/23/2023,71
10/24/2023,70
10/25/2023,71
10/26/2023,68
10/27/2023,71
10/28/2023,72
10/29/2023,71
10/30/2023,71
10/31/2023,81
11/1/2023,74
11/2/2023,72
11/3/2023,76
11/4/2023,71
11/5/2023,72
11/6/2023,71
11/7/2023,70
11/8/2023,67
11/9/2023,71
11/10/2023,72
11/11/2023,74
11/12/2023,72
11/13/2023,72
11/14/2023,73
11/15/2023,71
11/16/2023,71
11/17/2023,75
11/18/2023,84
11/19/2023,82
11/20/2023,79
11/21/2023,80
11/22/2023,86
11/23/2023,89
11/24/2023,99
11/25/2023,89
11/26/2023,85
11/27/2023,78
11/28/2023,78
11/29/2023,84
11/30/2023,79
12/1/2023,76
12/2/2023,78
12/3/2023,73
12/4/2023,67
12/5/2023,66
12/6/2023,70
12/7/2023,69
12/8/2023,76
12/9/2023,73
12/10/2023,73
12/11/2023,71
12/12/2023,71
12/13/2023,69
12/14/2023,68
12/15/2023,70
12/16/2023,76
12/17/2023,75
12/18/2023,70
12/19/2023,72
12/20/2023,78
12/21/2023,78
12/22/2023,75
12/23/2023,79
12/24/2023,82
12/25/2023,100
12/26/2023,93
12/27/2023,86
12/28/2023,81
12/29/2023,78
12/30/2023,77
12/31/2023,72
1/1/2024,73
1/2/2024,75
1/3/2024,74
1/4/2024,73
1/5/2024,72
1/6/2024,74
1/7/2024,74
1/8/2024,70
1/9/2024,70
1/10/2024,69
1/11/2024,68
1/12/2024,68
1/13/2024,72
1/14/2024,74
1/15/2024,65
1/16/2024,63
1/17/2024,68
1/18/2024,66
1/19/2024,66
1/20/2024,69
1/21/2024,71
1/22/2024,68
1/23/2024,65
1/24/2024,65
1/25/2024,64
1/26/2024,69
1/27/2024,72
1/28/2024,75
1/29/2024,70
1/30/2024,72
1/31/2024,70
2/1/2024,70
2/2/2024,72
2/3/2024,83
2/4/2024,92
2/5/2024,90
2/6/2024,81
2/7/2024,81
2/8/2024,84
2/9/2024,80
2/10/2024,80
2/11/2024,80
2/12/2024,67
2/13/2024,73
2/14/2024,72
2/15/2024,70
2/16/2024,73
2/17/2024,72
2/18/2024,73
2/19/2024,68
2/20/2024,67
2/21/2024,69
2/22/2024,71
2/23/2024,69
2/24/2024,74
2/25/2024,73
2/26/2024,69
2/27/2024,68
2/28/2024,67
2/29/2024,68
3/1/2024,68
3/2/2024,70
3/3/2024,71
3/4/2024,72
3/5/2024,71
3/6/2024,71
3/7/2024,68
3/8/2024,68
3/9/2024,69
3/10/2024,70
3/11/2024,65
3/12/2024,64
3/13/2024,63
3/14/2024,63
3/15/2024,63
3/16/2024,70
3/17/2024,68
3/18/2024,67
3/19/2024,68
3/20/2024,66
3/21/2024,68
3/22/2024,66
3/23/2024,70
3/24/2024,72
3/25/2024,62
3/26/2024,66
3/27/2024,66
3/28/2024,64
3/29/2024,68
3/30/2024,69
3/31/2024,68
4/1/2024,67
4/2/2024,67
4/3/2024,67
4/4/2024,66
4/5/2024,66
4/6/2024,70
4/7/2024,71
4/8/2024,68
4/9/2024,64
4/10/2024,68
4/11/2024,67
4/12/2024,69
4/13/2024,68
4/14/2024,67
4/15/2024,64
4/16/2024,63
4/17/2024,63
4/18/2024,63
4/19/2024,68
4/20/2024,65
4/21/2024,70
4/22/2024,66
4/23/2024,61
4/24/2024,65
4/25/2024,65
4/26/2024,65
4/27/2024,67
4/28/2024,69
4/29/2024,62
4/30/2024,66
5/1/2024,66
5/2/2024,65
5/3/2024,70
5/4/2024,67
5/5/2024,69
5/6/2024,67
5/7/2024,80
5/8/2024,75
5/9/2024,70
5/10/2024,71
5/11/2024,69
5/12/2024,71
5/13/2024,67
5/14/2024,67
5/15/2024,67
5/16/2024,67
5/17/2024,65
5/18/2024,68
5/19/2024,66
5/20/2024,66
5/21/2024,69
5/22/2024,66
5/23/2024,66
5/24/2024,67
5/25/2024,68
5/26/2024,68
5/27/2024,59
5/28/2024,66
5/29/2024,64
5/30/2024,65
5/31/2024,62
6/1/2024,68
