,Date,Trend,isPartial
0,2023-10-01,20,False
1,2023-10-02,23,False
2,2023-10-03,21,False
3,2023-10-04,19,False
4,2023-10-05,19,False
5,2023-10-06,18,False
6,2023-10-07,16,False
7,2023-10-08,16,False
8,2023-10-09,18,False
9,2023-10-10,18,False
10,2023-10-11,18,False
11,2023-10-12,17,False
12,2023-10-13,18,False
13,2023-10-14,16,False
14,2023-10-15,17,False
15,2023-10-16,20,False
16,2023-10-17,18,False
17,2023-10-18,18,False
18,2023-10-19,19,False
19,2023-10-20,20,False
20,2023-10-21,19,False
21,2023-10-22,20,False
22,2023-10-23,26,False
23,2023-10-24,36,False
24,2023-10-25,26,False
25,2023-10-26,27,False
26,2023-10-27,24,False
27,2023-10-28,21,False
28,2023-10-29,24,False
29,2023-10-30,25,False
30,2023-10-31,25,False
31,2023-11-01,28,False
32,2023-11-02,33,False
33,2023-11-03,31,False
34,2023-11-04,28,False
35,2023-11-05,35,False
36,2023-11-06,44,False
37,2023-11-07,36,False
38,2023-11-08,35,False
39,2023-11-09,42,False
40,2023-11-10,39,False
41,2023-11-11,36,False
42,2023-11-12,32,False
43,2023-11-13,32,False
44,2023-11-14,32,False
45,2023-11-15,31,False
46,2023-11-16,35,False
47,2023-11-17,29,False
48,2023-11-18,27,False
49,2023-11-19,29,False
50,2023-11-20,32,False
51,2023-11-21,28,False
52,2023-11-22,27,False
53,2023-11-23,28,False
54,2023-11-24,27,False
55,2023-11-25,29,False
56,2023-11-26,26,False
57,2023-11-27,27,False
58,2023-11-28,26,False
59,2023-11-29,26,False
60,2023-11-30,27,False
61,2023-12-01,27,False
62,2023-12-02,28,False
63,2023-12-03,28,False
64,2023-12-04,40,False
65,2023-12-05,41,False
66,2023-12-06,52,False
67,2023-12-07,40,False
68,2023-12-08,100,False
69,2023-12-09,98,False
70,2023-12-10,61,False
71,2023-12-11,54,False
72,2023-12-12,50,False
73,2023-12-13,57,False
74,2023-12-14,64,False
75,2023-12-15,50,False
76,2023-12-16,48,False
77,2023-12-17,38,False
78,2023-12-18,43,False
79,2023-12-19,42,False
80,2023-12-20,40,False
81,2023-12-21,45,False
82,2023-12-22,45,False
83,2023-12-23,39,False
84,2023-12-24,41,False
85,2023-12-25,44,False
86,2023-12-26,45,False
87,2023-12-27,43,False
88,2023-12-28,46,False
89,2023-12-29,41,False
90,2023-12-30,33,False
91,2023-12-31,34,False
92,2024-01-01,36,False
93,2024-01-02,49,False
94,2024-01-03,44,False
95,2024-01-04,38,False
96,2024-01-05,34,False
97,2024-01-06,31,False
98,2024-01-07,34,False
99,2024-01-08,43,False
100,2024-01-09,38,False
101,2024-01-10,38,False
102,2024-01-11,58,False
103,2024-01-12,38,False
104,2024-01-13,32,False
105,2024-01-14,31,False
106,2024-01-15,33,False
107,2024-01-16,30,False
108,2024-01-17,29,False
109,2024-01-18,28,False
110,2024-01-19,28,False
111,2024-01-20,25,False
112,2024-01-21,24,False
113,2024-01-22,27,False
114,2024-01-23,29,False
115,2024-01-24,26,False
116,2024-01-25,25,False
117,2024-01-26,24,False
118,2024-01-27,21,False
119,2024-01-28,23,False
120,2024-01-29,28,False
121,2024-01-30,30,False
122,2024-01-31,25,False
123,2024-02-01,22,False
124,2024-02-02,26,False
125,2024-02-03,20,False
126,2024-02-04,21,False
127,2024-02-05,23,False
128,2024-02-06,21,False
129,2024-02-07,25,False
130,2024-02-08,29,False
131,2024-02-09,32,False
132,2024-02-10,26,False
133,2024-02-11,31,False
134,2024-02-12,31,False
135,2024-02-13,32,False
136,2024-02-14,42,False
137,2024-02-15,44,False
138,2024-02-16,33,False
139,2024-02-17,30,False
140,2024-02-18,42,False
141,2024-02-19,41,False
142,2024-02-20,40,False
