Date,Trend
10/1/2023,18
10/2/2023,20
10/3/2023,17
10/4/2023,16
10/5/2023,16
10/6/2023,16
10/7/2023,13
10/8/2023,13
10/9/2023,15
10/10/2023,14
10/11/2023,15
10/12/2023,12
10/13/2023,14
10/14/2023,13
10/15/2023,15
10/16/2023,15
10/17/2023,15
10/18/2023,14
10/19/2023,16
10/20/2023,17
10/21/2023,18
10/22/2023,17
10/23/2023,21
10/24/2023,34
10/25/2023,26
10/26/2023,26
10/27/2023,22
10/28/2023,19
10/29/2023,21
10/30/2023,25
10/31/2023,22
11/1/2023,27
11/2/2023,31
11/3/2023,30
11/4/2023,28
11/5/2023,34
11/6/2023,42
11/7/2023,31
11/8/2023,32
11/9/2023,42
11/10/2023,39
11/11/2023,37
11/12/2023,33
11/13/2023,31
11/14/2023,31
11/15/2023,30
11/16/2023,36
11/17/2023,28
11/18/2023,25
11/19/2023,28
11/20/2023,30
11/21/2023,27
11/22/2023,26
11/23/2023,26
11/24/2023,28
11/25/2023,28
11/26/2023,25
11/27/2023,26
11/28/2023,26
11/29/2023,25
11/30/2023,24
12/1/2023,26
12/2/2023,27
12/3/2023,29
12/4/2023,42
12/5/2023,40
12/6/2023,54
12/7/2023,43
12/8/2023,98
12/9/2023,100
12/10/2023,69
12/11/2023,60
12/12/2023,57
12/13/2023,62
12/14/2023,70
12/15/2023,56
12/16/2023,51
12/17/2023,43
12/18/2023,44
12/19/2023,44
12/20/2023,43
12/21/2023,47
12/22/2023,48
12/23/2023,43
12/24/2023,42
12/25/2023,48
12/26/2023,44
12/27/2023,44
12/28/2023,48
12/29/2023,43
12/30/2023,34
12/31/2023,35
1/1/2024,39
1/2/2024,51
1/3/2024,45
1/4/2024,38
1/5/2024,36
1/6/2024,32
1/7/2024,36
1/8/2024,43
1/9/2024,40
1/10/2024,42
1/11/2024,59
1/12/2024,40
1/13/2024,32
1/14/2024,31
1/15/2024,32
1/16/2024,31
1/17/2024,29
1/18/2024,28
1/19/2024,28
1/20/2024,25
1/21/2024,23
1/22/2024,27
1/23/2024,30
1/24/2024,23
1/25/2024,23
1/26/2024,21
1/27/2024,20
1/28/2024,22
1/29/2024,26
1/30/2024,30
1/31/2024,23
2/1/2024,21
2/2/2024,23
2/3/2024,19
2/4/2024,21
2/5/2024,21
2/6/2024,20
2/7/2024,23
2/8/2024,27
2/9/2024,32
2/10/2024,25
2/11/2024,33
2/12/2024,31
2/13/2024,35
2/14/2024,43
2/15/2024,46
2/16/2024,37
2/17/2024,29
2/18/2024,46
2/19/2024,43
2/20/2024,40
2/21/2024,34
2/22/2024,32
2/23/2024,27
2/24/2024,27
2/25/2024,27
2/26/2024,35
2/27/2024,47
2/28/2024,61
2/29/2024,76
3/1/2024,58
3/2/2024,76
3/3/2024,57
3/4/2024,92
3/5/2024,79
3/6/2024,68
3/7/2024,59
3/8/2024,56
3/9/2024,51
3/10/2024,48
3/11/2024,67
3/12/2024,55
3/13/2024,60
3/14/2024,59
3/15/2024,50
3/16/2024,41
3/17/2024,42
3/18/2024,45
3/19/2024,44
3/20/2024,44
3/21/2024,37
3/22/2024,33
3/23/2024,29
3/24/2024,34
3/25/2024,38
3/26/2024,37
3/27/2024,35
3/28/2024,34
3/29/2024,29
3/30/2024,27
3/31/2024,30
4/1/2024,31
4/2/2024,31
4/3/2024,30
4/4/2024,31
4/5/2024,26
4/6/2024,24
4/7/2024,27
4/8/2024,34
4/9/2024,28
4/10/2024,25
4/11/2024,24
4/12/2024,31
4/13/2024,33
4/14/2024,29
4/15/2024,30
4/16/2024,25
4/17/2024,22
4/18/2024,24
4/19/2024,24
4/20/2024,29
4/21/2024,23
4/22/2024,29
4/23/2024,24
4/24/2024,25
4/25/2024,22
4/26/2024,20
4/27/2024,22
4/28/2024,19
4/29/2024,20
4/30/2024,21
5/1/2024,23
5/2/2024,20
5/3/2024,22
5/4/2024,19
5/5/2024,18
5/6/2024,22
5/7/2024,21
5/8/2024,21
5/9/2024,20
5/10/2024,19
5/11/2024,15
5/12/2024,17
5/13/2024,18
5/14/2024,18
5/15/2024,21
5/16/2024,21
5/17/2024,22
5/18/2024,21
5/19/2024,18
5/20/2024,22
5/21/2024,26
5/22/2024,21
5/23/2024,21
5/24/2024,21
5/25/2024,18
5/26/2024,20
5/27/2024,21
5/28/2024,18
5/29/2024,19
5/30/2024,19
5/31/2024,17
6/1/2024,14
