,Date,Trend,isPartial
0,2023-10-01,52,False
1,2023-10-02,90,False
2,2023-10-03,84,False
3,2023-10-04,81,False
4,2023-10-05,80,False
5,2023-10-06,86,False
6,2023-10-07,66,False
7,2023-10-08,44,False
8,2023-10-09,78,False
9,2023-10-10,81,False
10,2023-10-11,81,False
11,2023-10-12,80,False
12,2023-10-13,89,False
13,2023-10-14,66,False
14,2023-10-15,53,False
15,2023-10-16,81,False
16,2023-10-17,80,False
17,2023-10-18,78,False
18,2023-10-19,73,False
19,2023-10-20,81,False
20,2023-10-21,62,False
21,2023-10-22,42,False
22,2023-10-23,78,False
23,2023-10-24,74,False
24,2023-10-25,74,False
25,2023-10-26,70,False
26,2023-10-27,78,False
27,2023-10-28,55,False
28,2023-10-29,41,False
29,2023-10-30,80,False
30,2023-10-31,77,False
31,2023-11-01,87,False
32,2023-11-02,80,False
33,2023-11-03,95,False
34,2023-11-04,69,False
35,2023-11-05,50,False
36,2023-11-06,81,False
37,2023-11-07,81,False
38,2023-11-08,77,False
39,2023-11-09,73,False
40,2023-11-10,86,False
41,2023-11-11,59,False
42,2023-11-12,41,False
43,2023-11-13,77,False
44,2023-11-14,77,False
45,2023-11-15,78,False
46,2023-11-16,76,False
47,2023-11-17,80,False
48,2023-11-18,62,False
49,2023-11-19,41,False
50,2023-11-20,74,False
51,2023-11-21,72,False
52,2023-11-22,70,False
53,2023-11-23,36,False
54,2023-11-24,63,False
55,2023-11-25,55,False
56,2023-11-26,42,False
57,2023-11-27,79,False
58,2023-11-28,75,False
59,2023-11-29,75,False
60,2023-11-30,82,False
61,2023-12-01,95,False
62,2023-12-02,76,False
63,2023-12-03,48,False
64,2023-12-04,81,False
65,2023-12-05,80,False
66,2023-12-06,77,False
67,2023-12-07,80,False
68,2023-12-08,93,False
69,2023-12-09,68,False
70,2023-12-10,44,False
71,2023-12-11,80,False
72,2023-12-12,79,False
73,2023-12-13,78,False
74,2023-12-14,77,False
75,2023-12-15,90,False
76,2023-12-16,64,False
77,2023-12-17,46,False
78,2023-12-18,73,False
79,2023-12-19,80,False
80,2023-12-20,80,False
81,2023-12-21,78,False
82,2023-12-22,85,False
83,2023-12-23,65,False
84,2023-12-24,40,False
85,2023-12-25,32,False
86,2023-12-26,76,False
87,2023-12-27,88,False
88,2023-12-28,83,False
89,2023-12-29,94,False
90,2023-12-30,69,False
91,2023-12-31,45,False
92,2024-01-01,48,False
93,2024-01-02,88,False
94,2024-01-03,89,False
95,2024-01-04,83,False
96,2024-01-05,88,False
97,2024-01-06,69,False
98,2024-01-07,45,False
99,2024-01-08,72,False
100,2024-01-09,77,False
101,2024-01-10,72,False
102,2024-01-11,77,False
103,2024-01-12,87,False
104,2024-01-13,64,False
105,2024-01-14,45,False
106,2024-01-15,58,False
107,2024-01-16,77,False
108,2024-01-17,79,False
109,2024-01-18,72,False
110,2024-01-19,85,False
111,2024-01-20,62,False
112,2024-01-21,46,False
113,2024-01-22,72,False
114,2024-01-23,75,False
115,2024-01-24,77,False
