,Date,Trend
0,2022-01-16,57
1,2022-01-17,32
2,2022-01-18,37
3,2022-01-19,34
4,2022-01-20,35
5,2022-01-21,70
6,2022-01-22,93
7,2022-01-23,67
8,2022-01-24,71
9,2022-01-25,57
10,2022-01-26,59
11,2022-01-27,52
12,2022-01-28,52
13,2022-01-29,48
14,2022-01-30,44
15,2022-01-31,45
16,2022-02-01,51
17,2022-02-02,46
18,2022-02-03,45
19,2022-02-04,48
20,2022-02-05,49
21,2022-02-06,40
22,2022-02-07,51
23,2022-02-08,47
24,2022-02-09,45
25,2022-02-10,37
26,2022-02-11,41
27,2022-02-12,38
28,2022-02-13,34
29,2022-02-14,38
30,2022-02-15,39
31,2022-02-16,35
32,2022-02-17,38
33,2022-02-18,39
34,2022-02-19,34
35,2022-02-20,41
36,2022-02-21,43
37,2022-02-22,49
38,2022-02-23,38
39,2022-02-24,80
40,2022-02-25,55
41,2022-02-26,39
42,2022-02-27,40
43,2022-02-28,48
44,2022-03-01,54
45,2022-03-02,45
46,2022-03-03,41
47,2022-03-04,42
48,2022-03-05,37
49,2022-03-06,35
50,2022-03-07,44
51,2022-03-08,40
52,2022-03-09,42
53,2022-03-10,40
54,2022-03-11,37
55,2022-03-12,32
56,2022-03-13,32
57,2022-03-14,36
58,2022-03-15,34
59,2022-03-16,36
60,2022-03-17,34
61,2022-03-18,36
62,2022-03-19,30
63,2022-03-20,28
64,2022-03-21,32
65,2022-03-22,34
66,2022-03-23,32
67,2022-03-24,34
68,2022-03-25,36
69,2022-03-26,31
70,2022-03-27,34
71,2022-03-28,42
72,2022-03-29,39
73,2022-03-30,35
74,2022-03-31,34
75,2022-04-01,33
76,2022-04-02,30
77,2022-04-03,28
78,2022-04-04,31
79,2022-04-05,30
80,2022-04-06,34
81,2022-04-07,32
82,2022-04-08,31
83,2022-04-09,28
84,2022-04-10,27
85,2022-04-11,36
86,2022-04-12,33
87,2022-04-13,32
88,2022-04-14,29
89,2022-04-15,28
90,2022-04-16,26
91,2022-04-17,25
92,2022-04-18,30
93,2022-04-19,28
94,2022-04-20,28
95,2022-04-21,26
96,2022-04-22,27
97,2022-04-23,24
98,2022-04-24,24
99,2022-04-25,30
100,2022-04-26,32
101,2022-04-27,29
102,2022-04-28,29
103,2022-04-29,28
104,2022-04-30,26
105,2022-05-01,27
106,2022-05-02,28
107,2022-05-03,28
108,2022-05-04,28
109,2022-05-05,34
110,2022-05-06,36
111,2022-05-07,29
112,2022-05-08,35
113,2022-05-09,60
114,2022-05-10,60
115,2022-05-11,70
116,2022-05-12,100
117,2022-05-13,77
118,2022-05-14,57
119,2022-05-15,49
120,2022-05-16,50
121,2022-05-17,45
122,2022-05-18,45
123,2022-05-19,44
124,2022-05-20,37
125,2022-05-21,37
126,2022-05-22,34
127,2022-05-23,35
128,2022-05-24,37
129,2022-05-25,34
130,2022-05-26,36
131,2022-05-27,36
132,2022-05-28,32
133,2022-05-29,29
