,Date,Trend
0,2021-09-05,52
1,2021-09-06,48
2,2021-09-07,77
3,2021-09-08,49
4,2021-09-09,47
5,2021-09-10,45
6,2021-09-11,57
7,2021-09-12,100
8,2021-09-13,70
9,2021-09-14,44
10,2021-09-15,42
11,2021-09-16,40
12,2021-09-17,30
13,2021-09-18,34
14,2021-09-19,33
15,2021-09-20,40
16,2021-09-21,41
17,2021-09-22,33
18,2021-09-23,32
19,2021-09-24,34
20,2021-09-25,46
21,2021-09-26,36
22,2021-09-27,31
23,2021-09-28,28
24,2021-09-29,27
25,2021-09-30,26
26,2021-10-01,27
27,2021-10-02,27
28,2021-10-03,27
29,2021-10-04,27
30,2021-10-05,29
31,2021-10-06,31
32,2021-10-07,32
33,2021-10-08,27
34,2021-10-09,24
35,2021-10-10,23
36,2021-10-11,26
37,2021-10-12,26
38,2021-10-13,26
39,2021-10-14,27
40,2021-10-15,31
41,2021-10-16,27
42,2021-10-17,25
43,2021-10-18,27
44,2021-10-19,29
45,2021-10-20,35
46,2021-10-21,33
47,2021-10-22,29
48,2021-10-23,26
49,2021-10-24,25
50,2021-10-25,30
51,2021-10-26,30
52,2021-10-27,36
53,2021-10-28,33
54,2021-10-29,33
55,2021-10-30,29
56,2021-10-31,29
57,2021-11-01,33
58,2021-11-02,33
59,2021-11-03,37
60,2021-11-04,32
61,2021-11-05,28
62,2021-11-06,27
63,2021-11-07,28
64,2021-11-08,35
65,2021-11-09,49
66,2021-11-10,39
67,2021-11-11,30
68,2021-11-12,29
69,2021-11-13,25
70,2021-11-14,25
71,2021-11-15,27
72,2021-11-16,28
73,2021-11-17,28
74,2021-11-18,29
75,2021-11-19,25
76,2021-11-20,24
77,2021-11-21,23
78,2021-11-22,26
79,2021-11-23,30
80,2021-11-24,50
81,2021-11-25,34
82,2021-11-26,32
83,2021-11-27,25
84,2021-11-28,30
85,2021-11-29,29
86,2021-11-30,28
87,2021-12-01,28
88,2021-12-02,35
89,2021-12-03,28
90,2021-12-04,32
91,2021-12-05,30
92,2021-12-06,31
93,2021-12-07,26
94,2021-12-08,25
95,2021-12-09,24
96,2021-12-10,25
97,2021-12-11,26
98,2021-12-12,23
99,2021-12-13,23
100,2021-12-14,24
101,2021-12-15,23
102,2021-12-16,22
103,2021-12-17,21
104,2021-12-18,19
105,2021-12-19,19
106,2021-12-20,20
107,2021-12-21,20
108,2021-12-22,21
109,2021-12-23,24
110,2021-12-24,24
111,2021-12-25,21
112,2021-12-26,21
113,2021-12-27,30
114,2021-12-28,25
115,2021-12-29,21
116,2021-12-30,19
117,2021-12-31,17
118,2022-01-01,21
119,2022-01-02,22
120,2022-01-03,21
121,2022-01-04,46
122,2022-01-05,20
123,2022-01-06,22
