,Date,Trend
0,2020-03-22,4
1,2020-03-23,7
2,2020-03-24,7
3,2020-03-25,6
4,2020-03-26,5
5,2020-03-27,4
6,2020-03-28,6
7,2020-03-29,6
8,2020-03-30,5
9,2020-03-31,6
10,2020-04-01,7
11,2020-04-02,5
12,2020-04-03,7
13,2020-04-04,5
14,2020-04-05,5
15,2020-04-06,7
16,2020-04-07,9
17,2020-04-08,11
18,2020-04-09,15
19,2020-04-10,10
20,2020-04-11,11
21,2020-04-12,16
22,2020-04-13,12
23,2020-04-14,10
24,2020-04-15,10
25,2020-04-16,10
26,2020-04-17,10
27,2020-04-18,11
28,2020-04-19,13
29,2020-04-20,11
30,2020-04-21,9
31,2020-04-22,10
32,2020-04-23,9
33,2020-04-24,10
34,2020-04-25,10
35,2020-04-26,9
36,2020-04-27,10
37,2020-04-28,9
38,2020-04-29,9
39,2020-04-30,11
40,2020-05-01,11
41,2020-05-02,10
42,2020-05-03,11
43,2020-05-04,9
44,2020-05-05,11
45,2020-05-06,9
46,2020-05-07,10
47,2020-05-08,10
48,2020-05-09,12
49,2020-05-10,11
50,2020-05-11,9
51,2020-05-12,9
52,2020-05-13,10
53,2020-05-14,9
54,2020-05-15,10
55,2020-05-16,9
56,2020-05-17,11
57,2020-05-18,9
58,2020-05-19,7
59,2020-05-20,11
60,2020-05-21,10
61,2020-05-22,9
62,2020-05-23,9
63,2020-05-24,8
64,2020-05-25,8
65,2020-05-26,8
66,2020-05-27,8
67,2020-05-28,8
68,2020-05-29,8
69,2020-05-30,9
70,2020-05-31,10
71,2020-06-01,11
72,2020-06-02,11
73,2020-06-03,10
74,2020-06-04,9
75,2020-06-05,8
76,2020-06-06,8
77,2020-06-07,8
78,2020-06-08,8
79,2020-06-09,8
80,2020-06-10,8
81,2020-06-11,8
82,2020-06-12,9
83,2020-06-13,7
84,2020-06-14,8
85,2020-06-15,9
86,2020-06-16,9
87,2020-06-17,9
88,2020-06-18,11
89,2020-06-19,8
90,2020-06-20,8
91,2020-06-21,7
92,2020-06-22,11
93,2020-06-23,19
94,2020-06-24,14
95,2020-06-25,12
96,2020-06-26,10
97,2020-06-27,10
98,2020-06-28,11
99,2020-06-29,9
100,2020-06-30,7
101,2020-07-01,8
102,2020-07-02,9
103,2020-07-03,10
104,2020-07-04,8
105,2020-07-05,7
106,2020-07-06,15
107,2020-07-07,28
108,2020-07-08,32
109,2020-07-09,19
110,2020-07-10,14
111,2020-07-11,16
112,2020-07-12,34
113,2020-07-13,62
114,2020-07-14,39
115,2020-07-15,46
116,2020-07-16,35
117,2020-07-17,25
118,2020-07-18,23
119,2020-07-19,20
120,2020-07-20,23
121,2020-07-21,19
122,2020-07-22,20
123,2020-07-23,21
124,2020-07-24,18
125,2020-07-25,14
126,2020-07-26,20
127,2020-07-27,28
128,2020-07-28,18
129,2020-07-29,16
130,2020-07-30,15
131,2020-07-31,19
132,2020-08-01,17
133,2020-08-02,22
134,2020-08-03,19
135,2020-08-04,41
136,2020-08-05,27
137,2020-08-06,26
138,2020-08-07,30
139,2020-08-08,76
140,2020-08-09,84
141,2020-08-10,52
142,2020-08-11,36
143,2020-08-12,60
144,2020-08-13,100
145,2020-08-14,55
146,2020-08-15,70
147,2020-08-16,64
148,2020-08-17,54
149,2020-08-18,61
150,2020-08-19,38
151,2020-08-20,31
152,2020-08-21,43
153,2020-08-22,30
154,2020-08-23,25
155,2020-08-24,24
156,2020-08-25,22
157,2020-08-26,22
158,2020-08-27,18
159,2020-08-28,18
160,2020-08-29,26
161,2020-08-30,28
162,2020-08-31,20
163,2020-09-01,22
164,2020-09-02,19
165,2020-09-03,21
166,2020-09-04,21
167,2020-09-05,20
168,2020-09-06,22
169,2020-09-07,19
170,2020-09-08,18
171,2020-09-09,15
172,2020-09-10,15
173,2020-09-11,13
174,2020-09-12,11
175,2020-09-13,13
176,2020-09-14,13
177,2020-09-15,14
178,2020-09-16,16
179,2020-09-17,15
180,2020-09-18,15
181,2020-09-19,14
182,2020-09-20,14
183,2020-09-21,21
184,2020-09-22,13
185,2020-09-23,18
186,2020-09-24,19
187,2020-09-25,17
188,2020-09-26,14
189,2020-09-27,13
190,2020-09-28,13
191,2020-09-29,14
192,2020-09-30,11
193,2020-10-01,12
194,2020-10-02,11
195,2020-10-03,9
196,2020-10-04,11
197,2020-10-05,10
198,2020-10-06,9
199,2020-10-07,9
200,2020-10-08,10
201,2020-10-09,11
202,2020-10-10,12
203,2020-10-11,12
204,2020-10-12,15
205,2020-10-13,13
206,2020-10-14,11
207,2020-10-15,9
208,2020-10-16,8
209,2020-10-17,8
210,2020-10-18,7
211,2020-10-19,9
212,2020-10-20,12
213,2020-10-21,12
214,2020-10-22,16
215,2020-10-23,13
216,2020-10-24,13
217,2020-10-25,12
218,2020-10-26,11
219,2020-10-27,12
220,2020-10-28,11
221,2020-10-29,11
222,2020-10-30,11
223,2020-10-31,8
224,2020-11-01,9
225,2020-11-02,9
226,2020-11-03,9
227,2020-11-04,9
228,2020-11-05,10
229,2020-11-06,14
230,2020-11-07,17
231,2020-11-08,12
232,2020-11-09,12
233,2020-11-10,14
234,2020-11-11,15
235,2020-11-12,13
236,2020-11-13,13
237,2020-11-14,11
238,2020-11-15,10
239,2020-11-16,13
240,2020-11-17,16
241,2020-11-18,19
242,2020-11-19,17
243,2020-11-20,18
244,2020-11-21,20
245,2020-11-22,19
246,2020-11-23,20
247,2020-11-24,24
248,2020-11-25,17
249,2020-11-26,16
250,2020-11-27,11
251,2020-11-28,11
252,2020-11-29,14
253,2020-11-30,16
254,2020-12-01,15
255,2020-12-02,14
256,2020-12-03,11
257,2020-12-04,12
258,2020-12-05,12
259,2020-12-06,10
260,2020-12-07,11
261,2020-12-08,11
262,2020-12-09,12
263,2020-12-10,12
264,2020-12-11,10
265,2020-12-12,12
