Date,Trend
10/1/2023,81
10/2/2023,65
10/3/2023,63
10/4/2023,61
10/5/2023,69
10/6/2023,69
10/7/2023,75
10/8/2023,84
10/9/2023,71
10/10/2023,66
10/11/2023,72
10/12/2023,68
10/13/2023,75
10/14/2023,86
10/15/2023,84
10/16/2023,76
10/17/2023,76
10/18/2023,83
10/19/2023,80
10/20/2023,86
10/21/2023,91
10/22/2023,95
10/23/2023,77
10/24/2023,72
10/25/2023,70
10/26/2023,74
10/27/2023,80
10/28/2023,90
10/29/2023,95
10/30/2023,86
10/31/2023,86
11/1/2023,77
11/2/2023,82
11/3/2023,81
11/4/2023,81
11/5/2023,90
11/6/2023,72
11/7/2023,74
11/8/2023,69
11/9/2023,73
11/10/2023,78
11/11/2023,83
11/12/2023,91
11/13/2023,74
11/14/2023,69
11/15/2023,78
11/16/2023,68
11/17/2023,72
11/18/2023,83
11/19/2023,100
11/20/2023,73
11/21/2023,67
11/22/2023,69
11/23/2023,69
11/24/2023,77
11/25/2023,85
11/26/2023,88
11/27/2023,71
11/28/2023,68
11/29/2023,66
11/30/2023,66
12/1/2023,69
12/2/2023,79
12/3/2023,81
12/4/2023,67
12/5/2023,66
12/6/2023,65
12/7/2023,66
12/8/2023,74
12/9/2023,81
12/10/2023,81
12/11/2023,65
12/12/2023,62
12/13/2023,65
12/14/2023,64
12/15/2023,70
12/16/2023,75
12/17/2023,76
12/18/2023,66
12/19/2023,67
12/20/2023,69
12/21/2023,69
12/22/2023,72
12/23/2023,77
12/24/2023,82
12/25/2023,91
12/26/2023,83
12/27/2023,80
12/28/2023,77
12/29/2023,75
12/30/2023,84
12/31/2023,77
1/1/2024,84
1/2/2024,79
1/3/2024,77
1/4/2024,72
1/5/2024,73
1/6/2024,81
1/7/2024,84
1/8/2024,61
1/9/2024,62
1/10/2024,65
1/11/2024,62
1/12/2024,66
1/13/2024,75
1/14/2024,80
1/15/2024,62
1/16/2024,60
1/17/2024,62
1/18/2024,58
1/19/2024,63
1/20/2024,70
1/21/2024,76
1/22/2024,62
1/23/2024,58
1/24/2024,54
1/25/2024,62
1/26/2024,66
1/27/2024,74
1/28/2024,77
1/29/2024,61
1/30/2024,59
1/31/2024,59
2/1/2024,59
2/2/2024,62
2/3/2024,72
2/4/2024,77
2/5/2024,59
2/6/2024,57
2/7/2024,62
2/8/2024,69
2/9/2024,67
2/10/2024,72
2/11/2024,79
2/12/2024,58
2/13/2024,63
2/14/2024,58
2/15/2024,57
2/16/2024,61
2/17/2024,71
2/18/2024,71
2/19/2024,62
2/20/2024,58
2/21/2024,56
2/22/2024,57
2/23/2024,59
2/24/2024,70
2/25/2024,83
2/26/2024,62
2/27/2024,58
2/28/2024,59
2/29/2024,61
3/1/2024,60
3/2/2024,72
3/3/2024,76
3/4/2024,61
3/5/2024,54
3/6/2024,59
3/7/2024,60
3/8/2024,60
3/9/2024,73
3/10/2024,72
3/11/2024,54
3/12/2024,58
3/13/2024,60
3/14/2024,60
3/15/2024,66
3/16/2024,71
3/17/2024,74
3/18/2024,58
3/19/2024,57
3/20/2024,57
3/21/2024,58
3/22/2024,60
3/23/2024,70
3/24/2024,72
3/25/2024,61
3/26/2024,57
3/27/2024,60
3/28/2024,67
3/29/2024,69
3/30/2024,71
3/31/2024,73
4/1/2024,68
4/2/2024,62
4/3/2024,64
4/4/2024,63
4/5/2024,63
4/6/2024,73
4/7/2024,70
4/8/2024,58
4/9/2024,58
4/10/2024,60
4/11/2024,57
4/12/2024,60
4/13/2024,62
4/14/2024,66
4/15/2024,54
4/16/2024,54
4/17/2024,53
4/18/2024,55
4/19/2024,57
4/20/2024,66
4/21/2024,64
4/22/2024,57
4/23/2024,52
4/24/2024,56
4/25/2024,56
4/26/2024,59
4/27/2024,63
4/28/2024,68
4/29/2024,56
4/30/2024,56
5/1/2024,61
5/2/2024,56
5/3/2024,59
5/4/2024,63
5/5/2024,68
5/6/2024,55
5/7/2024,56
5/8/2024,55
5/9/2024,58
5/10/2024,58
5/11/2024,61
5/12/2024,65
5/13/2024,54
5/14/2024,53
5/15/2024,55
5/16/2024,54
5/17/2024,56
5/18/2024,61
5/19/2024,65
5/20/2024,57
5/21/2024,55
5/22/2024,55
5/23/2024,51
5/24/2024,55
5/25/2024,60
5/26/2024,66
5/27/2024,57
5/28/2024,53
5/29/2024,54
5/30/2024,58
5/31/2024,56
6/1/2024,66
