Date,Trend
10/1/2023,10
10/2/2023,11
10/3/2023,10
10/4/2023,10
10/5/2023,10
10/6/2023,10
10/7/2023,9
10/8/2023,8
10/9/2023,10
10/10/2023,10
10/11/2023,10
10/12/2023,10
10/13/2023,10
10/14/2023,10
10/15/2023,9
10/16/2023,10
10/17/2023,10
10/18/2023,10
10/19/2023,10
10/20/2023,11
10/21/2023,11
10/22/2023,10
10/23/2023,16
10/24/2023,19
10/25/2023,15
10/26/2023,20
10/27/2023,15
10/28/2023,13
10/29/2023,13
10/30/2023,15
10/31/2023,13
11/1/2023,13
11/2/2023,14
11/3/2023,13
11/4/2023,11
11/5/2023,13
11/6/2023,17
11/7/2023,14
11/8/2023,14
11/9/2023,18
11/10/2023,16
11/11/2023,20
11/12/2023,16
11/13/2023,15
11/14/2023,15
11/15/2023,14
11/16/2023,18
11/17/2023,21
11/18/2023,20
11/19/2023,15
11/20/2023,16
11/21/2023,14
11/22/2023,14
11/23/2023,13
11/24/2023,13
11/25/2023,15
11/26/2023,12
11/27/2023,14
11/28/2023,15
11/29/2023,14
11/30/2023,16
12/1/2023,17
12/2/2023,16
12/3/2023,16
12/4/2023,23
12/5/2023,26
12/6/2023,36
12/7/2023,25
12/8/2023,28
12/9/2023,25
12/10/2023,21
12/11/2023,21
12/12/2023,18
12/13/2023,18
12/14/2023,19
12/15/2023,17
12/16/2023,18
12/17/2023,16
12/18/2023,16
12/19/2023,18
12/20/2023,17
12/21/2023,16
12/22/2023,17
12/23/2023,17
12/24/2023,18
12/25/2023,17
12/26/2023,16
12/27/2023,15
12/28/2023,16
12/29/2023,15
12/30/2023,13
12/31/2023,13
1/1/2024,14
1/2/2024,18
1/3/2024,16
1/4/2024,15
1/5/2024,14
1/6/2024,14
1/7/2024,14
1/8/2024,16
1/9/2024,16
1/10/2024,17
1/11/2024,21
1/12/2024,17
1/13/2024,15
1/14/2024,13
1/15/2024,12
1/16/2024,14
1/17/2024,14
1/18/2024,13
1/19/2024,13
1/20/2024,16
1/21/2024,21
1/22/2024,14
1/23/2024,14
1/24/2024,14
1/25/2024,13
1/26/2024,13
1/27/2024,12
1/28/2024,11
1/29/2024,13
1/30/2024,13
1/31/2024,11
2/1/2024,11
2/2/2024,12
2/3/2024,11
2/4/2024,10
2/5/2024,11
2/6/2024,11
2/7/2024,11
2/8/2024,12
2/9/2024,13
2/10/2024,12
2/11/2024,13
2/12/2024,14
2/13/2024,15
2/14/2024,16
2/15/2024,17
2/16/2024,15
2/17/2024,12
2/18/2024,13
2/19/2024,17
2/20/2024,16
2/21/2024,14
2/22/2024,13
2/23/2024,13
2/24/2024,13
2/25/2024,13
2/26/2024,16
2/27/2024,27
2/28/2024,40
2/29/2024,60
3/1/2024,42
3/2/2024,48
3/3/2024,43
3/4/2024,82
3/5/2024,97
3/6/2024,50
3/7/2024,38
3/8/2024,43
3/9/2024,40
3/10/2024,42
3/11/2024,44
3/12/2024,39
3/13/2024,35
3/14/2024,45
3/15/2024,38
3/16/2024,34
3/17/2024,31
3/18/2024,31
3/19/2024,28
3/20/2024,28
3/21/2024,29
3/22/2024,27
3/23/2024,30
3/24/2024,32
3/25/2024,36
3/26/2024,33
3/27/2024,34
3/28/2024,65
3/29/2024,39
3/30/2024,36
3/31/2024,33
4/1/2024,36
4/2/2024,34
4/3/2024,29
4/4/2024,29
4/5/2024,26
4/6/2024,27
4/7/2024,35
4/8/2024,33
4/9/2024,27
4/10/2024,26
4/11/2024,27
4/12/2024,28
4/13/2024,27
4/14/2024,27
4/15/2024,27
4/16/2024,23
4/17/2024,22
4/18/2024,25
4/19/2024,26
4/20/2024,24
4/21/2024,21
4/22/2024,22
4/23/2024,21
4/24/2024,20
4/25/2024,20
4/26/2024,18
4/27/2024,17
4/28/2024,17
4/29/2024,17
4/30/2024,20
5/1/2024,21
5/2/2024,17
5/3/2024,18
5/4/2024,26
5/5/2024,22
5/6/2024,21
5/7/2024,18
5/8/2024,16
5/9/2024,16
5/10/2024,17
5/11/2024,15
5/12/2024,15
5/13/2024,19
5/14/2024,23
5/15/2024,100
5/16/2024,29
5/17/2024,17
5/18/2024,15
5/19/2024,13
5/20/2024,16
5/21/2024,21
5/22/2024,18
5/23/2024,18
5/24/2024,91
5/25/2024,57
5/26/2024,31
5/27/2024,25
5/28/2024,21
5/29/2024,21
5/30/2024,20
5/31/2024,19
6/1/2024,17
