,Date,Trend
0,2020-08-02,0
1,2020-08-03,0
2,2020-08-04,0
3,2020-08-05,0
4,2020-08-06,0
5,2020-08-07,0
6,2020-08-08,0
7,2020-08-09,0
8,2020-08-10,0
9,2020-08-11,0
10,2020-08-12,0
11,2020-08-13,0
12,2020-08-14,0
13,2020-08-15,0
14,2020-08-16,0
15,2020-08-17,0
16,2020-08-18,0
17,2020-08-19,0
18,2020-08-20,0
19,2020-08-21,0
20,2020-08-22,0
21,2020-08-23,0
22,2020-08-24,0
23,2020-08-25,0
24,2020-08-26,0
25,2020-08-27,0
26,2020-08-28,0
27,2020-08-29,0
28,2020-08-30,0
29,2020-08-31,0
30,2020-09-01,0
31,2020-09-02,0
32,2020-09-03,0
33,2020-09-04,0
34,2020-09-05,0
35,2020-09-06,0
36,2020-09-07,0
37,2020-09-08,0
38,2020-09-09,0
39,2020-09-10,0
40,2020-09-11,0
41,2020-09-12,0
42,2020-09-13,0
43,2020-09-14,0
44,2020-09-15,0
45,2020-09-16,0
46,2020-09-17,0
47,2020-09-18,0
48,2020-09-19,0
49,2020-09-20,0
50,2020-09-21,0
51,2020-09-22,0
52,2020-09-23,0
53,2020-09-24,0
54,2020-09-25,0
55,2020-09-26,0
56,2020-09-27,0
57,2020-09-28,0
58,2020-09-29,0
59,2020-09-30,0
60,2020-10-01,0
61,2020-10-02,0
62,2020-10-03,0
63,2020-10-04,0
64,2020-10-05,0
65,2020-10-06,0
66,2020-10-07,0
67,2020-10-08,0
68,2020-10-09,0
69,2020-10-10,0
70,2020-10-11,0
71,2020-10-12,0
72,2020-10-13,0
73,2020-10-14,0
74,2020-10-15,0
75,2020-10-16,0
76,2020-10-17,0
77,2020-10-18,0
78,2020-10-19,0
79,2020-10-20,0
80,2020-10-21,0
81,2020-10-22,0
82,2020-10-23,0
83,2020-10-24,0
84,2020-10-25,0
85,2020-10-26,0
86,2020-10-27,0
87,2020-10-28,0
88,2020-10-29,0
89,2020-10-30,0
90,2020-10-31,0
91,2020-11-01,0
92,2020-11-02,0
93,2020-11-03,0
94,2020-11-04,0
95,2020-11-05,0
96,2020-11-06,0
97,2020-11-07,0
98,2020-11-08,0
99,2020-11-09,0
100,2020-11-10,0
101,2020-11-11,0
102,2020-11-12,0
103,2020-11-13,0
104,2020-11-14,0
105,2020-11-15,0
106,2020-11-16,0
107,2020-11-17,0
108,2020-11-18,0
109,2020-11-19,0
110,2020-11-20,0
111,2020-11-21,0
112,2020-11-22,0
113,2020-11-23,0
114,2020-11-24,0
115,2020-11-25,0
116,2020-11-26,0
117,2020-11-27,0
118,2020-11-28,0
119,2020-11-29,0
120,2020-11-30,0
121,2020-12-01,0
122,2020-12-02,0
123,2020-12-03,0
124,2020-12-04,0
125,2020-12-05,0
126,2020-12-06,0
127,2020-12-07,0
128,2020-12-08,0
129,2020-12-09,0
130,2020-12-10,0
131,2020-12-11,0
132,2020-12-12,0
133,2020-12-13,0
134,2020-12-14,0
135,2020-12-15,0
136,2020-12-16,0
137,2020-12-17,0
138,2020-12-18,0
139,2020-12-19,0
140,2020-12-20,1
141,2020-12-21,2
142,2020-12-22,1
143,2020-12-23,1
144,2020-12-24,0
145,2020-12-25,0
146,2020-12-26,0
147,2020-12-27,0
148,2020-12-28,0
149,2020-12-29,0
150,2020-12-30,0
151,2020-12-31,0
152,2021-01-01,1
153,2021-01-02,7
154,2021-01-03,6
155,2021-01-04,2
156,2021-01-05,2
157,2021-01-06,2
158,2021-01-07,2
159,2021-01-08,2
160,2021-01-09,2
161,2021-01-10,2
162,2021-01-11,1
163,2021-01-12,1
164,2021-01-13,1
165,2021-01-14,1
166,2021-01-15,1
167,2021-01-16,1
168,2021-01-17,1
169,2021-01-18,1
170,2021-01-19,1
171,2021-01-20,1
172,2021-01-21,1
173,2021-01-22,1
174,2021-01-23,1
175,2021-01-24,1
176,2021-01-25,1
177,2021-01-26,1
178,2021-01-27,1
179,2021-01-28,21
180,2021-01-29,100
181,2021-01-30,36
182,2021-01-31,23
183,2021-02-01,19
184,2021-02-02,10
185,2021-02-03,8
186,2021-02-04,29
187,2021-02-05,17
188,2021-02-06,16
189,2021-02-07,32
190,2021-02-08,35
191,2021-02-09,22
192,2021-02-10,16
193,2021-02-11,13
194,2021-02-12,11
195,2021-02-13,8
196,2021-02-14,10
197,2021-02-15,11
198,2021-02-16,9
199,2021-02-17,8
200,2021-02-18,8
201,2021-02-19,7
202,2021-02-20,6
203,2021-02-21,6
204,2021-02-22,6
205,2021-02-23,5
206,2021-02-24,6
207,2021-02-25,5
208,2021-02-26,4
209,2021-02-27,3
210,2021-02-28,3
211,2021-03-01,3
212,2021-03-02,4
213,2021-03-03,3
214,2021-03-04,3
215,2021-03-05,3
216,2021-03-06,3
217,2021-03-07,3
218,2021-03-08,5
219,2021-03-09,4
220,2021-03-10,3
221,2021-03-11,3
222,2021-03-12,3
223,2021-03-13,3
224,2021-03-14,5
225,2021-03-15,4
226,2021-03-16,3
227,2021-03-17,3
228,2021-03-18,3
229,2021-03-19,2
230,2021-03-20,2
231,2021-03-21,2
232,2021-03-22,2
233,2021-03-23,2
