,Date,Trend
0,2020-03-22,20
1,2020-03-23,20
2,2020-03-24,21
3,2020-03-25,19
4,2020-03-26,19
5,2020-03-27,17
6,2020-03-28,17
7,2020-03-29,16
8,2020-03-30,18
9,2020-03-31,16
10,2020-04-01,17
11,2020-04-02,19
12,2020-04-03,19
13,2020-04-04,18
14,2020-04-05,16
15,2020-04-06,24
16,2020-04-07,27
17,2020-04-08,21
18,2020-04-09,20
19,2020-04-10,21
20,2020-04-11,19
21,2020-04-12,20
22,2020-04-13,20
23,2020-04-14,19
24,2020-04-15,18
25,2020-04-16,22
26,2020-04-17,20
27,2020-04-18,26
28,2020-04-19,28
29,2020-04-20,24
30,2020-04-21,21
31,2020-04-22,21
32,2020-04-23,25
33,2020-04-24,24
34,2020-04-25,29
35,2020-04-26,30
36,2020-04-27,28
37,2020-04-28,25
38,2020-04-29,37
39,2020-04-30,37
40,2020-05-01,29
41,2020-05-02,29
42,2020-05-03,30
43,2020-05-04,28
44,2020-05-05,27
45,2020-05-06,27
46,2020-05-07,29
47,2020-05-08,30
48,2020-05-09,30
49,2020-05-10,35
50,2020-05-11,28
51,2020-05-12,28
52,2020-05-13,26
53,2020-05-14,29
54,2020-05-15,26
55,2020-05-16,25
56,2020-05-17,30
57,2020-05-18,28
58,2020-05-19,28
59,2020-05-20,26
60,2020-05-21,26
61,2020-05-22,25
62,2020-05-23,22
63,2020-05-24,24
64,2020-05-25,24
65,2020-05-26,24
66,2020-05-27,22
67,2020-05-28,24
68,2020-05-29,26
69,2020-05-30,37
70,2020-05-31,37
71,2020-06-01,31
72,2020-06-02,37
73,2020-06-03,30
74,2020-06-04,29
75,2020-06-05,27
76,2020-06-06,26
77,2020-06-07,26
78,2020-06-08,26
79,2020-06-09,27
80,2020-06-10,27
81,2020-06-11,28
82,2020-06-12,25
83,2020-06-13,24
84,2020-06-14,24
85,2020-06-15,25
86,2020-06-16,24
87,2020-06-17,26
88,2020-06-18,24
89,2020-06-19,22
90,2020-06-20,22
91,2020-06-21,22
92,2020-06-22,26
93,2020-06-23,28
94,2020-06-24,29
95,2020-06-25,25
96,2020-06-26,26
97,2020-06-27,25
98,2020-06-28,28
99,2020-06-29,24
100,2020-06-30,26
101,2020-07-01,25
102,2020-07-02,25
103,2020-07-03,24
104,2020-07-04,23
105,2020-07-05,24
106,2020-07-06,26
107,2020-07-07,28
108,2020-07-08,30
109,2020-07-09,29
110,2020-07-10,27
111,2020-07-11,24
112,2020-07-12,25
113,2020-07-13,27
114,2020-07-14,26
115,2020-07-15,24
116,2020-07-16,25
117,2020-07-17,22
118,2020-07-18,24
119,2020-07-19,23
120,2020-07-20,23
121,2020-07-21,26
122,2020-07-22,28
123,2020-07-23,47
124,2020-07-24,47
125,2020-07-25,59
126,2020-07-26,73
127,2020-07-27,73
128,2020-07-28,66
129,2020-07-29,47
130,2020-07-30,47
131,2020-07-31,60
132,2020-08-01,77
133,2020-08-02,89
134,2020-08-03,68
135,2020-08-04,59
136,2020-08-05,58
137,2020-08-06,66
138,2020-08-07,55
139,2020-08-08,51
