Date,Open,High,Low,Close,Adj Close,Volume
10/2/2023,131.210007,134.419998,131.169998,134.169998,134.01619,22288000
10/3/2023,133.940002,134.259995,131.839996,132.429993,132.278183,22989400
10/4/2023,132.789993,135.570007,132.529999,135.240005,135.084976,26752300
10/5/2023,135.070007,135.490005,133.449997,135.070007,134.915161,19832600
10/6/2023,134.009995,138.160004,134.009995,137.580002,137.422287,27583200
10/9/2023,136.940002,138.940002,135.610001,138.419998,138.261322,19278100
10/10/2023,138.5,139.720001,137.330002,138.059998,137.901733,27786600
10/11/2023,138.580002,141.110001,138.580002,140.550003,140.388885,25884300
10/12/2023,141.050003,141.220001,138.259995,138.970001,138.810684,24765500
10/13/2023,139.380005,140,136.619995,137.360001,137.20253,23420500
10/16/2023,138.169998,139.630005,137.990005,139.100006,138.940552,28501900
10/17/2023,138.630005,139.899994,137.179993,139.720001,139.55983,23515800
10/18/2023,139.449997,140.720001,137.380005,137.960007,137.801849,23375000
10/19/2023,138.5,139.660004,137.380005,137.75,137.592087,26066000
10/20/2023,137.330002,137.869995,135.080002,135.600006,135.444565,26315200
10/23/2023,135.039993,137.660004,133.949997,136.5,136.343521,26317900
10/24/2023,137.830002,139.360001,137.419998,138.809998,138.650864,44814300
10/25/2023,128.160004,128.309998,125.07,125.610001,125.466003,84366200
10/26/2023,123.269997,124.330002,121.269997,122.279999,122.139816,57061100
10/27/2023,122.879997,123.309998,120.209999,122.169998,122.029945,44566500
10/30/2023,123.209999,125.400002,122.75,124.459999,124.317322,28940100
10/31/2023,125.059998,125.370003,122.690002,124.080002,123.937759,26292300
11/1/2023,124.07,126.489998,123.720001,126.449997,126.305038,30082400
11/2/2023,128.419998,128.979996,126.93,127.489998,127.343849,27124600
11/3/2023,128.020004,129.529999,127.860001,129.100006,128.952011,26380100
11/6/2023,129.050003,130.339996,128.669998,130.25,130.100677,19052700
11/7/2023,130.710007,131.910004,129.880005,130.970001,130.819855,29757300
11/8/2023,130.970001,132.210007,130.779999,131.839996,131.688858,26425800
11/9/2023,131.960007,132.550003,130.070007,130.240005,130.090698,23747800
11/10/2023,130.100006,132.800003,129.410004,132.589996,132.438004,26913300
11/13/2023,131.779999,132.589996,131.25,132.089996,131.938568,18324800
11/14/2023,134.190002,135.699997,133.320007,133.619995,133.466812,32395200
11/15/2023,134.869995,135.029999,133.570007,134.619995,134.465668,23861500
11/16/2023,135.190002,137.220001,134.320007,136.929993,136.773026,28013200
11/17/2023,136,136.059998,133.649994,135.309998,135.154877,37240600
11/20/2023,133.690002,136.660004,133.619995,136.25,136.093811,27815500
11/21/2023,136.289993,137.179993,135.960007,136.970001,136.812988,22635300
11/22/2023,137.470001,139.419998,137.470001,138.490005,138.331238,17813900
11/24/2023,138.029999,138.130005,135.990005,136.690002,136.53331,12514300
11/27/2023,136.029999,138.419998,136,136.410004,136.253632,23436500
11/28/2023,136.080002,137.25,135.419998,137.199997,137.042709,18730000
11/29/2023,137.570007,138.289993,134.839996,134.990005,134.835251,23967200
11/30/2023,135.050003,135.550003,131.279999,132.529999,132.378067,38988300
12/1/2023,131.860001,132.110001,130.669998,131.860001,131.708847,31431200
12/4/2023,129.880005,130.029999,127.900002,129.270004,129.121811,36669900
12/5/2023,128.949997,132.139999,128.25,130.990005,130.839844,27384800
12/6/2023,131.440002,131.839996,129.880005,130.020004,129.870956,23576200
12/7/2023,135.039993,138.559998,134.699997,136.929993,136.773026,56767100
12/8/2023,134.199997,136.399994,134.029999,134.990005,134.835251,32233900
12/11/2023,132.380005,133.339996,131.360001,133.289993,133.137192,31138000
12/12/2023,131.809998,133,131.259995,132.520004,132.368088,29032800
12/13/2023,133.380005,133.5,131.570007,132.570007,132.41803,30104800
12/14/2023,133.380005,133.720001,129.690002,131.940002,131.788742,38722400
12/15/2023,131.619995,133.509995,131.179993,132.600006,132.447998,50815200
12/18/2023,132.630005,137.149994,132.429993,135.800003,135.644318,32258000
12/19/2023,136.839996,137.470001,136.080002,136.649994,136.493347,25476800
12/20/2023,138.970001,141.699997,138.070007,138.339996,138.181412,49107200
12/21/2023,139.490005,140.690002,139.179993,140.419998,140.259018,27488300
12/22/2023,140.770004,141.990005,140.710007,141.490005,141.327805,26514600
12/26/2023,141.589996,142.679993,141.190002,141.520004,141.357773,16780300
12/27/2023,141.589996,142.080002,139.889999,140.369995,140.209076,19628600
12/28/2023,140.779999,141.139999,139.75,140.229996,140.069244,16045700
12/29/2023,139.630005,140.360001,138.779999,139.690002,139.529861,18727200
1/2/2024,138.550003,139.449997,136.479996,138.169998,138.011597,23711200
1/3/2024,137.25,139.630005,137.080002,138.919998,138.760742,24212100
1/4/2024,138.419998,139.160004,136.350006,136.389999,136.233643,27137700
1/5/2024,136.75,137.160004,135.149994,135.729996,135.574402,22506000
1/8/2024,136.289993,139.009995,136.259995,138.839996,138.680832,21404000
1/9/2024,138.5,141.490005,138.149994,140.949997,140.788422,24759600
1/10/2024,141,143,140.910004,142.279999,142.116898,21320200
1/11/2024,143.490005,145.220001,140.639999,142.080002,141.91713,24008700
