Date,Volatility
6/13/2019,23.43
6/14/2019,22.59
6/17/2019,21.79
6/18/2019,21.78
6/19/2019,21.47
6/20/2019,21.21
6/21/2019,21.38
6/24/2019,22.77
6/25/2019,24.64
6/26/2019,25.03
6/27/2019,24.89
6/28/2019,24.8
7/1/2019,22.88
7/2/2019,21.94
7/3/2019,21.98
7/4/2019,.
7/5/2019,22.8
7/8/2019,23.81
7/9/2019,24.41
7/10/2019,23.56
7/11/2019,23.74
7/12/2019,23.41
7/15/2019,24.25
7/16/2019,24.31
7/17/2019,25.41
7/18/2019,26.41
7/19/2019,26.88
7/22/2019,27.46
7/23/2019,27.83
7/24/2019,27.92
7/25/2019,26.37
7/26/2019,18.48
7/29/2019,18.91
7/30/2019,19.49
7/31/2019,20.28
8/1/2019,21.73
8/2/2019,24.52
8/5/2019,29.35
8/6/2019,26.29
8/7/2019,26.88
8/8/2019,23.18
8/9/2019,24.22
8/12/2019,26.79
8/13/2019,22.84
8/14/2019,27.24
8/15/2019,26.57
8/16/2019,23.74
8/19/2019,22.05
8/20/2019,22.78
8/21/2019,21.88
8/22/2019,22.55
8/23/2019,25.07
8/26/2019,25.24
8/27/2019,25.09
8/28/2019,24.82
8/29/2019,22.59
8/30/2019,23.3
9/2/2019,.
9/3/2019,25.81
9/4/2019,23.82
9/5/2019,21.42
9/6/2019,21.12
9/9/2019,21.46
9/10/2019,21.78
9/11/2019,20.21
9/12/2019,19.26
9/13/2019,19.01
9/16/2019,19.89
9/17/2019,19.4
9/18/2019,18.64
9/19/2019,18.89
9/20/2019,19.36
9/23/2019,21.18
9/24/2019,24.3
9/25/2019,23.27
9/26/2019,23.45
9/27/2019,24.57
9/30/2019,25.19
10/1/2019,27.27
10/2/2019,29.93
10/3/2019,29.08
10/4/2019,26.74
10/7/2019,27.13
10/8/2019,29.76
10/9/2019,28.06
10/10/2019,28.18
10/11/2019,26.53
10/14/2019,27
10/15/2019,26.05
10/16/2019,26.02
10/17/2019,25.14
10/18/2019,25.81
10/21/2019,26.28
10/22/2019,25.93
10/23/2019,26.06
10/24/2019,25.96
10/25/2019,25.27
10/28/2019,29.29
10/29/2019,18.37
10/30/2019,17.98
10/31/2019,17.94
11/1/2019,17.32
11/4/2019,17.75
11/5/2019,17.6
11/6/2019,17.44
11/7/2019,17.79
11/8/2019,17.67
11/11/2019,16.98
11/12/2019,16.92
11/13/2019,17.2
11/14/2019,17.3
11/15/2019,16.17
11/18/2019,17.2
11/19/2019,17.28
11/20/2019,18.93
11/21/2019,18.79
11/22/2019,18.27
11/25/2019,17.43
11/26/2019,16.77
11/27/2019,17.22
11/28/2019,.
11/29/2019,17.31
12/2/2019,18.86
12/3/2019,19.9
12/4/2019,19.42
12/5/2019,18.8
12/6/2019,17.62
12/9/2019,18.4
12/10/2019,18.49
12/11/2019,18.24
12/12/2019,18.61
12/13/2019,16.7
12/16/2019,14.11
12/17/2019,14.83
12/18/2019,15.2
12/19/2019,15.85
12/20/2019,15.59
12/23/2019,16.86
12/24/2019,17.85
12/25/2019,.
12/26/2019,19.09
12/27/2019,20.03
12/30/2019,20.7
12/31/2019,20.8
1/1/2020,.
1/2/2020,20.9
1/3/2020,20.76
1/6/2020,23.15
1/7/2020,22.57
1/8/2020,22
1/9/2020,21.18
1/10/2020,21.65
1/13/2020,22.98
1/14/2020,22.19
1/15/2020,22.7
1/16/2020,21.97
1/17/2020,23.12
1/20/2020,.
1/21/2020,25.98
1/22/2020,25.5
1/23/2020,27.74
1/24/2020,27.62
1/27/2020,28.87
1/28/2020,26.91
1/29/2020,26.02
1/30/2020,26.53
1/31/2020,32.47
2/3/2020,33.17
2/4/2020,22
2/5/2020,22.95
2/6/2020,20.77
2/7/2020,21.4
2/10/2020,22.48
2/11/2020,22.78
2/12/2020,20.53
2/13/2020,20.31
2/14/2020,18.92
2/17/2020,.
2/18/2020,20.39
2/19/2020,19.4
2/20/2020,20.66
2/21/2020,23.8
2/24/2020,28.74
2/25/2020,33.51
2/26/2020,32.11
2/27/2020,41.72
2/28/2020,48.4
3/2/2020,34.77
3/3/2020,40.77
3/4/2020,33.15
3/5/2020,45.35
3/6/2020,48.75
3/9/2020,57.73
3/10/2020,45.13
3/11/2020,53.33
3/12/2020,66.9
3/13/2020,50.59
3/16/2020,78.07
3/17/2020,71.37
3/18/2020,77.68
3/19/2020,67.52
3/20/2020,64.65
3/23/2020,59.14
3/24/2020,53.7
3/25/2020,59.58
3/26/2020,51.44
3/27/2020,58.21
3/30/2020,53.01
3/31/2020,49.13
4/1/2020,55.02
4/2/2020,52.14
4/3/2020,49.55
4/6/2020,42.02
4/7/2020,43.58
4/8/2020,41.51
4/9/2020,39.83
4/10/2020,.
4/13/2020,42.22
4/14/2020,40.56
4/15/2020,43.45
4/16/2020,44.71
4/17/2020,42.39
4/20/2020,44.17
4/21/2020,47.98
4/22/2020,45.07
4/23/2020,43.12
4/24/2020,40.46
4/27/2020,36.29
4/28/2020,36.55
4/29/2020,28.97
4/30/2020,28.77
5/1/2020,33.61
5/4/2020,31.98
5/5/2020,31.14
5/6/2020,31.16
5/7/2020,30.29
5/8/2020,26.68
5/11/2020,28.19
5/12/2020,29.47
5/13/2020,33.77
5/14/2020,33.78
5/15/2020,30.41
5/18/2020,29.12
5/19/2020,30.03
5/20/2020,28.5
5/21/2020,29.49
5/22/2020,28.82
5/25/2020,.
5/26/2020,27.23
5/27/2020,29.25
5/28/2020,28.06
5/29/2020,28.3
6/1/2020,29.24
6/2/2020,28.23
6/3/2020,27.63
6/4/2020,28.21
6/5/2020,26.24
6/8/2020,27.43
6/9/2020,29.35
6/10/2020,29.09
6/11/2020,37.48
6/12/2020,35.02
6/15/2020,32.81
6/16/2020,31.77
6/17/2020,32.02
6/18/2020,31.5
6/19/2020,31.87
6/22/2020,31.28
6/23/2020,30.77
6/24/2020,34.07
6/25/2020,32.3
6/26/2020,37.49
6/29/2020,34.86
6/30/2020,32.4
7/1/2020,31.75
7/2/2020,29.52
7/3/2020,.
7/6/2020,32.55
7/7/2020,33.87
7/8/2020,35.09
7/9/2020,35.98
7/10/2020,38.03
7/13/2020,44.37
7/14/2020,43.08
7/15/2020,43.54
7/16/2020,42.06
7/17/2020,38.18
7/20/2020,38.05
7/21/2020,37.89
7/22/2020,36.21
7/23/2020,36.52
7/24/2020,36.75
7/27/2020,36.56
7/28/2020,35.85
7/29/2020,34.86
7/30/2020,32.35
7/31/2020,28.44
8/3/2020,30.77
8/4/2020,28.23
8/5/2020,26.9
8/6/2020,27.12
8/7/2020,28.66
8/10/2020,29.07
8/11/2020,30.13
8/12/2020,28.1
8/13/2020,29.13
8/14/2020,27.35
8/17/2020,27.46
8/18/2020,27.21
8/19/2020,27.95
8/20/2020,28.25
8/21/2020,29.7
8/24/2020,31.4
8/25/2020,30.96
8/26/2020,35.73
8/27/2020,36.56
8/28/2020,36.83
8/31/2020,36.94
9/1/2020,37.15
9/2/2020,38.52
9/3/2020,48.62
9/4/2020,45.49
9/7/2020,.
9/8/2020,42.78
9/9/2020,38.6
9/10/2020,36.77
9/11/2020,34.62
9/14/2020,33.85
9/15/2020,32.66
9/16/2020,33.81
9/17/2020,35.82
9/18/2020,35.17
9/21/2020,37.93
9/22/2020,36.95
9/23/2020,39.74
9/24/2020,39.65
9/25/2020,39.09
9/28/2020,39.04
9/29/2020,38.75
9/30/2020,37.33
10/1/2020,38.62
10/2/2020,39.06
10/5/2020,39.09
10/6/2020,39.67
10/7/2020,38.5
10/8/2020,39.14
10/9/2020,37.45
10/12/2020,38.56
10/13/2020,38.57
10/14/2020,39.14
10/15/2020,39.63
10/16/2020,38.6
10/19/2020,39.64
10/20/2020,40.48
10/21/2020,40.73
10/22/2020,40.37
10/23/2020,39.91
10/26/2020,42.59
10/27/2020,42.06
10/28/2020,46.98
10/29/2020,43.94
10/30/2020,41.39
11/2/2020,38.74
11/3/2020,38.21
11/4/2020,32.93
11/5/2020,32.93
11/6/2020,30.16
11/9/2020,28.63
11/10/2020,30.33
11/11/2020,29.98
11/12/2020,30.98
11/13/2020,29.74
11/16/2020,27.02
11/17/2020,26.02
11/18/2020,25.64
11/19/2020,28.23
11/20/2020,28.71
11/23/2020,28.23
11/24/2020,27.23
11/25/2020,27.79
11/26/2020,.
11/27/2020,27.91
11/30/2020,27.85
12/1/2020,30.05
12/2/2020,30.36
12/3/2020,29.01
12/4/2020,28.8
12/7/2020,29.09
12/8/2020,28.29
12/9/2020,29.68
12/10/2020,29.45
12/11/2020,29.57
12/14/2020,29.07
12/15/2020,28.74
12/16/2020,29.32
12/17/2020,30.19
12/18/2020,30.57
12/21/2020,31.7
12/22/2020,31.62
12/23/2020,30.14
12/24/2020,29.93
12/25/2020,.
12/28/2020,32.15
12/29/2020,32.1
12/30/2020,32.85
12/31/2020,33.09
1/1/2021,.
1/4/2021,36.35
1/5/2021,34.74
1/6/2021,32.13
1/7/2021,32.51
1/8/2021,33.16
1/11/2021,36.79
1/12/2021,37.44
1/13/2021,35.36
1/14/2021,35.92
1/15/2021,34.18
1/18/2021,.
1/19/2021,34.16
1/20/2021,36.05
1/21/2021,35.95
1/22/2021,35.16
1/25/2021,37.36
1/26/2021,37.59
1/27/2021,45.24
1/28/2021,38.99
1/29/2021,41.29
2/1/2021,38.21
2/2/2021,35.3
2/3/2021,31.17
2/4/2021,29.16
2/5/2021,27.38
2/8/2021,27.6
2/9/2021,27.76
2/10/2021,27.7
2/11/2021,27.3
2/12/2021,28.21
2/15/2021,.
2/16/2021,29.42
2/17/2021,29.28
2/18/2021,28.27
2/19/2021,27.28
2/22/2021,29.17
2/23/2021,29.63
2/24/2021,30.82
2/25/2021,37.09
2/26/2021,33.65
3/1/2021,29.02
3/2/2021,30.15
3/3/2021,33.33
3/4/2021,35.88
3/5/2021,32.45
3/8/2021,36.16
3/9/2021,32.94
3/10/2021,32.75
3/11/2021,30.99
3/12/2021,31.91
3/15/2021,30.07
3/16/2021,29.79
3/17/2021,29.35
3/18/2021,33.77
3/19/2021,30.46
3/22/2021,27.86
3/23/2021,28.44
3/24/2021,29.94
3/25/2021,31.13
3/26/2021,30.11
3/29/2021,30.97
3/30/2021,31.31
3/31/2021,30.33
4/1/2021,29.67
4/2/2021,.
4/5/2021,29.8
4/6/2021,29.93
4/7/2021,29.91
4/8/2021,29.19
4/9/2021,28.46
4/12/2021,30.54
4/13/2021,30.36
4/14/2021,31.09
4/15/2021,29.7
4/16/2021,28.71
4/19/2021,32.96
4/20/2021,34.47
4/21/2021,32.64
4/22/2021,33.4
4/23/2021,30.67
4/26/2021,29.88
4/27/2021,28.94
4/28/2021,24.17
4/29/2021,23.43
4/30/2021,23.33
5/3/2021,24.42
5/4/2021,25.72
5/5/2021,25.42
5/6/2021,25.29
5/7/2021,23.88
5/10/2021,27.06
5/11/2021,28.75
5/12/2021,34.56
5/13/2021,30.25
5/14/2021,26.31
5/17/2021,27.87
5/18/2021,27.88
5/19/2021,28.97
5/20/2021,26.9
5/21/2021,26.43
5/24/2021,24.79
5/25/2021,25.41
5/26/2021,24.55
5/27/2021,24.61
5/28/2021,23.87
5/31/2021,.
6/1/2021,25.62
6/2/2021,25.37
6/3/2021,26.13
6/4/2021,24.58
6/7/2021,24.56
6/8/2021,23.61
6/9/2021,23.86
6/10/2021,22.4
6/11/2021,21.68
6/14/2021,21.22
6/15/2021,21.68
6/16/2021,23.11
6/17/2021,22.8
6/18/2021,24.53
6/21/2021,24.1
6/22/2021,24.26
6/23/2021,23.71
6/24/2021,23.42
6/25/2021,23.72
6/28/2021,25.26
6/29/2021,25.08
6/30/2021,25.56
7/1/2021,25.74
7/2/2021,25.25
7/5/2021,.
7/6/2021,27.57
7/7/2021,27.99
7/8/2021,27.83
7/9/2021,26.33
7/12/2021,27
7/13/2021,27.69
7/14/2021,27.04
7/15/2021,27.26
7/16/2021,27.71
7/19/2021,30.73
7/20/2021,28.34
7/21/2021,27.48
7/22/2021,27.36
7/23/2021,27.49
7/26/2021,28.42
7/27/2021,28.68
7/28/2021,22.14
7/29/2021,21.2
7/30/2021,21.6
8/2/2021,22.56
8/3/2021,22.7
8/4/2021,22.59
8/5/2021,21.94
8/6/2021,21.27
8/9/2021,21.61
8/10/2021,21.65
8/11/2021,21.61
8/12/2021,21.39
8/13/2021,20.8
8/16/2021,21.12
8/17/2021,23.03
8/18/2021,24.03
8/19/2021,25.47
8/20/2021,23.54
8/23/2021,22.87
8/24/2021,22.31
8/25/2021,21.96
8/26/2021,23.3
8/27/2021,21.21
8/30/2021,21.63
8/31/2021,21.73
9/1/2021,21.72
9/2/2021,22.3
9/3/2021,21.12
9/6/2021,.
9/7/2021,22.58
9/8/2021,22.52
9/9/2021,22.52
9/10/2021,25
9/13/2021,23.84
9/14/2021,24.08
9/15/2021,23.12
9/16/2021,23.51
9/17/2021,26.92
9/20/2021,32.05
9/21/2021,31.12
9/22/2021,29.06
9/23/2021,26.98
9/24/2021,25.77
9/27/2021,27.02
9/28/2021,32.53
9/29/2021,33.52
9/30/2021,33.08
10/1/2021,30.81
10/4/2021,34.35
10/5/2021,32.13
10/6/2021,31.88
10/7/2021,29.84
10/8/2021,29.44
10/11/2021,31.4
10/12/2021,32.67
10/13/2021,30.18
10/14/2021,26.91
10/15/2021,25.61
10/18/2021,26.06
10/19/2021,25.63
10/20/2021,26.81
10/21/2021,27.43
10/22/2021,28.93
10/25/2021,28.61
10/26/2021,27.46
10/27/2021,23.18
10/28/2021,24.08
10/29/2021,24.9
11/1/2021,25.79
11/2/2021,25.31
11/3/2021,25.19
11/4/2021,26.46
11/5/2021,26.98
11/8/2021,26.7
11/9/2021,26.18
11/10/2021,26.37
11/11/2021,25.11
11/12/2021,24.99
11/15/2021,24.79
11/16/2021,23.57
11/17/2021,23.86
11/18/2021,25.33
11/19/2021,24.57
11/22/2021,25.54
11/23/2021,26.42
11/24/2021,26.56
11/25/2021,.
11/26/2021,30.78
11/29/2021,27.62
11/30/2021,31.52
12/1/2021,33.75
12/2/2021,32.54
12/3/2021,36.53
12/6/2021,33
12/7/2021,28.05
12/8/2021,26.38
12/9/2021,27.62
12/10/2021,25.98
12/13/2021,23.45
12/14/2021,25.36
12/15/2021,24
12/16/2021,26.82
12/17/2021,28.1
12/20/2021,29.68
12/21/2021,26.33
12/22/2021,25.16
12/23/2021,24.74
12/24/2021,.
12/27/2021,26.1
12/28/2021,26.7
12/29/2021,26.11
12/30/2021,26.41
12/31/2021,25.74
1/3/2022,27.03
1/4/2022,28.07
1/5/2022,33.1
1/6/2022,31.94
1/7/2022,31.13
1/10/2022,32.72
1/11/2022,30.22
1/12/2022,29.21
1/13/2022,31.87
1/14/2022,31.1
1/17/2022,.
1/18/2022,36.04
1/19/2022,35.58
1/20/2022,35.99
1/21/2022,41.36
1/24/2022,42.69
1/25/2022,45.32
1/26/2022,43.02
1/27/2022,44.37
1/28/2022,40.56
1/31/2022,37.44
2/1/2022,35.69
2/2/2022,30.12
2/3/2022,35.91
2/4/2022,31.07
2/7/2022,32.58
2/8/2022,30.55
2/9/2022,29.06
2/10/2022,30.8
2/11/2022,35.54
2/14/2022,35.2
2/15/2022,32
2/16/2022,30.53
2/17/2022,35.72
2/18/2022,35.34
2/21/2022,.
2/22/2022,35.9
2/23/2022,37.98
2/24/2022,35.55
2/25/2022,32.6
2/28/2022,34.94
3/1/2022,38.02
3/2/2022,35.29
3/3/2022,35.47
3/4/2022,37.21
3/7/2022,42.38
3/8/2022,41.11
3/9/2022,37.45
3/10/2022,37.33
3/11/2022,37.61
3/14/2022,40.5
3/15/2022,37.88
3/16/2022,33.35
3/17/2022,31.49
3/18/2022,29.52
