,Date,Trend,isPartial
0,2023-10-01,70,False
1,2023-10-02,90,False
2,2023-10-03,90,False
3,2023-10-04,93,False
4,2023-10-05,93,False
5,2023-10-06,87,False
6,2023-10-07,73,False
7,2023-10-08,74,False
8,2023-10-09,88,False
9,2023-10-10,95,False
10,2023-10-11,92,False
11,2023-10-12,85,False
12,2023-10-13,86,False
13,2023-10-14,69,False
14,2023-10-15,72,False
15,2023-10-16,90,False
16,2023-10-17,90,False
17,2023-10-18,95,False
18,2023-10-19,94,False
19,2023-10-20,90,False
20,2023-10-21,69,False
21,2023-10-22,73,False
22,2023-10-23,91,False
23,2023-10-24,96,False
24,2023-10-25,88,False
25,2023-10-26,90,False
26,2023-10-27,85,False
27,2023-10-28,69,False
28,2023-10-29,71,False
29,2023-10-30,89,False
30,2023-10-31,87,False
31,2023-11-01,87,False
32,2023-11-02,87,False
33,2023-11-03,83,False
34,2023-11-04,69,False
35,2023-11-05,72,False
36,2023-11-06,90,False
37,2023-11-07,91,False
38,2023-11-08,91,False
39,2023-11-09,90,False
40,2023-11-10,82,False
41,2023-11-11,69,False
42,2023-11-12,70,False
43,2023-11-13,89,False
44,2023-11-14,97,False
45,2023-11-15,88,False
46,2023-11-16,88,False
47,2023-11-17,83,False
48,2023-11-18,71,False
49,2023-11-19,72,False
50,2023-11-20,88,False
51,2023-11-21,91,False
52,2023-11-22,88,False
53,2023-11-23,77,False
54,2023-11-24,76,False
55,2023-11-25,70,False
56,2023-11-26,73,False
57,2023-11-27,91,False
58,2023-11-28,90,False
59,2023-11-29,92,False
60,2023-11-30,89,False
61,2023-12-01,86,False
62,2023-12-02,72,False
63,2023-12-03,74,False
64,2023-12-04,93,False
65,2023-12-05,91,False
66,2023-12-06,88,False
67,2023-12-07,91,False
68,2023-12-08,85,False
69,2023-12-09,72,False
70,2023-12-10,80,False
71,2023-12-11,90,False
72,2023-12-12,95,False
73,2023-12-13,91,False
74,2023-12-14,84,False
75,2023-12-15,84,False
76,2023-12-16,71,False
77,2023-12-17,67,False
78,2023-12-18,83,False
79,2023-12-19,83,False
80,2023-12-20,82,False
81,2023-12-21,78,False
82,2023-12-22,76,False
83,2023-12-23,67,False
84,2023-12-24,63,False
85,2023-12-25,70,False
86,2023-12-26,73,False
87,2023-12-27,75,False
88,2023-12-28,75,False
89,2023-12-29,74,False
90,2023-12-30,65,False
91,2023-12-31,67,False
92,2024-01-01,70,False
93,2024-01-02,80,False
94,2024-01-03,82,False
95,2024-01-04,85,False
96,2024-01-05,82,False
97,2024-01-06,70,False
98,2024-01-07,70,False
99,2024-01-08,87,False
100,2024-01-09,88,False
101,2024-01-10,86,False
102,2024-01-11,89,False
103,2024-01-12,83,False
104,2024-01-13,70,False
105,2024-01-14,70,False
106,2024-01-15,80,False
107,2024-01-16,86,False
108,2024-01-17,84,False
109,2024-01-18,88,False
110,2024-01-19,85,False
111,2024-01-20,67,False
112,2024-01-21,73,False
113,2024-01-22,87,False
114,2024-01-23,91,False
115,2024-01-24,92,False
116,2024-01-25,89,False
117,2024-01-26,84,False
118,2024-01-27,71,False
119,2024-01-28,70,False
120,2024-01-29,88,False
121,2024-01-30,89,False
122,2024-01-31,90,False
123,2024-02-01,91,False
124,2024-02-02,85,False
125,2024-02-03,74,False
126,2024-02-04,71,False
127,2024-02-05,89,False
128,2024-02-06,92,False
129,2024-02-07,94,False
130,2024-02-08,91,False
131,2024-02-09,90,False
132,2024-02-10,72,False
133,2024-02-11,71,False
134,2024-02-12,87,False
135,2024-02-13,90,False
136,2024-02-14,91,False
137,2024-02-15,90,False
138,2024-02-16,89,False
139,2024-02-17,68,False
140,2024-02-18,69,False
141,2024-02-19,87,False
142,2024-02-20,90,False
143,2024-02-21,90,False
144,2024-02-22,93,False
145,2024-02-23,89,False
146,2024-02-24,70,False
147,2024-02-25,73,False
148,2024-02-26,93,False
149,2024-02-27,95,False
150,2024-02-28,89,False
151,2024-02-29,97,False
152,2024-03-01,86,False
153,2024-03-02,68,False
154,2024-03-03,76,False
155,2024-03-04,89,False
156,2024-03-05,92,False
157,2024-03-06,91,False
158,2024-03-07,91,False
159,2024-03-08,80,False
160,2024-03-09,67,False
161,2024-03-10,70,False
162,2024-03-11,93,False
163,2024-03-12,88,False
164,2024-03-13,89,False
165,2024-03-14,90,False
166,2024-03-15,84,False
167,2024-03-16,69,False
168,2024-03-17,71,False
169,2024-03-18,91,False
170,2024-03-19,92,False
171,2024-03-20,100,False
172,2024-03-21,92,False
173,2024-03-22,84,False
174,2024-03-23,67,False
175,2024-03-24,69,False
176,2024-03-25,85,False
177,2024-03-26,84,False
178,2024-03-27,91,False
179,2024-03-28,82,False
180,2024-03-29,75,False
181,2024-03-30,67,False
182,2024-03-31,66,False
183,2024-04-01,81,False
184,2024-04-02,88,False
185,2024-04-03,89,False
186,2024-04-04,85,False
187,2024-04-05,84,False
188,2024-04-06,68,False
189,2024-04-07,68,False
190,2024-04-08,88,False
191,2024-04-09,88,False
192,2024-04-10,86,False
193,2024-04-11,85,False
194,2024-04-12,83,False
195,2024-04-13,67,False
196,2024-04-14,69,False
197,2024-04-15,89,False
198,2024-04-16,91,False
199,2024-04-17,88,False
200,2024-04-18,90,False
201,2024-04-19,87,False
202,2024-04-20,69,False
203,2024-04-21,67,False
204,2024-04-22,90,False
205,2024-04-23,89,False
206,2024-04-24,89,False
207,2024-04-25,86,False
208,2024-04-26,83,False
209,2024-04-27,67,False
210,2024-04-28,68,False
211,2024-04-29,88,False
212,2024-04-30,87,False
213,2024-05-01,80,False
214,2024-05-02,85,False
215,2024-05-03,82,False
216,2024-05-04,70,False
217,2024-05-05,68,False
218,2024-05-06,85,False
219,2024-05-07,87,False
220,2024-05-08,88,False
221,2024-05-09,85,False
222,2024-05-10,87,False
223,2024-05-11,66,False
224,2024-05-12,67,False
225,2024-05-13,89,False
226,2024-05-14,89,False
227,2024-05-15,88,False
228,2024-05-16,92,False
229,2024-05-17,82,False
230,2024-05-18,69,False
231,2024-05-19,69,False
232,2024-05-20,90,False
233,2024-05-21,88,False
234,2024-05-22,85,False
235,2024-05-23,85,False
236,2024-05-24,82,False
237,2024-05-25,69,False
238,2024-05-26,67,False
239,2024-05-27,82,False
240,2024-05-28,84,False
241,2024-05-29,82,False
242,2024-05-30,86,False
243,2024-05-31,80,False
244,2024-06-01,66,False
