Date,Volatility
6/13/2019,28.3
6/14/2019,27.76
6/17/2019,28.76
6/18/2019,28.11
6/19/2019,27.52
6/20/2019,26.94
6/21/2019,27.45
6/24/2019,27.57
6/25/2019,29.34
6/26/2019,28.29
6/27/2019,28.15
6/28/2019,29.71
7/1/2019,25.06
7/2/2019,23.73
7/3/2019,23.96
7/4/2019,.
7/5/2019,24.66
7/8/2019,25.78
7/9/2019,25.69
7/10/2019,25.75
7/11/2019,25.6
7/12/2019,25.82
7/15/2019,26.21
7/16/2019,22.48
7/17/2019,22.05
7/18/2019,21.67
7/19/2019,21.47
7/22/2019,20.81
7/23/2019,20.46
7/24/2019,20.41
7/25/2019,20.92
7/26/2019,20.29
7/29/2019,21.13
7/30/2019,21.78
7/31/2019,22.02
8/1/2019,26.53
8/2/2019,26.74
8/5/2019,32.94
8/6/2019,29.51
8/7/2019,30.24
8/8/2019,27.08
8/9/2019,27.42
8/12/2019,30.5
8/13/2019,27.11
8/14/2019,33.36
8/15/2019,31.71
8/16/2019,28.25
8/19/2019,26.39
8/20/2019,28.02
8/21/2019,26.26
8/22/2019,26.42
8/23/2019,30.65
8/26/2019,29.53
8/27/2019,29.89
8/28/2019,28.75
8/29/2019,26.59
8/30/2019,26.84
9/2/2019,.
9/3/2019,29.49
9/4/2019,27
9/5/2019,26.19
9/6/2019,25.34
9/9/2019,26.31
9/10/2019,26.76
9/11/2019,26.41
9/12/2019,25.73
9/13/2019,25.33
9/16/2019,26.71
9/17/2019,27.55
9/18/2019,26.72
9/19/2019,25.44
9/20/2019,24.78
9/23/2019,26.17
9/24/2019,28.53
9/25/2019,27.04
9/26/2019,26.98
9/27/2019,27.75
9/30/2019,27.85
10/1/2019,30.43
10/2/2019,32.11
10/3/2019,31.44
10/4/2019,28.41
10/7/2019,29.12
10/8/2019,31.98
10/9/2019,30.56
10/10/2019,29.42
10/11/2019,28.51
10/14/2019,26.8
10/15/2019,23.57
10/16/2019,23.56
10/17/2019,24.01
10/18/2019,23.13
10/21/2019,22.32
10/22/2019,22.96
10/23/2019,22.82
10/24/2019,21.71
10/25/2019,21.26
10/28/2019,21.9
10/29/2019,22.1
10/30/2019,22.48
10/31/2019,22.57
11/1/2019,21.45
11/4/2019,22
11/5/2019,21.15
11/6/2019,21.54
11/7/2019,22.78
11/8/2019,22.01
11/11/2019,21.16
11/12/2019,20.38
11/13/2019,21.51
11/14/2019,19.4
11/15/2019,20.42
11/18/2019,20.77
11/19/2019,20.9
11/20/2019,22.04
11/21/2019,22.51
11/22/2019,20.94
11/25/2019,21.09
11/26/2019,20.8
11/27/2019,21.08
11/28/2019,.
11/29/2019,21.49
12/2/2019,23.48
12/3/2019,26.24
12/4/2019,24.87
12/5/2019,23.71
12/6/2019,24.11
12/9/2019,24.49
12/10/2019,24.76
12/11/2019,24.51
12/12/2019,24.52
12/13/2019,22.43
12/16/2019,22.45
12/17/2019,22.5
12/18/2019,22.51
12/19/2019,22.3
12/20/2019,22.38
12/23/2019,22.23
12/24/2019,22.36
12/25/2019,.
12/26/2019,22.66
12/27/2019,23.15
12/30/2019,24.04
12/31/2019,23.8
1/1/2020,.
1/2/2020,23.14
1/3/2020,24
1/6/2020,24.53
1/7/2020,24.58
1/8/2020,24.84
1/9/2020,23.98
1/10/2020,23.54
1/13/2020,25.46
1/14/2020,26.04
1/15/2020,23.03
1/16/2020,22.16
1/17/2020,20.8
1/20/2020,.
1/21/2020,22.38
1/22/2020,21.46
1/23/2020,22.91
1/24/2020,24.44
1/27/2020,26.09
1/28/2020,24.73
1/29/2020,24.34
1/30/2020,24.43
1/31/2020,27.54
2/3/2020,26.14
2/4/2020,24.5
2/5/2020,23.66
2/6/2020,23.27
2/7/2020,23.97
2/10/2020,24.11
2/11/2020,23.52
2/12/2020,22.65
2/13/2020,22.34
2/14/2020,21.76
2/17/2020,.
2/18/2020,23.24
2/19/2020,22.02
2/20/2020,23.68
2/21/2020,26.84
2/24/2020,31.31
2/25/2020,36.28
2/26/2020,35.16
2/27/2020,45.49
2/28/2020,58.3
3/2/2020,42.12
3/3/2020,45.57
3/4/2020,36.93
3/5/2020,54.7
3/6/2020,65.04
3/9/2020,81.45
3/10/2020,76.55
3/11/2020,83.65
3/12/2020,103.45
3/13/2020,87.8
3/16/2020,117.43
3/17/2020,107.29
3/18/2020,123.83
3/19/2020,113.11
3/20/2020,104.14
3/23/2020,101.92
3/24/2020,75.82
3/25/2020,90.36
3/26/2020,74.52
3/27/2020,86.82
3/30/2020,77.61
3/31/2020,72.84
4/1/2020,82.35
4/2/2020,76.34
4/3/2020,78.73
4/6/2020,63.67
4/7/2020,62.61
4/8/2020,63.82
4/9/2020,59.06
4/10/2020,.
4/13/2020,63.8
4/14/2020,57.85
4/15/2020,57.81
4/16/2020,58.8
4/17/2020,55.84
4/20/2020,62.75
4/21/2020,62.39
4/22/2020,60.04
4/23/2020,57.18
4/24/2020,49.92
4/27/2020,46.66
4/28/2020,43.69
4/29/2020,43.78
4/30/2020,46.64
5/1/2020,51.55
5/4/2020,51.7
5/5/2020,47.93
5/6/2020,48.76
5/7/2020,45.49
5/8/2020,44.97
5/11/2020,42.9
5/12/2020,40.93
5/13/2020,50.92
5/14/2020,51.88
5/15/2020,47.91
5/18/2020,46.03
5/19/2020,45.62
5/20/2020,44.79
5/21/2020,44.87
5/22/2020,43.92
5/25/2020,.
5/26/2020,44.25
5/27/2020,45.35
5/28/2020,41.48
5/29/2020,43.63
6/1/2020,43.17
6/2/2020,44.86
6/3/2020,44.82
6/4/2020,41.67
6/5/2020,40.26
6/8/2020,41.51
6/9/2020,42.34
6/10/2020,44.47
6/11/2020,58.21
6/12/2020,54.88
6/15/2020,54.86
6/16/2020,52.67
6/17/2020,51.13
6/18/2020,50.32
6/19/2020,49.23
6/22/2020,47.97
6/23/2020,47.01
6/24/2020,50.66
6/25/2020,51.03
6/26/2020,53.87
6/29/2020,49.47
6/30/2020,45.15
7/1/2020,43.96
7/2/2020,41.64
7/3/2020,.
7/6/2020,44.51
7/7/2020,44.87
7/8/2020,46.08
7/9/2020,48.47
7/10/2020,47.08
7/13/2020,48.19
7/14/2020,44.54
7/15/2020,41.07
7/16/2020,38.2
7/17/2020,36.53
7/20/2020,35.59
7/21/2020,37.1
7/22/2020,35.91
7/23/2020,35.41
7/24/2020,35.83
7/27/2020,35.03
7/28/2020,34.26
7/29/2020,34
7/30/2020,34.29
7/31/2020,34.08
8/3/2020,34.42
8/4/2020,33
8/5/2020,32.58
8/6/2020,33.3
8/7/2020,33.74
8/10/2020,33.56
8/11/2020,34.76
8/12/2020,32.97
8/13/2020,33.6
8/14/2020,33.12
8/17/2020,31.6
8/18/2020,31.5
8/19/2020,30.3
8/20/2020,31.05
8/21/2020,30.71
8/24/2020,32.87
8/25/2020,33.61
8/26/2020,34.04
8/27/2020,35.43
8/28/2020,35.46
8/31/2020,36.34
9/1/2020,37.57
9/2/2020,38.73
9/3/2020,40.89
9/4/2020,40.31
9/7/2020,.
9/8/2020,44.56
9/9/2020,39.09
9/10/2020,38.8
9/11/2020,38.94
9/14/2020,37.76
9/15/2020,36.69
9/16/2020,36.44
9/17/2020,37.4
9/18/2020,36.79
9/21/2020,39.86
9/22/2020,39.76
9/23/2020,41.73
9/24/2020,43.23
9/25/2020,41.92
9/28/2020,42.11
9/29/2020,43.11
9/30/2020,41.91
10/1/2020,42.98
10/2/2020,43.86
10/5/2020,44.2
10/6/2020,42.8
10/7/2020,42.28
10/8/2020,40.83
10/9/2020,38.24
10/12/2020,36.18
10/13/2020,37.42
10/14/2020,34.94
10/15/2020,35.93
10/16/2020,33.51
10/19/2020,37.34
10/20/2020,36.7
10/21/2020,36.9
10/22/2020,35.74
10/23/2020,35.41
10/26/2020,38.65
10/27/2020,38.29
10/28/2020,44.33
10/29/2020,41.63
10/30/2020,45.35
11/2/2020,43.75
11/3/2020,42.97
11/4/2020,36.9
11/5/2020,35.27
11/6/2020,34.04
11/9/2020,32.63
11/10/2020,32.8
11/11/2020,31.84
11/12/2020,34.12
11/13/2020,32.68
11/16/2020,30.71
11/17/2020,30.8
11/18/2020,31.28
11/19/2020,30.87
11/20/2020,31.03
11/23/2020,31.34
11/24/2020,31.8
11/25/2020,32.01
11/26/2020,.
11/27/2020,31.97
11/30/2020,33.47
12/1/2020,32.78
12/2/2020,33.29
12/3/2020,32.94
12/4/2020,32.92
12/7/2020,33.84
12/8/2020,33.25
12/9/2020,34.12
12/10/2020,34.09
12/11/2020,34.64
12/14/2020,35.14
12/15/2020,33.54
12/16/2020,33.37
12/17/2020,32.66
12/18/2020,32.9
12/21/2020,34.75
12/22/2020,33.66
12/23/2020,34.38
12/24/2020,33.88
12/25/2020,.
12/28/2020,33.25
12/29/2020,33.78
12/30/2020,33.03
12/31/2020,34.62
1/1/2021,.
1/4/2021,37.48
1/5/2021,36.66
1/6/2021,35.84
1/7/2021,37.21
1/8/2021,36.77
1/11/2021,37.39
1/12/2021,37.75
1/13/2021,35.93
1/14/2021,36.22
1/15/2021,36.29
1/18/2021,.
1/19/2021,32.04
1/20/2021,32.24
1/21/2021,32.03
1/22/2021,32.45
1/25/2021,34.61
1/26/2021,34.96
1/27/2021,42.19
1/28/2021,39.03
1/29/2021,40.66
2/1/2021,39.55
2/2/2021,36.09
2/3/2021,34.61
2/4/2021,33.73
2/5/2021,32.36
2/8/2021,34.33
2/9/2021,33.19
2/10/2021,33.48
2/11/2021,33.76
2/12/2021,32.78
2/15/2021,.
2/16/2021,33.64
2/17/2021,34.21
2/18/2021,33.55
2/19/2021,32.36
2/22/2021,33.6
2/23/2021,34.03
2/24/2021,34.93
2/25/2021,38.17
2/26/2021,36.1
3/1/2021,34.68
3/2/2021,35.64
3/3/2021,38.25
3/4/2021,39.64
3/5/2021,36.93
3/8/2021,37.87
3/9/2021,35.75
3/10/2021,36.67
3/11/2021,35.54
3/12/2021,35.68
3/15/2021,35.42
3/16/2021,32.63
3/17/2021,32.6
3/18/2021,34.57
3/19/2021,32.95
3/22/2021,31.51
3/23/2021,32.3
3/24/2021,33.13
3/25/2021,33.98
3/26/2021,33.76
3/29/2021,34.56
3/30/2021,34
3/31/2021,33.56
4/1/2021,32.87
4/2/2021,.
4/5/2021,33.16
4/6/2021,31.85
4/7/2021,31.67
4/8/2021,31.83
4/9/2021,30.51
4/12/2021,30.71
4/13/2021,29.45
4/14/2021,26.07
4/15/2021,26.84
4/16/2021,25.93
4/19/2021,28.59
4/20/2021,30.15
4/21/2021,27.71
4/22/2021,29.03
4/23/2021,27.55
4/26/2021,27.63
4/27/2021,27.8
4/28/2021,27.39
4/29/2021,27.09
4/30/2021,27.66
5/3/2021,27.21
5/4/2021,29.47
5/5/2021,27.96
5/6/2021,28.34
5/7/2021,28.11
5/10/2021,29.52
5/11/2021,31.93
5/12/2021,35.79
5/13/2021,32.52
5/14/2021,29.05
5/17/2021,30.11
5/18/2021,30.16
5/19/2021,32.24
5/20/2021,28.83
5/21/2021,28.98
5/24/2021,27.72
5/25/2021,28.79
5/26/2021,27.61
5/27/2021,27.35
5/28/2021,26.1
5/31/2021,.
6/1/2021,27.55
6/2/2021,28.41
6/3/2021,29.72
6/4/2021,27.8
6/7/2021,28.79
6/8/2021,28.44
6/9/2021,29.67
6/10/2021,30.32
6/11/2021,27.73
6/14/2021,27.92
6/15/2021,29.59
6/16/2021,30.09
6/17/2021,30.85
6/18/2021,33.03
6/21/2021,30.72
6/22/2021,30.16
6/23/2021,30.01
6/24/2021,30.64
6/25/2021,28.3
6/28/2021,28.7
6/29/2021,29.43
6/30/2021,28.84
7/1/2021,28.93
7/2/2021,27.25
7/5/2021,.
7/6/2021,28.56
7/7/2021,28.91
7/8/2021,32.2
7/9/2021,29.32
7/12/2021,29.29
7/13/2021,27.14
7/14/2021,26.76
7/15/2021,26.57
7/16/2021,27.63
7/19/2021,33.19
7/20/2021,29.74
7/21/2021,28.47
7/22/2021,28.48
7/23/2021,27.81
7/26/2021,28.83
7/27/2021,30.53
7/28/2021,29.13
7/29/2021,28.19
7/30/2021,28.52
8/2/2021,30.26
8/3/2021,29.67
8/4/2021,28.9
8/5/2021,29.24
8/6/2021,29.52
8/9/2021,30.24
8/10/2021,30.01
8/11/2021,29.17
8/12/2021,28.55
8/13/2021,28.26
8/16/2021,29.13
8/17/2021,31.42
8/18/2021,31.65
8/19/2021,33.99
8/20/2021,30.44
8/23/2021,29.86
8/24/2021,29.7
8/25/2021,29.14
8/26/2021,29.8
8/27/2021,28.54
8/30/2021,29.22
8/31/2021,29.41
9/1/2021,28.89
9/2/2021,28.51
9/3/2021,28.98
9/6/2021,.
9/7/2021,29.34
9/8/2021,30.59
9/9/2021,30.03
9/10/2021,30.84
9/13/2021,30.73
9/14/2021,32.99
9/15/2021,32.92
9/16/2021,31.47
9/17/2021,32.75
9/20/2021,40.04
9/21/2021,38.26
9/22/2021,35.71
9/23/2021,33.88
9/24/2021,32.72
9/27/2021,33.34
9/28/2021,35.61
9/29/2021,35.87
9/30/2021,37.2
10/1/2021,35.53
10/4/2021,36.97
10/5/2021,34.72
10/6/2021,36.72
10/7/2021,33.51
10/8/2021,32.74
10/11/2021,34.57
10/12/2021,33.67
10/13/2021,31.52
10/14/2021,27.81
10/15/2021,25.56
10/18/2021,25.17
10/19/2021,25.22
10/20/2021,25.33
10/21/2021,25.66
10/22/2021,25.51
10/25/2021,25.8
10/26/2021,27.11
10/27/2021,28.33
10/28/2021,28.04
10/29/2021,27.64
11/1/2021,27.53
11/2/2021,30.86
11/3/2021,30.29
11/4/2021,30.85
11/5/2021,29.33
11/8/2021,30.72
11/9/2021,31.05
11/10/2021,31.92
11/11/2021,30.33
11/12/2021,29.16
11/15/2021,29.12
11/16/2021,28.49
11/17/2021,30.34
11/18/2021,30.31
11/19/2021,31.73
11/22/2021,31.69
11/23/2021,32.37
11/24/2021,32.85
11/25/2021,.
11/26/2021,38.03
11/29/2021,34.76
11/30/2021,39.33
12/1/2021,41.31
12/2/2021,40.7
12/3/2021,45.64
12/6/2021,40.68
12/7/2021,33.98
12/8/2021,34.08
12/9/2021,36.66
12/10/2021,34.6
12/13/2021,37.11
12/14/2021,39.33
12/15/2021,36.88
12/16/2021,37.98
12/17/2021,37.86
12/20/2021,39.98
12/21/2021,35.35
12/22/2021,33.07
12/23/2021,31
12/24/2021,.
12/27/2021,31.17
12/28/2021,31.02
12/29/2021,29.68
12/30/2021,29.31
12/31/2021,29.34
1/3/2022,30.74
1/4/2022,30.54
1/5/2022,32.94
1/6/2022,33.59
1/7/2022,33.05
1/10/2022,34.48
1/11/2022,32.8
1/12/2022,32.85
1/13/2022,35.46
1/14/2022,36.21
1/17/2022,.
1/18/2022,31.62
1/19/2022,31.51
1/20/2022,32.98
1/21/2022,35.57
1/24/2022,41.55
1/25/2022,42.14
1/26/2022,40.53
1/27/2022,41.26
1/28/2022,37.3
1/31/2022,36.09
2/1/2022,34.3
2/2/2022,34.79
2/3/2022,38.44
2/4/2022,33.8
2/7/2022,33.72
2/8/2022,32.94
2/9/2022,30.67
2/10/2022,33.2
2/11/2022,36.35
2/14/2022,37.54
2/15/2022,34.25
2/16/2022,33.08
2/17/2022,38.08
2/18/2022,37.47
2/21/2022,.
2/22/2022,39.12
2/23/2022,40.54
2/24/2022,40.25
2/25/2022,36.25
2/28/2022,40.82
3/1/2022,46
3/2/2022,40.49
3/3/2022,41.66
3/4/2022,44.77
3/7/2022,48.45
3/8/2022,48.07
3/9/2022,45.02
3/10/2022,45.83
3/11/2022,45.29
3/14/2022,46.88
3/15/2022,44.57
3/16/2022,39.58
3/17/2022,37.9
3/18/2022,36.54
3/21/2022,37.09
3/22/2022,34.32
3/23/2022,36.67
3/24/2022,35.63
3/25/2022,34.67
3/28/2022,34.54
3/29/2022,32.78
3/30/2022,34.18
3/31/2022,35.23
4/1/2022,34.87
4/4/2022,33.7
4/5/2022,36.06
4/6/2022,37.65
4/7/2022,38.46
4/8/2022,38.18
4/11/2022,38.82
4/12/2022,38.22
4/13/2022,35.07
4/14/2022,31.27
4/15/2022,.
