Date,Trend
10/1/2023,40
10/2/2023,68
10/3/2023,66
10/4/2023,63
10/5/2023,67
10/6/2023,67
10/7/2023,41
10/8/2023,38
10/9/2023,58
10/10/2023,62
10/11/2023,71
10/12/2023,66
10/13/2023,64
10/14/2023,39
10/15/2023,39
10/16/2023,67
10/17/2023,90
10/18/2023,82
10/19/2023,69
10/20/2023,62
10/21/2023,41
10/22/2023,39
10/23/2023,62
10/24/2023,63
10/25/2023,73
10/26/2023,67
10/27/2023,59
10/28/2023,38
10/29/2023,39
10/30/2023,60
10/31/2023,65
11/1/2023,67
11/2/2023,76
11/3/2023,74
11/4/2023,42
11/5/2023,37
11/6/2023,63
11/7/2023,64
11/8/2023,83
11/9/2023,70
11/10/2023,55
11/11/2023,42
11/12/2023,36
11/13/2023,66
11/14/2023,74
11/15/2023,67
11/16/2023,61
11/17/2023,62
11/18/2023,43
11/19/2023,37
11/20/2023,62
11/21/2023,62
11/22/2023,54
11/23/2023,48
11/24/2023,46
11/25/2023,36
11/26/2023,32
11/27/2023,58
11/28/2023,71
11/29/2023,100
11/30/2023,84
12/1/2023,70
12/2/2023,46
12/3/2023,41
12/4/2023,64
12/5/2023,67
12/6/2023,68
12/7/2023,69
12/8/2023,70
12/9/2023,47
12/10/2023,40
12/11/2023,70
12/12/2023,74
12/13/2023,83
12/14/2023,77
12/15/2023,68
12/16/2023,45
12/17/2023,36
12/18/2023,61
12/19/2023,64
12/20/2023,59
12/21/2023,56
12/22/2023,50
12/23/2023,40
12/24/2023,34
12/25/2023,39
12/26/2023,47
12/27/2023,51
12/28/2023,55
12/29/2023,57
12/30/2023,39
12/31/2023,36
1/1/2024,43
1/2/2024,62
1/3/2024,70
1/4/2024,71
1/5/2024,67
1/6/2024,51
