Date,Volatility
6/13/2019,27.68
6/14/2019,28.1
6/17/2019,29.28
6/18/2019,29.19
6/19/2019,28.78
6/20/2019,28.91
6/21/2019,28.44
6/24/2019,28.6
6/25/2019,29.26
6/26/2019,29.58
6/27/2019,29.53
6/28/2019,33.54
7/1/2019,27.63
7/2/2019,27.23
7/3/2019,26.9
7/4/2019,.
7/5/2019,27.69
7/8/2019,27.7
7/9/2019,27.92
7/10/2019,27.65
7/11/2019,27.14
7/12/2019,26.93
7/15/2019,26.74
7/16/2019,26.52
7/17/2019,29.76
7/18/2019,38.23
7/19/2019,22.93
7/22/2019,20.84
7/23/2019,20.14
7/24/2019,19.9
7/25/2019,20.65
7/26/2019,19.85
7/29/2019,20.48
7/30/2019,21.17
7/31/2019,22.01
8/1/2019,26.15
8/2/2019,23.78
8/5/2019,31.92
8/6/2019,27.01
8/7/2019,26.94
8/8/2019,23.51
8/9/2019,24.95
8/12/2019,23.96
8/13/2019,22.88
8/14/2019,26.75
8/15/2019,25.94
8/16/2019,22.43
8/19/2019,22.8
8/20/2019,23.34
8/21/2019,21.95
8/22/2019,23.33
8/23/2019,27.73
8/26/2019,27.48
8/27/2019,27.68
8/28/2019,27.13
8/29/2019,25.67
8/30/2019,25.73
9/2/2019,.
9/3/2019,28.68
9/4/2019,26.99
9/5/2019,26.23
9/6/2019,25.86
9/9/2019,27.18
9/10/2019,27.07
9/11/2019,26.68
9/12/2019,26.58
9/13/2019,26.46
9/16/2019,28.35
9/17/2019,28.47
9/18/2019,28.19
9/19/2019,27.16
9/20/2019,28.47
9/23/2019,28.85
9/24/2019,29.92
9/25/2019,29.49
9/26/2019,29.97
9/27/2019,31.85
9/30/2019,30.51
10/1/2019,31.27
10/2/2019,33.47
10/3/2019,32.66
10/4/2019,30.89
10/7/2019,31.49
10/8/2019,34.21
10/9/2019,32.46
10/10/2019,31.78
10/11/2019,30.44
10/14/2019,30.22
10/15/2019,29.72
10/16/2019,29.19
10/17/2019,20.84
10/18/2019,21.09
10/21/2019,20.27
10/22/2019,20.7
10/23/2019,19.73
10/24/2019,18.9
10/25/2019,18.78
10/28/2019,18.64
10/29/2019,19.71
10/30/2019,19.06
10/31/2019,19.63
11/1/2019,18.69
11/4/2019,18.56
11/5/2019,18.71
11/6/2019,17.78
11/7/2019,17.67
11/8/2019,17.87
11/11/2019,17.3
11/12/2019,17.2
11/13/2019,18.21
11/14/2019,18.02
11/15/2019,16.85
11/18/2019,17.12
11/19/2019,17.14
11/20/2019,18.52
11/21/2019,18.39
11/22/2019,17.42
11/25/2019,17.19
11/26/2019,16.64
11/27/2019,17.12
11/28/2019,.
11/29/2019,18.41
12/2/2019,19.29
12/3/2019,20.64
12/4/2019,19.67
12/5/2019,19.19
12/6/2019,18.34
12/9/2019,18.92
12/10/2019,19.44
12/11/2019,19.22
12/12/2019,19.23
12/13/2019,17.57
12/16/2019,16.08
12/17/2019,16.55
12/18/2019,15.96
12/19/2019,16.92
12/20/2019,17.3
12/23/2019,18.04
12/24/2019,18.9
12/25/2019,.
12/26/2019,19.98
12/27/2019,20.18
12/30/2019,22.65
12/31/2019,22.14
1/1/2020,.
1/2/2020,22.14
1/3/2020,23.35
1/6/2020,24.25
1/7/2020,24.03
1/8/2020,23.52
1/9/2020,23.5
1/10/2020,22.96
1/13/2020,25.63
1/14/2020,26.2
1/15/2020,26.1
1/16/2020,25.48
1/17/2020,25.75
1/20/2020,.
1/21/2020,33.27
1/22/2020,16.31
1/23/2020,16.66
1/24/2020,17.86
1/27/2020,20.45
1/28/2020,19.22
1/29/2020,19.06
1/30/2020,19.42
1/31/2020,22.12
2/3/2020,21.96
2/4/2020,20.92
2/5/2020,23.24
2/6/2020,20.91
2/7/2020,21
2/10/2020,20.63
2/11/2020,20.48
2/12/2020,19.44
2/13/2020,19.62
2/14/2020,20.02
2/17/2020,.
2/18/2020,19.74
2/19/2020,19.26
2/20/2020,19.82
2/21/2020,21.68
2/24/2020,26.34
2/25/2020,31.68
2/26/2020,30.7
2/27/2020,43.62
2/28/2020,51.72
3/2/2020,36.44
3/3/2020,45.64
3/4/2020,34.07
3/5/2020,45.66
3/6/2020,51.43
3/9/2020,54.62
3/10/2020,50.26
3/11/2020,62.66
3/12/2020,77.86
3/13/2020,68.76
3/16/2020,61
3/17/2020,71.89
3/18/2020,96.65
3/19/2020,88.42
3/20/2020,70.04
3/23/2020,52.05
3/24/2020,71.36
3/25/2020,64.18
3/26/2020,53.63
3/27/2020,68.48
3/30/2020,60.05
3/31/2020,59.3
4/1/2020,64.68
4/2/2020,60.03
4/3/2020,59.36
4/6/2020,53.39
4/7/2020,53.85
4/8/2020,52.56
4/9/2020,53.76
4/10/2020,.
4/13/2020,52.76
4/14/2020,49.49
4/15/2020,54.07
4/16/2020,56.85
4/17/2020,54.6
4/20/2020,41.44
4/21/2020,50.21
4/22/2020,47.27
4/23/2020,43.61
4/24/2020,40.41
4/27/2020,38.03
4/28/2020,37.14
4/29/2020,34.94
4/30/2020,37.05
5/1/2020,39.75
5/4/2020,40.02
5/5/2020,36.9
5/6/2020,36.77
5/7/2020,36.44
5/8/2020,32.22
5/11/2020,32.54
5/12/2020,33.08
5/13/2020,38.98
5/14/2020,37.98
5/15/2020,37.11
5/18/2020,33.99
5/19/2020,34.57
5/20/2020,33.58
5/21/2020,34.36
5/22/2020,33.46
5/25/2020,.
5/26/2020,32.62
5/27/2020,33.1
5/28/2020,33.13
5/29/2020,31.84
6/1/2020,33.4
6/2/2020,31.07
6/3/2020,30.13
6/4/2020,30.8
6/5/2020,30
6/8/2020,29.58
6/9/2020,33.33
6/10/2020,33.93
6/11/2020,45.36
6/12/2020,42.75
6/15/2020,42.03
6/16/2020,40.36
6/17/2020,41.94
6/18/2020,39.55
6/19/2020,40
6/22/2020,40.05
6/23/2020,39.18
6/24/2020,41.01
6/25/2020,40.02
6/26/2020,39.84
6/29/2020,39.21
6/30/2020,36.73
7/1/2020,36.99
7/2/2020,35.18
7/3/2020,.
7/6/2020,36.76
7/7/2020,38.64
7/8/2020,39.36
7/9/2020,39.75
7/10/2020,40.02
7/13/2020,42.71
7/14/2020,41.84
7/15/2020,40.43
7/16/2020,38.99
7/17/2020,37.17
7/20/2020,35.99
7/21/2020,29.06
7/22/2020,27.45
7/23/2020,29.36
7/24/2020,29.13
7/27/2020,29.16
7/28/2020,28.97
7/29/2020,27.72
7/30/2020,28.76
7/31/2020,28.12
8/3/2020,28.29
8/4/2020,26.81
8/5/2020,25.99
8/6/2020,25.42
8/7/2020,27.43
8/10/2020,25.44
8/11/2020,27.78
8/12/2020,26.51
8/13/2020,26.57
8/14/2020,26.52
8/17/2020,26.03
8/18/2020,25.4
8/19/2020,25.17
8/20/2020,25.62
8/21/2020,25.4
8/24/2020,25.32
8/25/2020,25.65
8/26/2020,26.35
8/27/2020,28.47
8/28/2020,29.15
8/31/2020,29.43
9/1/2020,29.29
9/2/2020,34.4
9/3/2020,36.06
9/4/2020,34.4
9/7/2020,.
9/8/2020,35.46
9/9/2020,32.05
9/10/2020,31.07
9/11/2020,30.25
9/14/2020,27.29
9/15/2020,27.34
9/16/2020,29.43
9/17/2020,29.95
9/18/2020,28.93
9/21/2020,30.25
9/22/2020,30.2
9/23/2020,31.89
9/24/2020,32.94
9/25/2020,31.37
9/28/2020,31.26
9/29/2020,32.86
9/30/2020,31.94
10/1/2020,33.82
10/2/2020,33.61
10/5/2020,34.65
10/6/2020,35.43
10/7/2020,34.37
10/8/2020,33.78
10/9/2020,31.83
10/12/2020,36.04
10/13/2020,36.24
10/14/2020,36.56
10/15/2020,35.97
10/16/2020,34.39
10/19/2020,34.01
10/20/2020,29.62
10/21/2020,31.51
10/22/2020,30.23
10/23/2020,30.69
10/26/2020,34.04
10/27/2020,33.81
10/28/2020,39.79
10/29/2020,35.7
10/30/2020,39.12
11/2/2020,37.07
11/3/2020,35.29
11/4/2020,31.1
11/5/2020,29.74
11/6/2020,28.39
11/9/2020,27.68
11/10/2020,28.95
11/11/2020,29.29
11/12/2020,29.84
11/13/2020,28.14
11/16/2020,27.04
11/17/2020,27.74
11/18/2020,26.87
11/19/2020,26.29
11/20/2020,26.23
11/23/2020,25.68
11/24/2020,25.78
11/25/2020,25.91
11/26/2020,.
11/27/2020,26.51
11/30/2020,27
12/1/2020,26.84
12/2/2020,26.73
12/3/2020,26.36
12/4/2020,26.38
12/7/2020,27.05
12/8/2020,27.04
12/9/2020,27.05
12/10/2020,28.1
12/11/2020,27.76
12/14/2020,27.65
12/15/2020,27.38
12/16/2020,27.57
12/17/2020,26.87
12/18/2020,28.01
12/21/2020,29.88
12/22/2020,28.92
12/23/2020,28.31
12/24/2020,28.08
12/25/2020,.
12/28/2020,28.24
12/29/2020,30.15
12/30/2020,29.73
12/31/2020,30.12
1/1/2021,.
1/4/2021,33.25
1/5/2021,32.1
1/6/2021,31.11
1/7/2021,31.23
1/8/2021,31.3
1/11/2021,35.21
1/12/2021,34.56
1/13/2021,33.96
1/14/2021,34.89
1/15/2021,33.84
1/18/2021,.
1/19/2021,32.33
1/20/2021,34.81
1/21/2021,34.86
1/22/2021,28.58
1/25/2021,29.51
1/26/2021,28.94
1/27/2021,32.36
1/28/2021,30.64
1/29/2021,33.58
2/1/2021,31.61
2/2/2021,29.93
2/3/2021,28.25
2/4/2021,27.89
2/5/2021,27.09
2/8/2021,28
2/9/2021,27.17
2/10/2021,26.78
2/11/2021,26.51
2/12/2021,25.84
2/15/2021,.
2/16/2021,27.47
2/17/2021,26.98
2/18/2021,26.45
2/19/2021,25.83
2/22/2021,26.29
2/23/2021,25.32
2/24/2021,25.5
2/25/2021,29.19
2/26/2021,27.05
3/1/2021,25.34
3/2/2021,25.3
3/3/2021,26.53
3/4/2021,28.4
3/5/2021,25.74
3/8/2021,26.97
3/9/2021,25.29
3/10/2021,26.24
3/11/2021,25.63
3/12/2021,25.23
3/15/2021,23.91
3/16/2021,22.93
3/17/2021,23.13
3/18/2021,24.84
3/19/2021,24.24
3/22/2021,22.85
3/23/2021,23.55
3/24/2021,24.25
3/25/2021,25.1
3/26/2021,25.32
3/29/2021,27.37
3/30/2021,26.72
3/31/2021,26.2
4/1/2021,25.54
4/2/2021,.
4/5/2021,27.28
4/6/2021,27.61
4/7/2021,27.44
4/8/2021,28.57
4/9/2021,28.75
4/12/2021,33
4/13/2021,31.78
4/14/2021,32.96
4/15/2021,32.06
4/16/2021,31.23
4/19/2021,14.8
4/20/2021,22.08
4/21/2021,21.41
4/22/2021,22.28
4/23/2021,20.12
4/26/2021,20.93
4/27/2021,20.93
4/28/2021,21.8
4/29/2021,20.8
4/30/2021,21.06
5/3/2021,21.24
5/4/2021,23.96
5/5/2021,21.86
5/6/2021,22.99
5/7/2021,22.63
5/10/2021,23.44
5/11/2021,24.68
5/12/2021,29.03
5/13/2021,26.28
5/14/2021,23.05
5/17/2021,24.51
5/18/2021,23.76
5/19/2021,24.99
5/20/2021,23.77
5/21/2021,23.17
5/24/2021,21.01
5/25/2021,20.99
5/26/2021,20.26
5/27/2021,20.16
5/28/2021,19.15
5/31/2021,.
6/1/2021,20.75
6/2/2021,20.27
6/3/2021,21.05
6/4/2021,19.52
6/7/2021,19.9
6/8/2021,20.89
6/9/2021,20.29
6/10/2021,19.83
6/11/2021,23.31
6/14/2021,20.71
6/15/2021,22.34
6/16/2021,22.8
6/17/2021,23.32
6/18/2021,27.02
6/21/2021,24.09
6/22/2021,22.81
6/23/2021,22.93
6/24/2021,23.36
6/25/2021,22.3
6/28/2021,25.05
6/29/2021,24.77
6/30/2021,25.1
7/1/2021,24.81
7/2/2021,27.46
7/5/2021,.
7/6/2021,28.51
