,Date,Trend,isPartial
0,2023-10-01,29,False
1,2023-10-02,46,False
2,2023-10-03,52,False
3,2023-10-04,53,False
4,2023-10-05,53,False
5,2023-10-06,50,False
6,2023-10-07,31,False
7,2023-10-08,26,False
8,2023-10-09,49,False
9,2023-10-10,54,False
10,2023-10-11,53,False
11,2023-10-12,53,False
12,2023-10-13,48,False
13,2023-10-14,33,False
14,2023-10-15,28,False
15,2023-10-16,53,False
16,2023-10-17,53,False
17,2023-10-18,52,False
18,2023-10-19,52,False
19,2023-10-20,48,False
20,2023-10-21,36,False
21,2023-10-22,25,False
22,2023-10-23,49,False
23,2023-10-24,52,False
24,2023-10-25,59,False
25,2023-10-26,55,False
26,2023-10-27,47,False
27,2023-10-28,35,False
28,2023-10-29,36,False
29,2023-10-30,53,False
30,2023-10-31,51,False
31,2023-11-01,50,False
32,2023-11-02,53,False
33,2023-11-03,48,False
34,2023-11-04,35,False
35,2023-11-05,30,False
36,2023-11-06,52,False
37,2023-11-07,52,False
38,2023-11-08,53,False
39,2023-11-09,50,False
40,2023-11-10,46,False
41,2023-11-11,35,False
42,2023-11-12,26,False
43,2023-11-13,48,False
44,2023-11-14,51,False
45,2023-11-15,47,False
46,2023-11-16,52,False
47,2023-11-17,53,False
48,2023-11-18,39,False
49,2023-11-19,27,False
50,2023-11-20,53,False
51,2023-11-21,55,False
52,2023-11-22,50,False
53,2023-11-23,42,False
54,2023-11-24,46,False
55,2023-11-25,35,False
56,2023-11-26,28,False
57,2023-11-27,52,False
58,2023-11-28,53,False
59,2023-11-29,58,False
60,2023-11-30,49,False
61,2023-12-01,50,False
62,2023-12-02,35,False
63,2023-12-03,34,False
64,2023-12-04,64,False
65,2023-12-05,60,False
66,2023-12-06,65,False
67,2023-12-07,56,False
68,2023-12-08,49,False
69,2023-12-09,36,False
70,2023-12-10,29,False
71,2023-12-11,49,False
72,2023-12-12,49,False
73,2023-12-13,56,False
74,2023-12-14,56,False
75,2023-12-15,49,False
76,2023-12-16,35,False
77,2023-12-17,27,False
78,2023-12-18,51,False
79,2023-12-19,51,False
80,2023-12-20,50,False
81,2023-12-21,46,False
82,2023-12-22,40,False
83,2023-12-23,33,False
84,2023-12-24,24,False
85,2023-12-25,25,False
86,2023-12-26,40,False
87,2023-12-27,43,False
88,2023-12-28,48,False
89,2023-12-29,36,False
90,2023-12-30,31,False
91,2023-12-31,23,False
92,2024-01-01,24,False
93,2024-01-02,44,False
94,2024-01-03,47,False
95,2024-01-04,50,False
96,2024-01-05,45,False
97,2024-01-06,35,False
98,2024-01-07,28,False
99,2024-01-08,48,False
100,2024-01-09,59,False
101,2024-01-10,52,False
102,2024-01-11,52,False
103,2024-01-12,51,False
104,2024-01-13,34,False
105,2024-01-14,27,False
106,2024-01-15,42,False
107,2024-01-16,52,False
108,2024-01-17,55,False
109,2024-01-18,55,False
110,2024-01-19,54,False
111,2024-01-20,33,False
112,2024-01-21,37,False
113,2024-01-22,54,False
114,2024-01-23,63,False
115,2024-01-24,63,False
116,2024-01-25,83,False
117,2024-01-26,65,False
118,2024-01-27,45,False
119,2024-01-28,32,False
120,2024-01-29,61,False
121,2024-01-30,66,False
122,2024-01-31,64,False
123,2024-02-01,64,False
124,2024-02-02,58,False
125,2024-02-03,43,False
126,2024-02-04,35,False
127,2024-02-05,58,False
128,2024-02-06,63,False
129,2024-02-07,63,False
130,2024-02-08,64,False
131,2024-02-09,62,False
132,2024-02-10,35,False
133,2024-02-11,40,False
134,2024-02-12,54,False
135,2024-02-13,62,False
136,2024-02-14,58,False
137,2024-02-15,64,False
138,2024-02-16,55,False
139,2024-02-17,39,False
140,2024-02-18,32,False
141,2024-02-19,53,False
142,2024-02-20,60,False
143,2024-02-21,57,False
144,2024-02-22,64,False
145,2024-02-23,53,False
146,2024-02-24,44,False
147,2024-02-25,38,False
148,2024-02-26,63,False
149,2024-02-27,57,False
150,2024-02-28,59,False
151,2024-02-29,56,False
152,2024-03-01,55,False
153,2024-03-02,39,False
154,2024-03-03,32,False
155,2024-03-04,63,False
156,2024-03-05,59,False
157,2024-03-06,62,False
158,2024-03-07,62,False
159,2024-03-08,54,False
160,2024-03-09,39,False
161,2024-03-10,34,False
162,2024-03-11,64,False
163,2024-03-12,62,False
164,2024-03-13,65,False
165,2024-03-14,63,False
166,2024-03-15,54,False
167,2024-03-16,41,False
168,2024-03-17,32,False
169,2024-03-18,58,False
170,2024-03-19,59,False
171,2024-03-20,59,False
172,2024-03-21,61,False
173,2024-03-22,54,False
174,2024-03-23,39,False
175,2024-03-24,34,False
176,2024-03-25,58,False
177,2024-03-26,63,False
178,2024-03-27,60,False
179,2024-03-28,59,False
180,2024-03-29,42,False
181,2024-03-30,38,False
182,2024-03-31,29,False
183,2024-04-01,49,False
184,2024-04-02,55,False
185,2024-04-03,57,False
186,2024-04-04,56,False
187,2024-04-05,51,False
188,2024-04-06,39,False
189,2024-04-07,29,False
190,2024-04-08,49,False
191,2024-04-09,51,False
192,2024-04-10,54,False
193,2024-04-11,54,False
194,2024-04-12,53,False
195,2024-04-13,35,False
196,2024-04-14,30,False
197,2024-04-15,54,False
198,2024-04-16,56,False
199,2024-04-17,57,False
200,2024-04-18,57,False
201,2024-04-19,52,False
202,2024-04-20,34,False
203,2024-04-21,28,False
204,2024-04-22,54,False
205,2024-04-23,64,False
206,2024-04-24,71,False
207,2024-04-25,100,False
208,2024-04-26,80,False
209,2024-04-27,44,False
210,2024-04-28,40,False
211,2024-04-29,51,False
212,2024-04-30,48,False
213,2024-05-01,49,False
214,2024-05-02,54,False
215,2024-05-03,48,False
216,2024-05-04,35,False
217,2024-05-05,29,False
218,2024-05-06,58,False
219,2024-05-07,56,False
220,2024-05-08,60,False
221,2024-05-09,55,False
222,2024-05-10,54,False
223,2024-05-11,33,False
224,2024-05-12,28,False
225,2024-05-13,53,False
226,2024-05-14,56,False
227,2024-05-15,58,False
228,2024-05-16,60,False
229,2024-05-17,55,False
230,2024-05-18,38,False
231,2024-05-19,30,False
232,2024-05-20,55,False
233,2024-05-21,59,False
234,2024-05-22,55,False
235,2024-05-23,60,False
236,2024-05-24,53,False
237,2024-05-25,36,False
238,2024-05-26,32,False
239,2024-05-27,51,False
240,2024-05-28,59,False
241,2024-05-29,56,False
242,2024-05-30,52,False
243,2024-05-31,50,False
244,2024-06-01,36,False
