Date,Trend
10/1/2023,47
10/2/2023,77
10/3/2023,85
10/4/2023,85
10/5/2023,87
10/6/2023,79
10/7/2023,48
10/8/2023,41
10/9/2023,75
10/10/2023,90
10/11/2023,84
10/12/2023,85
10/13/2023,76
10/14/2023,53
10/15/2023,45
10/16/2023,84
10/17/2023,86
10/18/2023,86
10/19/2023,87
10/20/2023,96
10/21/2023,57
10/22/2023,40
10/23/2023,79
10/24/2023,90
10/25/2023,93
10/26/2023,93
10/27/2023,78
10/28/2023,54
10/29/2023,57
10/30/2023,81
10/31/2023,84
11/1/2023,81
11/2/2023,85
11/3/2023,75
11/4/2023,56
11/5/2023,46
11/6/2023,85
11/7/2023,88
11/8/2023,84
11/9/2023,85
11/10/2023,74
11/11/2023,54
11/12/2023,42
11/13/2023,80
11/14/2023,87
11/15/2023,84
11/16/2023,81
11/17/2023,86
11/18/2023,60
11/19/2023,42
11/20/2023,78
11/21/2023,88
11/22/2023,76
11/23/2023,75
11/24/2023,73
11/25/2023,56
11/26/2023,45
11/27/2023,80
11/28/2023,85
11/29/2023,87
11/30/2023,78
12/1/2023,75
12/2/2023,56
12/3/2023,55
12/4/2023,100
12/5/2023,96
12/6/2023,90
12/7/2023,82
12/8/2023,75
12/9/2023,55
12/10/2023,46
12/11/2023,72
12/12/2023,88
12/13/2023,87
12/14/2023,91
12/15/2023,79
12/16/2023,54
12/17/2023,42
12/18/2023,84
12/19/2023,84
12/20/2023,80
12/21/2023,76
12/22/2023,63
12/23/2023,51
12/24/2023,38
12/25/2023,40
12/26/2023,63
12/27/2023,66
12/28/2023,73
12/29/2023,57
12/30/2023,48
12/31/2023,35
1/1/2024,38
1/2/2024,71
1/3/2024,73
1/4/2024,70
1/5/2024,72
1/6/2024,55
