Date,Trend
10/1/2023,24
10/2/2023,36
10/3/2023,38
10/4/2023,38
10/5/2023,36
10/6/2023,35
10/7/2023,22
10/8/2023,19
10/9/2023,33
10/10/2023,34
10/11/2023,39
10/12/2023,39
10/13/2023,34
10/14/2023,21
10/15/2023,24
10/16/2023,33
10/17/2023,42
10/18/2023,41
10/19/2023,35
10/20/2023,32
10/21/2023,23
10/22/2023,25
10/23/2023,36
10/24/2023,43
10/25/2023,44
10/26/2023,38
10/27/2023,44
10/28/2023,33
10/29/2023,29
10/30/2023,41
10/31/2023,38
11/1/2023,41
11/2/2023,36
11/3/2023,40
11/4/2023,27
11/5/2023,21
11/6/2023,40
11/7/2023,39
11/8/2023,41
11/9/2023,35
11/10/2023,33
11/11/2023,25
11/12/2023,23
11/13/2023,38
11/14/2023,39
11/15/2023,43
11/16/2023,35
11/17/2023,38
11/18/2023,22
11/19/2023,19
11/20/2023,35
11/21/2023,36
11/22/2023,32
11/23/2023,25
11/24/2023,29
11/25/2023,21
11/26/2023,20
11/27/2023,34
11/28/2023,35
11/29/2023,41
11/30/2023,36
12/1/2023,34
12/2/2023,26
12/3/2023,22
12/4/2023,39
12/5/2023,39
12/6/2023,37
12/7/2023,37
12/8/2023,41
12/9/2023,26
12/10/2023,24
12/11/2023,39
12/12/2023,41
12/13/2023,35
12/14/2023,32
12/15/2023,31
12/16/2023,22
12/17/2023,21
12/18/2023,31
12/19/2023,35
12/20/2023,32
12/21/2023,30
12/22/2023,25
12/23/2023,19
12/24/2023,14
12/25/2023,22
12/26/2023,29
12/27/2023,32
12/28/2023,31
12/29/2023,32
12/30/2023,22
12/31/2023,22
1/1/2024,18
1/2/2024,36
1/3/2024,37
1/4/2024,34
1/5/2024,32
1/6/2024,25
1/7/2024,21
1/8/2024,40
1/9/2024,36
1/10/2024,37
1/11/2024,36
1/12/2024,36
1/13/2024,23
1/14/2024,18
1/15/2024,34
1/16/2024,36
1/17/2024,39
1/18/2024,36
1/19/2024,33
1/20/2024,25
1/21/2024,25
1/22/2024,41
1/23/2024,53
1/24/2024,46
1/25/2024,48
1/26/2024,35
1/27/2024,27
1/28/2024,28
1/29/2024,41
1/30/2024,43
1/31/2024,37
2/1/2024,43
2/2/2024,36
2/3/2024,24
2/4/2024,22
2/5/2024,37
2/6/2024,39
2/7/2024,43
2/8/2024,39
2/9/2024,39
2/10/2024,21
2/11/2024,23
2/12/2024,36
2/13/2024,38
2/14/2024,38
2/15/2024,38
2/16/2024,38
2/17/2024,23
2/18/2024,25
2/19/2024,39
2/20/2024,38
2/21/2024,41
2/22/2024,41
2/23/2024,33
2/24/2024,26
2/25/2024,24
2/26/2024,38
2/27/2024,42
2/28/2024,36
2/29/2024,40
3/1/2024,38
3/2/2024,24
3/3/2024,24
3/4/2024,40
3/5/2024,44
3/6/2024,46
3/7/2024,39
3/8/2024,34
3/9/2024,25
3/10/2024,21
3/11/2024,35
3/12/2024,39
3/13/2024,44
3/14/2024,40
3/15/2024,32
3/16/2024,22
3/17/2024,20
3/18/2024,41
3/19/2024,45
3/20/2024,44
3/21/2024,37
3/22/2024,39
3/23/2024,25
3/24/2024,23
3/25/2024,38
3/26/2024,37
3/27/2024,37
3/28/2024,37
3/29/2024,31
3/30/2024,25
3/31/2024,22
4/1/2024,35
4/2/2024,45
4/3/2024,38
4/4/2024,41
4/5/2024,50
4/6/2024,28
4/7/2024,29
4/8/2024,44
4/9/2024,43
4/10/2024,43
4/11/2024,41
4/12/2024,37
4/13/2024,24
4/14/2024,24
4/15/2024,43
4/16/2024,52
4/17/2024,41
4/18/2024,44
4/19/2024,34
4/20/2024,23
4/21/2024,24
4/22/2024,44
4/23/2024,40
4/24/2024,38
4/25/2024,39
4/26/2024,36
4/27/2024,26
4/28/2024,22
4/29/2024,39
4/30/2024,40
5/1/2024,43
5/2/2024,100
5/3/2024,47
5/4/2024,30
5/5/2024,28
5/6/2024,45
5/7/2024,40
5/8/2024,40
5/9/2024,42
5/10/2024,37
5/11/2024,23
5/12/2024,23
5/13/2024,35
5/14/2024,43
5/15/2024,43
5/16/2024,42
5/17/2024,37
5/18/2024,24
5/19/2024,23
5/20/2024,35
5/21/2024,45
5/22/2024,36
5/23/2024,36
5/24/2024,37
5/25/2024,28
5/26/2024,29
5/27/2024,33
5/28/2024,44
5/29/2024,39
5/30/2024,43
5/31/2024,36
6/1/2024,25
