,Date,Trend,isPartial
0,2023-10-01,15,False
1,2023-10-02,28,False
2,2023-10-03,26,False
3,2023-10-04,30,False
4,2023-10-05,24,False
5,2023-10-06,25,False
6,2023-10-07,15,False
7,2023-10-08,11,False
8,2023-10-09,21,False
9,2023-10-10,23,False
10,2023-10-11,28,False
11,2023-10-12,26,False
12,2023-10-13,22,False
13,2023-10-14,49,False
14,2023-10-15,37,False
15,2023-10-16,31,False
16,2023-10-17,24,False
17,2023-10-18,28,False
18,2023-10-19,24,False
19,2023-10-20,27,False
20,2023-10-21,10,False
21,2023-10-22,15,False
22,2023-10-23,23,False
23,2023-10-24,28,False
24,2023-10-25,29,False
25,2023-10-26,23,False
26,2023-10-27,28,False
27,2023-10-28,12,False
28,2023-10-29,11,False
29,2023-10-30,26,False
30,2023-10-31,26,False
31,2023-11-01,29,False
32,2023-11-02,26,False
33,2023-11-03,28,False
34,2023-11-04,17,False
35,2023-11-05,18,False
36,2023-11-06,29,False
37,2023-11-07,23,False
38,2023-11-08,27,False
39,2023-11-09,25,False
40,2023-11-10,24,False
41,2023-11-11,14,False
42,2023-11-12,15,False
43,2023-11-13,26,False
44,2023-11-14,32,False
45,2023-11-15,21,False
46,2023-11-16,29,False
47,2023-11-17,28,False
48,2023-11-18,14,False
49,2023-11-19,7,False
50,2023-11-20,27,False
51,2023-11-21,21,False
52,2023-11-22,21,False
53,2023-11-23,10,False
54,2023-11-24,16,False
55,2023-11-25,12,False
56,2023-11-26,10,False
57,2023-11-27,25,False
58,2023-11-28,20,False
59,2023-11-29,25,False
60,2023-11-30,24,False
61,2023-12-01,23,False
62,2023-12-02,17,False
63,2023-12-03,12,False
64,2023-12-04,20,False
65,2023-12-05,24,False
66,2023-12-06,23,False
67,2023-12-07,24,False
68,2023-12-08,28,False
69,2023-12-09,15,False
70,2023-12-10,12,False
71,2023-12-11,30,False
72,2023-12-12,25,False
73,2023-12-13,24,False
74,2023-12-14,21,False
75,2023-12-15,21,False
76,2023-12-16,17,False
77,2023-12-17,14,False
78,2023-12-18,20,False
79,2023-12-19,28,False
80,2023-12-20,23,False
81,2023-12-21,23,False
82,2023-12-22,18,False
83,2023-12-23,15,False
84,2023-12-24,8,False
85,2023-12-25,10,False
86,2023-12-26,18,False
87,2023-12-27,20,False
88,2023-12-28,26,False
89,2023-12-29,24,False
90,2023-12-30,15,False
91,2023-12-31,11,False
92,2024-01-01,8,False
93,2024-01-02,24,False
94,2024-01-03,23,False
95,2024-01-04,30,False
96,2024-01-05,24,False
97,2024-01-06,16,False
98,2024-01-07,14,False
99,2024-01-08,26,False
100,2024-01-09,27,False
101,2024-01-10,24,False
102,2024-01-11,25,False
103,2024-01-12,33,False
104,2024-01-13,14,False
105,2024-01-14,13,False
106,2024-01-15,20,False
107,2024-01-16,29,False
108,2024-01-17,27,False
109,2024-01-18,31,False
110,2024-01-19,26,False
111,2024-01-20,11,False
112,2024-01-21,12,False
113,2024-01-22,27,False
114,2024-01-23,30,False
115,2024-01-24,37,False
116,2024-01-25,28,False
117,2024-01-26,30,False
118,2024-01-27,20,False
119,2024-01-28,17,False
120,2024-01-29,32,False
121,2024-01-30,29,False
122,2024-01-31,30,False
123,2024-02-01,29,False
124,2024-02-02,25,False
125,2024-02-03,19,False
126,2024-02-04,14,False
127,2024-02-05,26,False
128,2024-02-06,28,False
129,2024-02-07,27,False
130,2024-02-08,29,False
131,2024-02-09,27,False
132,2024-02-10,17,False
133,2024-02-11,19,False
134,2024-02-12,27,False
135,2024-02-13,28,False
136,2024-02-14,34,False
137,2024-02-15,27,False
138,2024-02-16,30,False
139,2024-02-17,14,False
140,2024-02-18,13,False
141,2024-02-19,21,False
142,2024-02-20,34,False
143,2024-02-21,24,False
144,2024-02-22,37,False
145,2024-02-23,26,False
146,2024-02-24,19,False
147,2024-02-25,16,False
148,2024-02-26,24,False
149,2024-02-27,29,False
150,2024-02-28,31,False
151,2024-02-29,26,False
152,2024-03-01,27,False
153,2024-03-02,17,False
154,2024-03-03,11,False
155,2024-03-04,28,False
156,2024-03-05,29,False
157,2024-03-06,33,False
158,2024-03-07,27,False
159,2024-03-08,24,False
160,2024-03-09,15,False
161,2024-03-10,17,False
162,2024-03-11,31,False
163,2024-03-12,28,False
164,2024-03-13,27,False
165,2024-03-14,28,False
166,2024-03-15,28,False
167,2024-03-16,18,False
168,2024-03-17,12,False
169,2024-03-18,30,False
170,2024-03-19,39,False
171,2024-03-20,31,False
172,2024-03-21,25,False
173,2024-03-22,21,False
174,2024-03-23,18,False
175,2024-03-24,17,False
176,2024-03-25,28,False
177,2024-03-26,31,False
178,2024-03-27,31,False
179,2024-03-28,28,False
180,2024-03-29,22,False
181,2024-03-30,23,False
182,2024-03-31,11,False
183,2024-04-01,30,False
184,2024-04-02,28,False
185,2024-04-03,26,False
186,2024-04-04,26,False
187,2024-04-05,30,False
188,2024-04-06,11,False
189,2024-04-07,16,False
190,2024-04-08,25,False
191,2024-04-09,100,False
192,2024-04-10,75,False
193,2024-04-11,36,False
194,2024-04-12,42,False
195,2024-04-13,17,False
196,2024-04-14,13,False
197,2024-04-15,29,False
198,2024-04-16,36,False
199,2024-04-17,33,False
200,2024-04-18,31,False
201,2024-04-19,30,False
202,2024-04-20,13,False
203,2024-04-21,12,False
204,2024-04-22,30,False
205,2024-04-23,25,False
206,2024-04-24,31,False
207,2024-04-25,35,False
208,2024-04-26,27,False
209,2024-04-27,18,False
210,2024-04-28,14,False
211,2024-04-29,29,False
212,2024-04-30,37,False
213,2024-05-01,33,False
214,2024-05-02,32,False
215,2024-05-03,30,False
216,2024-05-04,17,False
217,2024-05-05,17,False
218,2024-05-06,26,False
219,2024-05-07,23,False
220,2024-05-08,25,False
221,2024-05-09,25,False
222,2024-05-10,31,False
223,2024-05-11,15,False
224,2024-05-12,15,False
225,2024-05-13,31,False
226,2024-05-14,30,False
227,2024-05-15,29,False
228,2024-05-16,28,False
229,2024-05-17,22,False
230,2024-05-18,17,False
231,2024-05-19,13,False
232,2024-05-20,32,False
233,2024-05-21,28,False
234,2024-05-22,31,False
235,2024-05-23,25,False
236,2024-05-24,25,False
237,2024-05-25,14,False
238,2024-05-26,10,False
239,2024-05-27,19,False
240,2024-05-28,33,False
241,2024-05-29,39,False
242,2024-05-30,34,False
243,2024-05-31,33,False
244,2024-06-01,12,False
