Date,Trend
10/1/2023,50
10/2/2023,76
10/3/2023,74
10/4/2023,72
10/5/2023,67
10/6/2023,71
10/7/2023,59
10/8/2023,42
10/9/2023,65
10/10/2023,66
10/11/2023,68
10/12/2023,66
10/13/2023,72
10/14/2023,57
10/15/2023,48
10/16/2023,68
10/17/2023,68
10/18/2023,68
10/19/2023,64
10/20/2023,72
10/21/2023,57
10/22/2023,44
10/23/2023,64
10/24/2023,66
10/25/2023,64
10/26/2023,62
10/27/2023,67
10/28/2023,52
10/29/2023,41
10/30/2023,61
10/31/2023,65
11/1/2023,71
11/2/2023,69
11/3/2023,71
11/4/2023,59
11/5/2023,45
11/6/2023,68
11/7/2023,65
11/8/2023,65
11/9/2023,73
11/10/2023,72
11/11/2023,60
11/12/2023,43
11/13/2023,63
11/14/2023,65
11/15/2023,65
11/16/2023,63
11/17/2023,66
11/18/2023,58
11/19/2023,40
11/20/2023,61
11/21/2023,60
11/22/2023,59
11/23/2023,37
11/24/2023,58
11/25/2023,56
11/26/2023,43
11/27/2023,67
11/28/2023,67
11/29/2023,65
11/30/2023,68
12/1/2023,78
12/2/2023,70
12/3/2023,48
12/4/2023,69
12/5/2023,69
12/6/2023,63
12/7/2023,64
12/8/2023,77
12/9/2023,59
12/10/2023,43
12/11/2023,63
12/12/2023,65
12/13/2023,63
12/14/2023,64
12/15/2023,71
12/16/2023,64
12/17/2023,41
12/18/2023,64
12/19/2023,68
12/20/2023,69
12/21/2023,65
12/22/2023,68
12/23/2023,61
12/24/2023,40
12/25/2023,30
12/26/2023,61
12/27/2023,71
12/28/2023,74
12/29/2023,78
12/30/2023,62
12/31/2023,48
1/1/2024,49
1/2/2024,80
1/3/2024,79
1/4/2024,73
1/5/2024,76
1/6/2024,64
1/7/2024,47
1/8/2024,66
1/9/2024,66
1/10/2024,65
1/11/2024,63
1/12/2024,71
1/13/2024,63
1/14/2024,44
1/15/2024,56
1/16/2024,68
1/17/2024,68
1/18/2024,66
1/19/2024,71
1/20/2024,57
1/21/2024,46
1/22/2024,66
1/23/2024,65
1/24/2024,65
1/25/2024,68
1/26/2024,71
1/27/2024,63
1/28/2024,47
1/29/2024,65
1/30/2024,70
1/31/2024,72
2/1/2024,78
2/2/2024,84
2/3/2024,69
2/4/2024,51
2/5/2024,73
2/6/2024,73
2/7/2024,69
2/8/2024,68
2/9/2024,73
2/10/2024,64
2/11/2024,49
2/12/2024,64
2/13/2024,70
2/14/2024,66
2/15/2024,67
2/16/2024,75
2/17/2024,64
2/18/2024,49
2/19/2024,64
2/20/2024,72
2/21/2024,75
2/22/2024,74
2/23/2024,76
2/24/2024,66
2/25/2024,51
2/26/2024,72
2/27/2024,72
2/28/2024,71
2/29/2024,75
3/1/2024,85
3/2/2024,74
3/3/2024,53
3/4/2024,76
3/5/2024,74
3/6/2024,73
3/7/2024,71
3/8/2024,75
3/9/2024,59
3/10/2024,46
3/11/2024,68
3/12/2024,70
3/13/2024,67
3/14/2024,64
3/15/2024,73
3/16/2024,60
3/17/2024,46
3/18/2024,69
3/19/2024,68
3/20/2024,68
3/21/2024,67
3/22/2024,66
3/23/2024,61
3/24/2024,48
3/25/2024,69
3/26/2024,66
3/27/2024,68
3/28/2024,71
3/29/2024,77
3/30/2024,62
3/31/2024,43
4/1/2024,80
4/2/2024,75
4/3/2024,71
4/4/2024,72
4/5/2024,72
4/6/2024,65
4/7/2024,47
4/8/2024,66
4/9/2024,67
4/10/2024,71
4/11/2024,69
4/12/2024,75
4/13/2024,64
4/14/2024,50
4/15/2024,72
4/16/2024,69
4/17/2024,63
4/18/2024,62
4/19/2024,68
4/20/2024,57
4/21/2024,42
4/22/2024,63
4/23/2024,63
4/24/2024,100
4/25/2024,75
4/26/2024,70
4/27/2024,59
4/28/2024,42
4/29/2024,69
4/30/2024,70
5/1/2024,79
5/2/2024,69
5/3/2024,75
5/4/2024,61
5/5/2024,45
5/6/2024,68
5/7/2024,62
5/8/2024,65
5/9/2024,63
5/10/2024,69
5/11/2024,56
5/12/2024,37
5/13/2024,62
5/14/2024,65
5/15/2024,71
5/16/2024,67
5/17/2024,69
5/18/2024,55
5/19/2024,41
5/20/2024,65
5/21/2024,65
5/22/2024,63
5/23/2024,62
5/24/2024,68
5/25/2024,58
5/26/2024,34
5/27/2024,44
5/28/2024,69
5/29/2024,72
5/30/2024,70
5/31/2024,76
6/1/2024,68
