Date,Trend
10/1/2023,56
10/2/2023,59
10/3/2023,56
10/4/2023,60
10/5/2023,57
10/6/2023,62
10/7/2023,59
10/8/2023,57
10/9/2023,59
10/10/2023,70
10/11/2023,65
10/12/2023,59
10/13/2023,60
10/14/2023,60
10/15/2023,62
10/16/2023,57
10/17/2023,59
10/18/2023,64
10/19/2023,60
10/20/2023,66
10/21/2023,63
10/22/2023,60
10/23/2023,64
10/24/2023,66
10/25/2023,64
10/26/2023,63
10/27/2023,61
10/28/2023,65
10/29/2023,63
10/30/2023,60
10/31/2023,61
11/1/2023,64
11/2/2023,62
11/3/2023,65
11/4/2023,63
11/5/2023,65
11/6/2023,68
11/7/2023,71
11/8/2023,79
11/9/2023,82
11/10/2023,78
11/11/2023,82
11/12/2023,75
11/13/2023,75
11/14/2023,75
11/15/2023,69
11/16/2023,68
11/17/2023,69
11/18/2023,69
11/19/2023,65
11/20/2023,67
11/21/2023,64
11/22/2023,64
11/23/2023,68
11/24/2023,71
11/25/2023,69
11/26/2023,69
11/27/2023,65
11/28/2023,69
11/29/2023,66
11/30/2023,69
12/1/2023,72
12/2/2023,73
12/3/2023,70
12/4/2023,69
12/5/2023,70
12/6/2023,67
12/7/2023,69
12/8/2023,73
12/9/2023,76
12/10/2023,71
12/11/2023,70
12/12/2023,72
12/13/2023,69
12/14/2023,71
12/15/2023,76
12/16/2023,80
12/17/2023,72
12/18/2023,67
12/19/2023,67
12/20/2023,67
12/21/2023,65
12/22/2023,69
12/23/2023,73
12/24/2023,80
12/25/2023,70
12/26/2023,58
12/27/2023,57
12/28/2023,57
12/29/2023,59
12/30/2023,60
12/31/2023,63
1/1/2024,59
1/2/2024,54
1/3/2024,56
1/4/2024,54
1/5/2024,58
1/6/2024,58
1/7/2024,54
1/8/2024,51
1/9/2024,54
1/10/2024,55
1/11/2024,54
1/12/2024,57
1/13/2024,54
1/14/2024,53
1/15/2024,52
1/16/2024,55
1/17/2024,53
1/18/2024,56
1/19/2024,58
1/20/2024,57
1/21/2024,56
1/22/2024,56
1/23/2024,54
1/24/2024,61
1/25/2024,60
1/26/2024,57
1/27/2024,56
1/28/2024,57
1/29/2024,55
1/30/2024,53
1/31/2024,56
2/1/2024,54
2/2/2024,54
2/3/2024,57
2/4/2024,57
2/5/2024,55
2/6/2024,57
2/7/2024,59
2/8/2024,60
2/9/2024,62
2/10/2024,58
2/11/2024,60
2/12/2024,55
2/13/2024,59
2/14/2024,52
2/15/2024,58
2/16/2024,56
2/17/2024,59
2/18/2024,56
2/19/2024,55
2/20/2024,60
2/21/2024,61
2/22/2024,63
2/23/2024,62
2/24/2024,65
2/25/2024,62
2/26/2024,58
2/27/2024,59
2/28/2024,59
2/29/2024,61
3/1/2024,60
3/2/2024,63
3/3/2024,62
3/4/2024,62
3/5/2024,56
3/6/2024,62
3/7/2024,62
3/8/2024,59
3/9/2024,60
3/10/2024,61
3/11/2024,58
3/12/2024,61
3/13/2024,62
3/14/2024,60
3/15/2024,59
3/16/2024,57
3/17/2024,60
3/18/2024,56
3/19/2024,59
3/20/2024,60
3/21/2024,60
3/22/2024,59
3/23/2024,61
3/24/2024,61
3/25/2024,59
3/26/2024,58
3/27/2024,58
3/28/2024,58
3/29/2024,62
3/30/2024,65
3/31/2024,61
4/1/2024,56
4/2/2024,57
4/3/2024,57
4/4/2024,60
4/5/2024,58
4/6/2024,62
4/7/2024,62
4/8/2024,61
4/9/2024,59
4/10/2024,61
4/11/2024,63
4/12/2024,63
4/13/2024,64
4/14/2024,62
4/15/2024,58
4/16/2024,61
4/17/2024,64
4/18/2024,64
4/19/2024,62
4/20/2024,61
4/21/2024,59
4/22/2024,60
4/23/2024,61
4/24/2024,61
4/25/2024,62
4/26/2024,58
4/27/2024,60
4/28/2024,58
4/29/2024,58
4/30/2024,62
5/1/2024,62
5/2/2024,61
5/3/2024,64
5/4/2024,66
5/5/2024,62
5/6/2024,60
5/7/2024,58
5/8/2024,63
5/9/2024,60
5/10/2024,60
5/11/2024,59
5/12/2024,59
5/13/2024,59
5/14/2024,61
5/15/2024,59
5/16/2024,60
5/17/2024,60
5/18/2024,64
5/19/2024,61
5/20/2024,59
5/21/2024,59
5/22/2024,61
5/23/2024,62
5/24/2024,58
5/25/2024,65
5/26/2024,87
5/27/2024,100
5/28/2024,61
5/29/2024,61
5/30/2024,59
5/31/2024,59
6/1/2024,61
