Date,Trend
10/1/2023,35
10/2/2023,36
10/3/2023,34
10/4/2023,32
10/5/2023,33
10/6/2023,34
10/7/2023,33
10/8/2023,32
10/9/2023,31
10/10/2023,34
10/11/2023,31
10/12/2023,33
10/13/2023,28
10/14/2023,33
10/15/2023,29
10/16/2023,35
10/17/2023,31
10/18/2023,29
10/19/2023,30
10/20/2023,35
10/21/2023,36
10/22/2023,37
10/23/2023,39
10/24/2023,51
10/25/2023,37
10/26/2023,40
10/27/2023,34
10/28/2023,33
10/29/2023,33
10/30/2023,33
10/31/2023,37
11/1/2023,34
11/2/2023,35
11/3/2023,33
11/4/2023,33
11/5/2023,34
11/6/2023,41
11/7/2023,38
11/8/2023,40
11/9/2023,45
11/10/2023,44
11/11/2023,40
11/12/2023,43
11/13/2023,41
11/14/2023,39
11/15/2023,40
11/16/2023,39
11/17/2023,37
11/18/2023,35
11/19/2023,34
11/20/2023,38
11/21/2023,36
11/22/2023,36
11/23/2023,32
11/24/2023,37
11/25/2023,34
11/26/2023,35
11/27/2023,33
11/28/2023,34
11/29/2023,36
11/30/2023,31
12/1/2023,37
12/2/2023,40
12/3/2023,37
12/4/2023,53
12/5/2023,46
12/6/2023,46
12/7/2023,43
12/8/2023,55
12/9/2023,46
12/10/2023,45
12/11/2023,46
12/12/2023,40
12/13/2023,40
12/14/2023,42
12/15/2023,41
12/16/2023,38
12/17/2023,36
12/18/2023,41
12/19/2023,40
12/20/2023,41
12/21/2023,45
12/22/2023,47
12/23/2023,43
12/24/2023,43
12/25/2023,46
12/26/2023,40
12/27/2023,47
12/28/2023,47
12/29/2023,48
12/30/2023,41
12/31/2023,40
1/1/2024,41
1/2/2024,50
1/3/2024,53
1/4/2024,49
1/5/2024,43
1/6/2024,45
1/7/2024,41
1/8/2024,47
1/9/2024,44
1/10/2024,49
1/11/2024,56
1/12/2024,51
1/13/2024,47
1/14/2024,40
1/15/2024,45
1/16/2024,41
1/17/2024,41
1/18/2024,35
1/19/2024,39
1/20/2024,40
1/21/2024,38
1/22/2024,39
1/23/2024,41
1/24/2024,36
1/25/2024,36
1/26/2024,40
1/27/2024,37
1/28/2024,38
1/29/2024,39
1/30/2024,39
1/31/2024,39
2/1/2024,34
2/2/2024,36
2/3/2024,38
2/4/2024,36
2/5/2024,34
2/6/2024,35
2/7/2024,35
2/8/2024,36
2/9/2024,43
2/10/2024,38
2/11/2024,40
2/12/2024,43
2/13/2024,46
2/14/2024,46
2/15/2024,46
2/16/2024,45
2/17/2024,42
2/18/2024,42
2/19/2024,44
2/20/2024,45
2/21/2024,41
2/22/2024,40
2/23/2024,38
2/24/2024,37
2/25/2024,41
2/26/2024,43
2/27/2024,55
2/28/2024,68
2/29/2024,75
3/1/2024,64
3/2/2024,82
3/3/2024,68
3/4/2024,79
3/5/2024,80
3/6/2024,69
3/7/2024,70
3/8/2024,57
3/9/2024,62
3/10/2024,59
3/11/2024,100
3/12/2024,83
3/13/2024,71
3/14/2024,61
3/15/2024,56
3/16/2024,59
3/17/2024,55
3/18/2024,52
3/19/2024,56
3/20/2024,50
3/21/2024,50
3/22/2024,50
3/23/2024,57
3/24/2024,55
3/25/2024,53
3/26/2024,56
3/27/2024,63
3/28/2024,59
3/29/2024,83
3/30/2024,73
3/31/2024,67
4/1/2024,73
4/2/2024,77
4/3/2024,57
4/4/2024,60
4/5/2024,54
4/6/2024,56
4/7/2024,51
4/8/2024,53
4/9/2024,52
4/10/2024,46
4/11/2024,52
4/12/2024,54
4/13/2024,56
4/14/2024,61
4/15/2024,51
4/16/2024,49
4/17/2024,46
4/18/2024,50
4/19/2024,48
4/20/2024,52
4/21/2024,46
4/22/2024,47
4/23/2024,47
4/24/2024,48
4/25/2024,40
4/26/2024,48
4/27/2024,46
4/28/2024,43
4/29/2024,43
4/30/2024,43
5/1/2024,44
5/2/2024,38
5/3/2024,39
5/4/2024,41
5/5/2024,38
5/6/2024,38
5/7/2024,41
5/8/2024,39
5/9/2024,37
5/10/2024,38
5/11/2024,35
5/12/2024,34
5/13/2024,38
5/14/2024,37
5/15/2024,37
5/16/2024,40
5/17/2024,37
5/18/2024,39
5/19/2024,35
5/20/2024,45
5/21/2024,48
5/22/2024,41
5/23/2024,44
5/24/2024,44
5/25/2024,43
5/26/2024,39
5/27/2024,42
5/28/2024,38
5/29/2024,40
5/30/2024,43
5/31/2024,44
6/1/2024,40
