,Date,Trend
0,2022-10-09,33
1,2022-10-10,37
2,2022-10-11,32
3,2022-10-12,33
4,2022-10-13,32
5,2022-10-14,35
6,2022-10-15,29
7,2022-10-16,33
8,2022-10-17,29
9,2022-10-18,31
10,2022-10-19,31
11,2022-10-20,32
12,2022-10-21,34
13,2022-10-22,34
14,2022-10-23,30
15,2022-10-24,25
16,2022-10-25,39
17,2022-10-26,38
18,2022-10-27,33
19,2022-10-28,30
20,2022-10-29,38
21,2022-10-30,32
22,2022-10-31,31
23,2022-11-01,37
24,2022-11-02,58
25,2022-11-03,53
26,2022-11-04,59
27,2022-11-05,50
28,2022-11-06,44
29,2022-11-07,45
30,2022-11-08,53
31,2022-11-09,55
32,2022-11-10,54
33,2022-11-11,53
34,2022-11-12,47
35,2022-11-13,42
36,2022-11-14,49
37,2022-11-15,41
38,2022-11-16,40
39,2022-11-17,48
40,2022-11-18,49
41,2022-11-19,45
42,2022-11-20,43
43,2022-11-21,44
44,2022-11-22,60
45,2022-11-23,97
46,2022-11-24,60
47,2022-11-25,52
48,2022-11-26,51
49,2022-11-27,51
50,2022-11-28,47
51,2022-11-29,49
52,2022-11-30,49
53,2022-12-01,37
54,2022-12-02,40
55,2022-12-03,38
56,2022-12-04,43
57,2022-12-05,53
58,2022-12-06,45
59,2022-12-07,40
60,2022-12-08,46
61,2022-12-09,37
62,2022-12-10,39
63,2022-12-11,38
64,2022-12-12,38
65,2022-12-13,39
66,2022-12-14,37
67,2022-12-15,40
68,2022-12-16,39
69,2022-12-17,38
70,2022-12-18,36
71,2022-12-19,42
72,2022-12-20,37
73,2022-12-21,39
74,2022-12-22,36
75,2022-12-23,36
76,2022-12-24,36
77,2022-12-25,41
78,2022-12-26,43
79,2022-12-27,42
80,2022-12-28,39
81,2022-12-29,35
82,2022-12-30,37
83,2022-12-31,40
84,2023-01-01,42
85,2023-01-02,47
86,2023-01-03,48
87,2023-01-04,43
88,2023-01-05,35
89,2023-01-06,38
90,2023-01-07,35
91,2023-01-08,44
92,2023-01-09,50
93,2023-01-10,43
94,2023-01-11,47
95,2023-01-12,50
96,2023-01-13,46
97,2023-01-14,55
98,2023-01-15,51
99,2023-01-16,50
100,2023-01-17,49
101,2023-01-18,47
102,2023-01-19,46
103,2023-01-20,46
104,2023-01-21,53
105,2023-01-22,48
106,2023-01-23,48
107,2023-01-24,43
108,2023-01-25,38
109,2023-01-26,43
110,2023-01-27,41
111,2023-01-28,38
112,2023-01-29,66
113,2023-01-30,51
114,2023-01-31,47
115,2023-02-01,52
116,2023-02-02,58
117,2023-02-03,48
118,2023-02-04,48
119,2023-02-05,47
120,2023-02-06,40
121,2023-02-07,44
122,2023-02-08,45
123,2023-02-09,41
124,2023-02-10,40
125,2023-02-11,38
126,2023-02-12,37
127,2023-02-13,36
128,2023-02-14,39
129,2023-02-15,43
130,2023-02-16,49
131,2023-02-17,42
132,2023-02-18,39
133,2023-02-19,42
134,2023-02-20,43
135,2023-02-21,42
136,2023-02-22,40
137,2023-02-23,33
138,2023-02-24,31
139,2023-02-25,33
140,2023-02-26,31
141,2023-02-27,35
142,2023-02-28,37
143,2023-03-01,38
144,2023-03-02,34
145,2023-03-03,36
146,2023-03-04,32
147,2023-03-05,34
148,2023-03-06,37
149,2023-03-07,32
150,2023-03-08,32
151,2023-03-09,37
152,2023-03-10,41
153,2023-03-11,46
154,2023-03-12,37
155,2023-03-13,47
156,2023-03-14,44
157,2023-03-15,38
158,2023-03-16,40
159,2023-03-17,43
160,2023-03-18,40
161,2023-03-19,40
162,2023-03-20,44
163,2023-03-21,40
164,2023-03-22,46
165,2023-03-23,53
166,2023-03-24,46
167,2023-03-25,43
168,2023-03-26,44
169,2023-03-27,45
170,2023-03-28,43
171,2023-03-29,41
172,2023-03-30,40
173,2023-03-31,43
174,2023-04-01,39
175,2023-04-02,37
176,2023-04-03,35
177,2023-04-04,34
178,2023-04-05,40
179,2023-04-06,36
180,2023-04-07,36
181,2023-04-08,37
182,2023-04-09,36
183,2023-04-10,40
184,2023-04-11,44
185,2023-04-12,40
186,2023-04-13,41
187,2023-04-14,42
188,2023-04-15,40
189,2023-04-16,49
190,2023-04-17,41
191,2023-04-18,49
192,2023-04-19,45
193,2023-04-20,41
194,2023-04-21,37
195,2023-04-22,40
196,2023-04-23,37
197,2023-04-24,37
198,2023-04-25,38
199,2023-04-26,38
200,2023-04-27,37
201,2023-04-28,34
202,2023-04-29,39
203,2023-04-30,31
204,2023-05-01,39
205,2023-05-02,28
206,2023-05-03,29
207,2023-05-04,34
208,2023-05-05,37
209,2023-05-06,38
210,2023-05-07,29
211,2023-05-08,39
212,2023-05-09,42
213,2023-05-10,39
214,2023-05-11,38
215,2023-05-12,39
216,2023-05-13,33
217,2023-05-14,34
218,2023-05-15,38
219,2023-05-16,50
220,2023-05-17,49
221,2023-05-18,45
222,2023-05-19,42
223,2023-05-20,40
224,2023-05-21,45
225,2023-05-22,37
226,2023-05-23,42
227,2023-05-24,41
228,2023-05-25,37
229,2023-05-26,41
230,2023-05-27,36
231,2023-05-28,39
232,2023-05-29,37
233,2023-05-30,42
234,2023-05-31,44
235,2023-06-01,52
236,2023-06-02,43
237,2023-06-03,45
238,2023-06-04,48
239,2023-06-05,45
240,2023-06-06,39
241,2023-06-07,39
242,2023-06-08,35
243,2023-06-09,35
244,2023-06-10,52
245,2023-06-11,44
246,2023-06-12,44
247,2023-06-13,39
248,2023-06-14,45
249,2023-06-15,43
250,2023-06-16,37
251,2023-06-17,38
252,2023-06-18,36
253,2023-06-19,33
254,2023-06-20,40
255,2023-06-21,48
256,2023-06-22,44
257,2023-06-23,50
258,2023-06-24,53
259,2023-06-25,42
260,2023-06-26,40
261,2023-06-27,43
262,2023-06-28,41
263,2023-06-29,40
264,2023-06-30,100
265,2023-07-01,79
