Date,Trend
10/1/2023,72
10/2/2023,89
10/3/2023,100
10/4/2023,82
10/5/2023,87
10/6/2023,82
10/7/2023,71
10/8/2023,65
10/9/2023,77
10/10/2023,97
10/11/2023,80
10/12/2023,84
10/13/2023,82
10/14/2023,75
10/15/2023,72
10/16/2023,75
10/17/2023,80
10/18/2023,80
10/19/2023,82
10/20/2023,86
10/21/2023,73
10/22/2023,69
10/23/2023,82
10/24/2023,91
10/25/2023,79
10/26/2023,81
10/27/2023,79
10/28/2023,71
10/29/2023,70
10/30/2023,83
10/31/2023,82
11/1/2023,83
11/2/2023,79
11/3/2023,85
11/4/2023,76
11/5/2023,71
11/6/2023,80
11/7/2023,84
11/8/2023,85
11/9/2023,84
11/10/2023,83
11/11/2023,75
11/12/2023,65
11/13/2023,86
11/14/2023,83
11/15/2023,85
11/16/2023,84
11/17/2023,84
11/18/2023,72
11/19/2023,72
11/20/2023,79
11/21/2023,82
11/22/2023,77
11/23/2023,78
11/24/2023,86
11/25/2023,74
11/26/2023,78
11/27/2023,87
11/28/2023,86
11/29/2023,79
11/30/2023,84
12/1/2023,87
12/2/2023,80
12/3/2023,78
12/4/2023,90
12/5/2023,87
12/6/2023,85
12/7/2023,81
12/8/2023,92
12/9/2023,74
12/10/2023,78
12/11/2023,92
12/12/2023,91
12/13/2023,92
12/14/2023,83
12/15/2023,87
12/16/2023,73
12/17/2023,70
12/18/2023,81
12/19/2023,83
12/20/2023,81
12/21/2023,84
12/22/2023,82
12/23/2023,74
12/24/2023,69
12/25/2023,65
12/26/2023,81
12/27/2023,85
12/28/2023,93
12/29/2023,89
12/30/2023,87
12/31/2023,68
1/1/2024,67
1/2/2024,93
1/3/2024,94
1/4/2024,88
1/5/2024,86
1/6/2024,75
1/7/2024,66
1/8/2024,88
1/9/2024,85
1/10/2024,86
1/11/2024,89
1/12/2024,82
1/13/2024,72
1/14/2024,72
1/15/2024,76
1/16/2024,83
1/17/2024,79
1/18/2024,77
1/19/2024,78
1/20/2024,75
1/21/2024,74
1/22/2024,79
1/23/2024,80
1/24/2024,80
1/25/2024,84
1/26/2024,82
1/27/2024,78
1/28/2024,77
1/29/2024,84
1/30/2024,80
1/31/2024,88
2/1/2024,90
2/2/2024,89
2/3/2024,77
2/4/2024,81
2/5/2024,91
2/6/2024,83
2/7/2024,84
2/8/2024,81
2/9/2024,85
2/10/2024,77
2/11/2024,75
2/12/2024,72
2/13/2024,84
2/14/2024,83
2/15/2024,84
2/16/2024,80
2/17/2024,75
2/18/2024,67
2/19/2024,77
2/20/2024,83
2/21/2024,85
2/22/2024,83
2/23/2024,76
2/24/2024,76
2/25/2024,76
2/26/2024,82
2/27/2024,88
2/28/2024,88
2/29/2024,82
3/1/2024,86
3/2/2024,80
3/3/2024,80
3/4/2024,89
3/5/2024,86
3/6/2024,89
3/7/2024,97
3/8/2024,80
3/9/2024,74
3/10/2024,74
3/11/2024,81
3/12/2024,84
3/13/2024,87
3/14/2024,79
3/15/2024,80
3/16/2024,81
3/17/2024,78
3/18/2024,81
3/19/2024,85
3/20/2024,86
3/21/2024,82
3/22/2024,82
3/23/2024,79
3/24/2024,72
3/25/2024,88
3/26/2024,85
3/27/2024,87
3/28/2024,87
3/29/2024,78
3/30/2024,74
3/31/2024,68
4/1/2024,82
4/2/2024,92
4/3/2024,88
4/4/2024,85
4/5/2024,78
4/6/2024,75
4/7/2024,70
4/8/2024,76
4/9/2024,89
4/10/2024,80
4/11/2024,79
4/12/2024,78
4/13/2024,73
4/14/2024,64
4/15/2024,82
4/16/2024,77
4/17/2024,81
4/18/2024,75
4/19/2024,81
4/20/2024,75
4/21/2024,67
4/22/2024,79
4/23/2024,80
4/24/2024,70
4/25/2024,73
4/26/2024,79
4/27/2024,70
4/28/2024,59
4/29/2024,82
4/30/2024,80
5/1/2024,85
5/2/2024,74
5/3/2024,85
5/4/2024,76
5/5/2024,70
5/6/2024,83
5/7/2024,76
5/8/2024,80
5/9/2024,78
5/10/2024,79
5/11/2024,69
5/12/2024,69
5/13/2024,83
5/14/2024,80
5/15/2024,86
5/16/2024,82
5/17/2024,75
5/18/2024,74
5/19/2024,65
5/20/2024,78
5/21/2024,78
5/22/2024,80
5/23/2024,71
5/24/2024,78
5/25/2024,70
5/26/2024,72
5/27/2024,79
5/28/2024,82
5/29/2024,82
5/30/2024,86
5/31/2024,79
6/1/2024,73
