Date,Open,High,Low,Close,Adj Close,Volume
10/2/2023,302.73999,307.179993,301.630005,306.820007,306.190796,16265600
10/3/2023,304.26001,306.769989,299.640015,300.940002,300.322845,17362300
10/4/2023,298.730011,306.899994,298.5,305.579987,304.953339,16880500
10/5/2023,304.630005,306.209991,299.5,304.790009,304.164978,19130000
10/6/2023,301.440002,316.309998,300.910004,315.429993,314.783142,21784000
10/9/2023,312.5,320.329987,311.820007,318.359985,317.707123,22503700
10/10/2023,319.119995,324.660004,318.160004,321.839996,321.179993,19038000
10/11/2023,323.01001,328.839996,322.950012,327.820007,327.147766,22036300
10/12/2023,328,330.540009,322.690002,324.160004,323.495239,20530500
10/13/2023,323.529999,325.049988,312.369995,314.690002,314.044678,21341000
10/16/2023,318.640015,321.820007,315.519989,321.149994,320.491394,16536100
10/17/2023,318.179993,324.399994,317.299988,324,323.335571,16387800
10/18/2023,321.390015,325.940002,315.559998,316.970001,316.319977,16851000
10/19/2023,319.880005,321.890015,311.75,312.809998,312.168518,18709200
10/20/2023,314.140015,315.299988,306.470001,308.649994,308.017029,22287400
10/23/2023,309.5,317.359985,307.26001,314.01001,313.366058,17796800
10/24/2023,316.779999,318.350006,310.630005,312.549988,311.909027,19525500
10/25/2023,310,310.880005,298.839996,299.529999,298.915741,42192500
10/26/2023,295,295,279.399994,288.350006,287.758667,66684100
10/27/2023,294.480011,299.309998,292.970001,296.730011,296.12149,29596300
10/30/2023,299.089996,309.399994,299.049988,302.660004,302.039307,28435100
10/31/2023,303.309998,303.679993,296.859985,301.269989,300.652191,19434200
11/1/2023,301.850006,312.73999,301.850006,311.850006,311.21048,20434600
11/2/2023,317.299988,318.820007,308.329987,310.869995,310.232483,21631800
11/3/2023,312.549988,315.549988,311.019989,314.600006,313.954865,16754100
11/6/2023,315.980011,318.329987,314.450012,315.799988,315.152374,12887700
11/7/2023,317.059998,321,315.119995,318.820007,318.166199,14055600
11/8/2023,318.140015,321.329987,314.880005,319.779999,319.124237,13609700
11/9/2023,319.420013,324.179993,318.799988,320.549988,319.892639,16103100
11/10/2023,319.940002,329.100006,319.459991,328.769989,328.095795,19096200
11/13/2023,326.200012,332.329987,325.700012,329.190002,328.514923,16908900
11/14/2023,334.540009,338.100006,333.329987,336.309998,335.620331,17179400
11/15/2023,337.929993,338.399994,330.019989,332.709991,332.02771,14531200
11/16/2023,329.369995,334.579987,326.380005,334.190002,333.504669,18932600
11/17/2023,330.26001,335.5,329.350006,335.040009,334.352936,14494400
11/20/2023,334.890015,341.869995,334.190002,339.970001,339.272827,16960500
11/21/2023,338.329987,339.899994,335.899994,336.980011,336.288971,12027900
11/22/2023,339.209991,342.920013,338.579987,341.48999,340.789703,10702700
11/24/2023,340.130005,341.859985,336.769989,338.230011,337.536407,5467500
11/27/2023,336.179993,339.899994,334.200012,334.700012,334.013641,15684500
11/28/2023,333.399994,339.380005,333.399994,338.98999,338.29483,12637200
11/29/2023,339.690002,339.899994,330.779999,332.200012,331.518768,16024500
11/30/2023,331.890015,333.5,322.399994,327.149994,326.479095,23146400
12/1/2023,325.480011,326.859985,320.76001,324.820007,324.1539,15264700
12/4/2023,317.290009,320.859985,313.660004,320.019989,319.363739,19037100
12/5/2023,318.980011,321.880005,315.390015,318.290009,317.637299,16952100
12/6/2023,321.929993,322.25,317.040009,317.450012,316.799011,11294300
12/7/2023,317.769989,328.23999,317.769989,326.589996,325.920227,15905100
12/8/2023,323.089996,333.170013,323,332.75,332.067596,14077500
12/11/2023,329.399994,329.890015,320,325.279999,324.612946,25802500
12/12/2023,324.600006,334.470001,324.559998,334.220001,333.534607,18485500
12/13/2023,333.929993,338.369995,332.640015,334.73999,334.053528,16353300
12/14/2023,333.850006,334.700012,328.640015,333.170013,332.486786,19607300
12/15/2023,331.98999,338.660004,331.220001,334.920013,334.233185,30001600
12/18/2023,337.480011,347.559998,337.019989,344.619995,343.913269,18993900
12/19/2023,345.579987,353.600006,345.119995,350.359985,349.64151,17729400
12/20/2023,348.649994,354.959991,347.790009,349.279999,348.563721,16369900
12/21/2023,352.980011,356.410004,349.209991,354.089996,353.363861,15289600
12/22/2023,355.579987,357.200012,351.220001,353.390015,352.665314,11764200
