Date,Trend
10/1/2023,23
10/2/2023,26
10/3/2023,26
10/4/2023,25
10/5/2023,27
10/6/2023,23
10/7/2023,21
10/8/2023,19
10/9/2023,25
10/10/2023,28
10/11/2023,27
10/12/2023,28
10/13/2023,26
10/14/2023,22
10/15/2023,23
10/16/2023,26
10/17/2023,27
10/18/2023,27
10/19/2023,28
10/20/2023,26
10/21/2023,24
10/22/2023,23
10/23/2023,27
10/24/2023,28
10/25/2023,36
10/26/2023,36
10/27/2023,28
10/28/2023,23
10/29/2023,24
10/30/2023,30
10/31/2023,27
11/1/2023,26
11/2/2023,28
11/3/2023,25
11/4/2023,21
11/5/2023,22
11/6/2023,27
11/7/2023,29
11/8/2023,34
11/9/2023,33
11/10/2023,29
11/11/2023,27
11/12/2023,29
11/13/2023,29
11/14/2023,29
11/15/2023,28
11/16/2023,29
11/17/2023,29
11/18/2023,25
11/19/2023,24
11/20/2023,29
11/21/2023,28
11/22/2023,30
11/23/2023,34
11/24/2023,33
11/25/2023,27
11/26/2023,27
11/27/2023,32
11/28/2023,29
11/29/2023,28
11/30/2023,28
12/1/2023,26
12/2/2023,24
12/3/2023,26
12/4/2023,27
12/5/2023,29
12/6/2023,30
12/7/2023,34
12/8/2023,33
12/9/2023,28
12/10/2023,28
12/11/2023,29
12/12/2023,30
12/13/2023,29
12/14/2023,33
12/15/2023,30
12/16/2023,29
12/17/2023,29
12/18/2023,30
12/19/2023,31
12/20/2023,29
12/21/2023,33
12/22/2023,30
12/23/2023,27
12/24/2023,30
12/25/2023,50
12/26/2023,42
12/27/2023,36
12/28/2023,35
12/29/2023,31
12/30/2023,28
12/31/2023,26
1/1/2024,27
1/2/2024,29
1/3/2024,27
1/4/2024,31
1/5/2024,28
1/6/2024,26
1/7/2024,35
1/8/2024,29
1/9/2024,28
1/10/2024,29
1/11/2024,31
1/12/2024,29
1/13/2024,26
1/14/2024,25
1/15/2024,26
1/16/2024,27
1/17/2024,27
1/18/2024,29
1/19/2024,29
1/20/2024,27
1/21/2024,24
1/22/2024,28
1/23/2024,28
1/24/2024,28
1/25/2024,31
1/26/2024,28
1/27/2024,25
1/28/2024,24
1/29/2024,28
1/30/2024,30
1/31/2024,32
2/1/2024,40
2/2/2024,58
2/3/2024,35
2/4/2024,33
2/5/2024,38
2/6/2024,37
2/7/2024,35
2/8/2024,36
2/9/2024,33
2/10/2024,31
2/11/2024,28
2/12/2024,30
2/13/2024,32
2/14/2024,33
2/15/2024,36
2/16/2024,33
2/17/2024,31
2/18/2024,27
2/19/2024,30
2/20/2024,30
2/21/2024,30
2/22/2024,35
2/23/2024,31
2/24/2024,27
2/25/2024,26
2/26/2024,30
2/27/2024,30
2/28/2024,31
2/29/2024,33
3/1/2024,31
3/2/2024,28
3/3/2024,26
3/4/2024,31
3/5/2024,100
3/6/2024,41
3/7/2024,36
3/8/2024,30
3/9/2024,26
3/10/2024,26
3/11/2024,30
3/12/2024,31
3/13/2024,31
3/14/2024,31
3/15/2024,28
3/16/2024,25
3/17/2024,24
3/18/2024,29
3/19/2024,30
3/20/2024,32
3/21/2024,33
3/22/2024,31
3/23/2024,27
3/24/2024,26
3/25/2024,30
3/26/2024,31
3/27/2024,29
3/28/2024,33
3/29/2024,29
3/30/2024,25
3/31/2024,26
4/1/2024,30
4/2/2024,30
4/3/2024,34
4/4/2024,34
4/5/2024,32
4/6/2024,27
4/7/2024,26
4/8/2024,30
4/9/2024,29
4/10/2024,30
4/11/2024,33
4/12/2024,30
4/13/2024,28
4/14/2024,27
4/15/2024,32
4/16/2024,30
4/17/2024,30
4/18/2024,38
4/19/2024,46
4/20/2024,36
4/21/2024,33
4/22/2024,37
4/23/2024,38
4/24/2024,51
4/25/2024,62
4/26/2024,39
4/27/2024,31
4/28/2024,31
4/29/2024,36
4/30/2024,35
5/1/2024,35
5/2/2024,35
5/3/2024,36
5/4/2024,28
5/5/2024,27
5/6/2024,32
5/7/2024,33
5/8/2024,33
5/9/2024,34
5/10/2024,31
5/11/2024,27
5/12/2024,26
5/13/2024,31
5/14/2024,32
5/15/2024,32
5/16/2024,35
5/17/2024,31
5/18/2024,26
5/19/2024,25
5/20/2024,31
5/21/2024,30
5/22/2024,31
5/23/2024,33
5/24/2024,30
5/25/2024,27
5/26/2024,26
5/27/2024,29
5/28/2024,31
5/29/2024,31
5/30/2024,33
5/31/2024,32
6/1/2024,27
