,Date,Trend,isPartial
0,2023-10-01,54,False
1,2023-10-02,77,False
2,2023-10-03,84,False
3,2023-10-04,82,False
4,2023-10-05,80,False
5,2023-10-06,71,False
6,2023-10-07,47,False
7,2023-10-08,50,False
8,2023-10-09,74,False
9,2023-10-10,82,False
10,2023-10-11,83,False
11,2023-10-12,81,False
12,2023-10-13,78,False
13,2023-10-14,53,False
14,2023-10-15,54,False
15,2023-10-16,82,False
16,2023-10-17,82,False
17,2023-10-18,84,False
18,2023-10-19,82,False
19,2023-10-20,75,False
20,2023-10-21,52,False
21,2023-10-22,53,False
22,2023-10-23,81,False
23,2023-10-24,82,False
24,2023-10-25,82,False
25,2023-10-26,79,False
26,2023-10-27,73,False
27,2023-10-28,50,False
28,2023-10-29,51,False
29,2023-10-30,80,False
30,2023-10-31,80,False
31,2023-11-01,80,False
32,2023-11-02,82,False
33,2023-11-03,74,False
34,2023-11-04,52,False
35,2023-11-05,52,False
36,2023-11-06,83,False
37,2023-11-07,86,False
38,2023-11-08,78,False
39,2023-11-09,81,False
40,2023-11-10,74,False
41,2023-11-11,55,False
42,2023-11-12,52,False
43,2023-11-13,81,False
44,2023-11-14,85,False
45,2023-11-15,82,False
46,2023-11-16,83,False
47,2023-11-17,78,False
48,2023-11-18,58,False
49,2023-11-19,53,False
50,2023-11-20,94,False
51,2023-11-21,86,False
52,2023-11-22,80,False
53,2023-11-23,71,False
54,2023-11-24,69,False
55,2023-11-25,54,False
56,2023-11-26,53,False
57,2023-11-27,80,False
58,2023-11-28,82,False
59,2023-11-29,83,False
60,2023-11-30,83,False
61,2023-12-01,73,False
62,2023-12-02,57,False
63,2023-12-03,53,False
64,2023-12-04,80,False
65,2023-12-05,82,False
66,2023-12-06,84,False
67,2023-12-07,84,False
68,2023-12-08,74,False
69,2023-12-09,53,False
70,2023-12-10,52,False
71,2023-12-11,78,False
72,2023-12-12,73,False
73,2023-12-13,74,False
74,2023-12-14,76,False
75,2023-12-15,73,False
76,2023-12-16,53,False
77,2023-12-17,50,False
78,2023-12-18,74,False
79,2023-12-19,74,False
80,2023-12-20,73,False
81,2023-12-21,71,False
82,2023-12-22,58,False
83,2023-12-23,48,False
84,2023-12-24,46,False
85,2023-12-25,54,False
86,2023-12-26,63,False
87,2023-12-27,65,False
88,2023-12-28,65,False
89,2023-12-29,59,False
90,2023-12-30,51,False
91,2023-12-31,43,False
92,2024-01-01,46,False
93,2024-01-02,76,False
94,2024-01-03,74,False
95,2024-01-04,77,False
96,2024-01-05,74,False
97,2024-01-06,54,False
98,2024-01-07,53,False
99,2024-01-08,80,False
100,2024-01-09,84,False
101,2024-01-10,85,False
102,2024-01-11,89,False
103,2024-01-12,82,False
104,2024-01-13,54,False
105,2024-01-14,56,False
106,2024-01-15,78,False
107,2024-01-16,87,False
108,2024-01-17,87,False
109,2024-01-18,87,False
110,2024-01-19,79,False
111,2024-01-20,57,False
112,2024-01-21,58,False
113,2024-01-22,87,False
114,2024-01-23,92,False
115,2024-01-24,90,False
116,2024-01-25,91,False
117,2024-01-26,89,False
118,2024-01-27,59,False
119,2024-01-28,58,False
120,2024-01-29,96,False
121,2024-01-30,100,False
122,2024-01-31,99,False
123,2024-02-01,91,False
124,2024-02-02,85,False
125,2024-02-03,57,False
126,2024-02-04,61,False
127,2024-02-05,89,False
128,2024-02-06,90,False
129,2024-02-07,92,False
130,2024-02-08,88,False
131,2024-02-09,83,False
132,2024-02-10,57,False
133,2024-02-11,59,False
134,2024-02-12,85,False
135,2024-02-13,89,False
136,2024-02-14,84,False
137,2024-02-15,89,False
138,2024-02-16,89,False
139,2024-02-17,58,False
140,2024-02-18,56,False
141,2024-02-19,84,False
142,2024-02-20,93,False
143,2024-02-21,89,False
144,2024-02-22,87,False
145,2024-02-23,79,False
146,2024-02-24,60,False
147,2024-02-25,58,False
148,2024-02-26,90,False
149,2024-02-27,90,False
150,2024-02-28,88,False
