Date,Trend
10/1/2023,45
10/2/2023,58
10/3/2023,60
10/4/2023,59
10/5/2023,61
10/6/2023,56
10/7/2023,42
10/8/2023,41
10/9/2023,58
10/10/2023,62
10/11/2023,64
10/12/2023,64
10/13/2023,65
10/14/2023,49
10/15/2023,47
10/16/2023,65
10/17/2023,64
10/18/2023,64
10/19/2023,61
10/20/2023,58
10/21/2023,45
10/22/2023,44
10/23/2023,63
10/24/2023,65
10/25/2023,67
10/26/2023,63
10/27/2023,55
10/28/2023,43
10/29/2023,42
10/30/2023,60
10/31/2023,62
11/1/2023,60
11/2/2023,60
11/3/2023,58
11/4/2023,44
11/5/2023,42
11/6/2023,62
11/7/2023,61
11/8/2023,64
11/9/2023,62
11/10/2023,59
11/11/2023,46
11/12/2023,40
11/13/2023,60
11/14/2023,62
11/15/2023,63
11/16/2023,65
11/17/2023,62
11/18/2023,52
11/19/2023,46
11/20/2023,81
11/21/2023,75
11/22/2023,68
11/23/2023,61
11/24/2023,64
11/25/2023,48
11/26/2023,50
11/27/2023,67
11/28/2023,65
11/29/2023,64
11/30/2023,63
12/1/2023,57
12/2/2023,49
12/3/2023,47
12/4/2023,60
12/5/2023,60
12/6/2023,63
12/7/2023,60
12/8/2023,56
12/9/2023,45
12/10/2023,43
12/11/2023,60
12/12/2023,58
12/13/2023,69
12/14/2023,72
12/15/2023,74
12/16/2023,57
12/17/2023,52
12/18/2023,68
12/19/2023,68
12/20/2023,70
12/21/2023,70
12/22/2023,58
12/23/2023,53
12/24/2023,49
12/25/2023,62
12/26/2023,64
12/27/2023,68
12/28/2023,64
12/29/2023,60
12/30/2023,52
12/31/2023,44
1/1/2024,49
1/2/2024,62
1/3/2024,75
1/4/2024,72
1/5/2024,72
1/6/2024,59
1/7/2024,52
1/8/2024,73
1/9/2024,77
1/10/2024,72
1/11/2024,73
1/12/2024,73
1/13/2024,54
1/14/2024,56
1/15/2024,71
1/16/2024,79
1/17/2024,84
1/18/2024,82
1/19/2024,80
1/20/2024,58
1/21/2024,60
1/22/2024,85
1/23/2024,88
1/24/2024,91
1/25/2024,99
1/26/2024,96
1/27/2024,71
1/28/2024,66
1/29/2024,98
1/30/2024,96
1/31/2024,100
2/1/2024,89
2/2/2024,83
2/3/2024,61
2/4/2024,62
2/5/2024,89
2/6/2024,85
2/7/2024,87
2/8/2024,80
2/9/2024,81
2/10/2024,56
2/11/2024,59
2/12/2024,76
2/13/2024,88
2/14/2024,85
2/15/2024,80
2/16/2024,88
2/17/2024,62
2/18/2024,58
2/19/2024,82
2/20/2024,80
2/21/2024,82
2/22/2024,82
2/23/2024,72
2/24/2024,65
2/25/2024,66
2/26/2024,96
2/27/2024,93
2/28/2024,91
2/29/2024,98
3/1/2024,86
3/2/2024,67
3/3/2024,66
3/4/2024,88
3/5/2024,83
3/6/2024,83
3/7/2024,77
3/8/2024,74
3/9/2024,57
3/10/2024,56
3/11/2024,76
3/12/2024,80
3/13/2024,81
3/14/2024,82
3/15/2024,72
3/16/2024,59
3/17/2024,54
3/18/2024,72
3/19/2024,76
3/20/2024,74
3/21/2024,74
3/22/2024,73
3/23/2024,56
3/24/2024,53
3/25/2024,74
3/26/2024,72
3/27/2024,74
3/28/2024,80
3/29/2024,61
3/30/2024,50
3/31/2024,49
4/1/2024,69
4/2/2024,77
4/3/2024,78
4/4/2024,75
4/5/2024,74
4/6/2024,53
4/7/2024,50
4/8/2024,71
4/9/2024,71
4/10/2024,72
4/11/2024,72
4/12/2024,71
4/13/2024,51
4/14/2024,51
4/15/2024,75
4/16/2024,74
4/17/2024,75
4/18/2024,75
4/19/2024,72
4/20/2024,54
4/21/2024,50
4/22/2024,74
4/23/2024,73
4/24/2024,72
4/25/2024,80
4/26/2024,76
4/27/2024,53
4/28/2024,53
4/29/2024,76
4/30/2024,70
5/1/2024,67
5/2/2024,72
5/3/2024,70
5/4/2024,55
5/5/2024,50
5/6/2024,71
5/7/2024,79
5/8/2024,75
5/9/2024,76
5/10/2024,70
5/11/2024,50
5/12/2024,52
5/13/2024,75
5/14/2024,79
5/15/2024,80
5/16/2024,76
5/17/2024,71
5/18/2024,54
5/19/2024,52
5/20/2024,75
5/21/2024,87
5/22/2024,84
5/23/2024,85
5/24/2024,75
5/25/2024,58
5/26/2024,57
5/27/2024,72
5/28/2024,78
5/29/2024,79
5/30/2024,76
5/31/2024,71
6/1/2024,54
