,Date,Open,High,Low,Close,Volume
0,2020-02-03,75.81,78.27,75.7,76.72,177071.103
1,2020-02-04,76.73,77.3,73.73,75.27,230733.121
2,2020-02-05,75.27,79.2,74.55,77.87,275305.488
3,2020-02-06,77.94,80.23,76.28,78.39,130355.894
4,2020-02-07,78.38,81.01,78.36,79.63,145821.539
5,2020-02-08,79.63,81.71,76.84,80.77,124853.413
6,2020-02-09,80.77,87.99,80.6,87.68,167717.445
7,2020-02-10,87.71,88.01,83.17,84.73,125420.882
8,2020-02-11,84.66,89.84,82.69,89.68,218711.154
9,2020-02-12,89.65,94.74,89.59,94.47,191814.211
10,2020-02-13,94.46,95.91,89.69,92.44,216644.758
11,2020-02-14,92.44,95.48,91.02,95.33,111776.785
12,2020-02-15,95.32,97.14,86.45,89.29,149330.801
13,2020-02-16,89.29,92.2,79.52,87.81,288121.713
14,2020-02-17,87.83,89.31,79.19,82.7,244112.596
15,2020-02-18,82.72,87.41,81.22,86.35,96280.155
16,2020-02-19,86.37,87.21,75.71,77.72,102052.217
17,2020-02-20,77.64,79.2,75.02,76.47,106364.563
18,2020-02-21,76.49,82.72,75.64,80.29,103280.87
19,2020-02-22,80.26,82.88,78.12,78.91,115768.617
20,2020-02-23,78.94,85.67,78.89,85.12,140935.878
21,2020-02-24,85.11,86.45,76.97,79.3,179932.354
22,2020-02-25,79.27,82.12,75.42,76.61,153178.68
23,2020-02-26,76.52,78.0,68.32,70.63,149823.543
24,2020-02-27,70.62,72.73,66.69,70.18,126596.031
25,2020-02-28,70.26,71.69,66.03,68.24,123015.994
26,2020-02-29,68.21,69.15,65.91,66.02,105065.482
27,2020-03-01,65.95,67.72,63.2,64.46,123952.573
28,2020-03-02,64.49,69.26,64.29,68.76,113357.376
29,2020-03-03,68.86,69.03,64.85,65.91,108019.57
30,2020-03-04,65.91,68.06,64.78,65.69,78746.254
31,2020-03-05,65.73,70.08,65.73,68.52,104782.491
32,2020-03-06,68.52,69.75,67.54,69.16,77603.957
33,2020-03-07,69.13,69.63,65.21,65.74,115506.528
34,2020-03-08,65.73,65.73,55.68,56.4,165098.142
35,2020-03-09,56.44,57.77,52.21,55.78,189648.476
36,2020-03-10,55.76,56.98,53.59,54.85,120467.549
37,2020-03-11,54.85,56.01,50.95,54.21,118762.807
38,2020-03-12,54.19,54.32,30.36,32.02,393460.67
39,2020-03-13,31.88,40.43,24.64,36.82,292855.168
40,2020-03-14,36.76,40.0,35.22,36.01,188080.513
41,2020-03-15,36.06,41.25,35.52,37.87,203791.174
42,2020-03-16,37.87,38.77,29.1,33.87,257974.28
43,2020-03-17,33.87,37.42,33.37,36.11,191364.078
44,2020-03-18,36.1,37.8,33.84,37.06,296707.634
45,2020-03-19,37.04,42.92,35.99,40.8,219008.112
46,2020-03-20,40.8,45.46,36.34,40.33,366809.92
47,2020-03-21,40.31,42.97,38.35,41.21,317578.292
48,2020-03-22,41.17,42.59,37.56,37.99,209833.517
49,2020-03-23,37.98,44.53,37.37,44.39,190215.103
50,2020-03-24,44.42,48.19,43.02,47.12,223364.755
51,2020-03-25,47.11,48.02,44.8,47.06,153594.152
52,2020-03-26,47.08,51.0,47.08,50.25,263615.001
53,2020-03-27,50.26,51.41,47.14,47.63,172255.981
54,2020-03-28,47.62,48.44,44.88,47.08,208433.092
55,2020-03-29,47.06,47.28,43.93,43.99,126575.731
56,2020-03-30,44.0,47.67,43.78,46.27,147765.734
57,2020-03-31,46.3,48.48,46.22,47.6,81319.416
58,2020-04-01,47.59,48.84,46.34,48.38,77506.778
59,2020-04-02,48.39,53.2,47.84,50.75,129761.435
60,2020-04-03,50.72,54.23,50.2,52.96,202392.259
61,2020-04-04,52.96,55.29,52.1,54.01,184999.65
62,2020-04-05,53.98,54.31,52.51,53.16,126773.984
63,2020-04-06,53.16,59.26,53.09,58.9,187046.108
64,2020-04-07,58.97,60.66,54.75,55.99,183136.067
65,2020-04-08,55.95,58.31,55.53,57.88,116256.62
66,2020-04-09,57.9,58.95,56.03,58.4,118365.826
67,2020-04-10,58.33,58.45,52.39,53.66,141304.416
68,2020-04-11,53.69,54.9,52.49,53.88,111332.544
69,2020-04-12,53.88,55.59,52.8,53.7,111549.991
70,2020-04-13,53.65,53.68,50.98,52.98,154559.047
71,2020-04-14,52.95,55.14,52.6,54.06,113347.144
72,2020-04-15,54.06,55.25,53.1,53.18,94115.226
73,2020-04-16,53.17,57.64,51.48,56.92,150082.297
74,2020-04-17,56.94,57.3,55.94,56.14,87528.96
75,2020-04-18,56.19,58.79,56.02,58.0,90651.257
76,2020-04-19,58.01,58.49,56.34,57.02,89668.736
77,2020-04-20,57.0,58.4,53.96,54.65,94553.367
78,2020-04-21,54.63,55.97,53.92,55.07,86550.394
79,2020-04-22,55.07,57.37,54.69,56.94,51527.961
80,2020-04-23,56.98,61.15,56.1,59.36,81241.527
81,2020-04-24,59.35,62.5,59.23,60.75,80684.062
82,2020-04-25,60.7,62.41,59.92,60.58,73553.311
83,2020-04-26,60.6,62.03,59.81,61.33,59344.526
84,2020-04-27,61.37,62.49,60.86,62.35,73053.41
85,2020-04-28,62.36,63.88,61.31,62.13,94604.29
86,2020-04-29,62.13,66.92,61.71,66.31,154033.449
87,2020-04-30,66.37,68.45,61.13,62.36,142649.093
88,2020-05-01,62.36,65.04,62.34,63.44,81697.801
89,2020-05-02,63.45,64.99,63.32,64.58,41869.597
90,2020-05-03,64.54,65.17,61.76,62.38,75244.181
91,2020-05-04,62.36,62.66,58.53,61.08,126582.74
92,2020-05-05,61.08,61.99,59.69,60.27,69149.612
93,2020-05-06,60.28,62.0,57.38,57.83,106275.644
94,2020-05-07,57.78,65.13,57.16,64.56,178311.873
95,2020-05-08,64.56,65.88,63.07,63.46,174510.115
96,2020-05-09,63.42,64.95,62.64,63.03,117961.902
97,2020-05-10,63.02,63.16,52.44,58.73,227701.826
98,2020-05-11,58.69,61.89,55.65,59.37,216033.406
99,2020-05-12,59.37,62.38,59.18,61.53,113809.366
100,2020-05-13,61.47,66.24,61.36,64.97,186037.271
101,2020-05-14,64.99,65.81,62.69,65.29,152932.574
102,2020-05-15,65.28,65.78,61.67,62.78,104281.616
103,2020-05-16,62.77,65.9,61.98,65.43,72361.135
104,2020-05-17,65.43,67.26,64.74,65.18,68034.468
105,2020-05-18,65.21,67.8,65.03,67.02,79399.586
106,2020-05-19,66.97,67.59,65.04,66.72,65470.659
107,2020-05-20,66.68,67.13,62.84,64.68,76846.459
108,2020-05-21,64.73,65.15,59.95,61.65,91202.292
109,2020-05-22,61.65,63.64,61.08,62.96,69142.068
110,2020-05-23,62.92,64.96,62.59,63.52,64534.943
111,2020-05-24,63.54,63.78,60.52,60.64,71486.014
112,2020-05-25,60.61,62.42,60.01,61.63,51761.954
113,2020-05-26,61.66,62.4,60.83,61.91,67138.84
114,2020-05-27,61.94,65.47,61.31,64.48,86995.551
115,2020-05-28,64.48,67.48,63.1,67.12,83025.784
116,2020-05-29,67.12,67.8,65.8,66.07,44960.725
117,2020-05-30,66.04,68.84,65.27,68.37,140825.989
118,2020-05-31,68.39,68.8,63.77,64.94,166429.701
119,2020-06-01,64.93,68.48,63.2,67.78,166125.463
120,2020-06-02,67.78,70.4,63.38,66.65,146596.575
121,2020-06-03,66.69,68.32,66.14,67.19,86106.269
122,2020-06-04,67.24,68.8,65.64,68.23,115076.602
123,2020-06-05,68.23,69.27,67.24,67.55,82156.293
124,2020-06-06,67.51,68.2,67.02,67.7,51842.789
125,2020-06-07,67.72,68.22,64.62,66.36,88854.993
126,2020-06-08,66.35,68.27,66.22,68.22,67591.003
127,2020-06-09,68.22,68.95,67.03,68.05,60275.273
128,2020-06-10,68.06,69.73,67.45,69.61,56654.75
129,2020-06-11,69.64,70.12,62.92,63.7,104579.816
130,2020-06-12,63.68,66.54,62.94,65.68,49368.354
131,2020-06-13,65.64,66.51,65.0,66.5,45609.594
132,2020-06-14,66.5,66.51,64.47,65.38,42613.386
133,2020-06-15,65.42,65.66,61.82,64.48,84894.215
134,2020-06-16,64.47,65.97,64.19,65.9,56238.249
135,2020-06-17,65.94,66.89,64.57,65.08,54332.466
136,2020-06-18,65.08,66.0,64.23,64.93,66740.88
137,2020-06-19,64.91,65.31,63.47,64.12,58909.013
138,2020-06-20,64.1,64.58,63.44,64.02,35244.193
139,2020-06-21,64.08,65.03,63.86,64.48,38359.266
140,2020-06-22,64.5,66.84,64.43,66.12,63142.615
141,2020-06-23,66.13,67.28,65.43,66.84,58774.201
142,2020-06-24,66.87,67.49,64.0,64.91,64723.677
143,2020-06-25,64.94,65.19,63.13,64.38,39371.938
144,2020-06-26,64.34,64.6,62.99,64.01,49285.675
145,2020-06-27,64.0,64.35,59.83,62.04,171211.039
146,2020-06-28,62.07,63.54,61.71,63.21,35187.55
147,2020-06-29,63.22,64.85,62.37,64.12,44894.614
148,2020-06-30,64.09,64.53,63.21,63.52,38085.447
149,2020-07-01,63.56,64.8,63.23,64.49,42156.581
150,2020-07-02,64.48,66.79,62.31,65.2,118798.155
151,2020-07-03,65.2,65.84,62.37,62.64,75292.469
152,2020-07-04,62.6,65.29,62.37,64.33,98418.133
153,2020-07-05,64.33,64.8,60.98,63.29,157597.079
154,2020-07-06,63.27,65.03,62.77,64.89,82897.696
155,2020-07-07,64.89,65.19,63.63,64.57,49306.805
156,2020-07-08,64.63,67.45,64.0,66.31,163107.838
