,Date,Trend
0,2019-06-30,78
1,2019-07-01,77
2,2019-07-02,76
3,2019-07-03,78
4,2019-07-04,77
5,2019-07-05,80
6,2019-07-06,89
7,2019-07-07,87
8,2019-07-08,100
9,2019-07-09,79
10,2019-07-10,79
11,2019-07-11,77
12,2019-07-12,68
13,2019-07-13,56
14,2019-07-14,82
15,2019-07-15,73
16,2019-07-16,66
17,2019-07-17,82
18,2019-07-18,64
19,2019-07-19,59
20,2019-07-20,74
21,2019-07-21,69
22,2019-07-22,55
23,2019-07-23,71
24,2019-07-24,65
25,2019-07-25,59
26,2019-07-26,53
27,2019-07-27,45
28,2019-07-28,61
29,2019-07-29,64
30,2019-07-30,62
31,2019-07-31,40
32,2019-08-01,60
33,2019-08-02,66
34,2019-08-03,60
35,2019-08-04,71
36,2019-08-05,67
37,2019-08-06,79
38,2019-08-07,66
39,2019-08-08,73
40,2019-08-09,75
41,2019-08-10,68
42,2019-08-11,65
43,2019-08-12,60
44,2019-08-13,62
45,2019-08-14,57
46,2019-08-15,62
47,2019-08-16,52
48,2019-08-17,68
49,2019-08-18,71
50,2019-08-19,71
51,2019-08-20,60
52,2019-08-21,62
53,2019-08-22,56
54,2019-08-23,55
55,2019-08-24,51
56,2019-08-25,55
57,2019-08-26,59
58,2019-08-27,63
59,2019-08-28,61
60,2019-08-29,57
61,2019-08-30,59
62,2019-08-31,56
63,2019-09-01,64
64,2019-09-02,55
65,2019-09-03,63
66,2019-09-04,67
67,2019-09-05,64
68,2019-09-06,47
69,2019-09-07,51
70,2019-09-08,57
71,2019-09-09,57
72,2019-09-10,47
73,2019-09-11,69
74,2019-09-12,65
75,2019-09-13,63
76,2019-09-14,59
77,2019-09-15,66
78,2019-09-16,53
79,2019-09-17,59
80,2019-09-18,70
81,2019-09-19,55
82,2019-09-20,62
83,2019-09-21,62
84,2019-09-22,71
85,2019-09-23,60
86,2019-09-24,51
87,2019-09-25,70
88,2019-09-26,57
89,2019-09-27,58
90,2019-09-28,54
91,2019-09-29,56
92,2019-09-30,50
93,2019-10-01,51
94,2019-10-02,52
95,2019-10-03,58
96,2019-10-04,49
97,2019-10-05,51
98,2019-10-06,59
99,2019-10-07,57
100,2019-10-08,63
101,2019-10-09,63
102,2019-10-10,36
103,2019-10-11,59
104,2019-10-12,48
105,2019-10-13,65
106,2019-10-14,62
107,2019-10-15,61
108,2019-10-16,58
109,2019-10-17,89
110,2019-10-18,61
111,2019-10-19,63
112,2019-10-20,51
113,2019-10-21,52
114,2019-10-22,57
115,2019-10-23,66
116,2019-10-24,65
117,2019-10-25,49
118,2019-10-26,71
119,2019-10-27,66
120,2019-10-28,51
121,2019-10-29,66
122,2019-10-30,51
123,2019-10-31,54
124,2019-11-01,60
125,2019-11-02,61
126,2019-11-03,55
127,2019-11-04,58
128,2019-11-05,72
129,2019-11-06,53
130,2019-11-07,63
131,2019-11-08,61
132,2019-11-09,69
