,Date,Trend,isPartial
0,2023-10-01,14,False
1,2023-10-02,17,False
2,2023-10-03,17,False
3,2023-10-04,17,False
4,2023-10-05,17,False
5,2023-10-06,17,False
6,2023-10-07,14,False
7,2023-10-08,12,False
8,2023-10-09,16,False
9,2023-10-10,18,False
10,2023-10-11,19,False
11,2023-10-12,19,False
12,2023-10-13,17,False
13,2023-10-14,14,False
14,2023-10-15,14,False
15,2023-10-16,17,False
16,2023-10-17,19,False
17,2023-10-18,21,False
18,2023-10-19,19,False
19,2023-10-20,18,False
20,2023-10-21,14,False
21,2023-10-22,13,False
22,2023-10-23,17,False
23,2023-10-24,19,False
24,2023-10-25,18,False
25,2023-10-26,19,False
26,2023-10-27,19,False
27,2023-10-28,15,False
28,2023-10-29,14,False
29,2023-10-30,17,False
30,2023-10-31,20,False
31,2023-11-01,18,False
32,2023-11-02,19,False
33,2023-11-03,20,False
34,2023-11-04,16,False
35,2023-11-05,14,False
36,2023-11-06,19,False
37,2023-11-07,18,False
38,2023-11-08,19,False
39,2023-11-09,19,False
40,2023-11-10,19,False
41,2023-11-11,16,False
42,2023-11-12,15,False
43,2023-11-13,19,False
44,2023-11-14,22,False
45,2023-11-15,21,False
46,2023-11-16,20,False
47,2023-11-17,22,False
48,2023-11-18,18,False
49,2023-11-19,17,False
50,2023-11-20,24,False
51,2023-11-21,31,False
52,2023-11-22,31,False
53,2023-11-23,20,False
54,2023-11-24,23,False
55,2023-11-25,18,False
56,2023-11-26,17,False
57,2023-11-27,21,False
58,2023-11-28,21,False
59,2023-11-29,20,False
60,2023-11-30,20,False
61,2023-12-01,19,False
62,2023-12-02,16,False
63,2023-12-03,15,False
64,2023-12-04,20,False
65,2023-12-05,21,False
66,2023-12-06,21,False
67,2023-12-07,21,False
68,2023-12-08,23,False
69,2023-12-09,18,False
70,2023-12-10,17,False
71,2023-12-11,19,False
72,2023-12-12,20,False
73,2023-12-13,20,False
74,2023-12-14,20,False
75,2023-12-15,21,False
76,2023-12-16,16,False
77,2023-12-17,17,False
78,2023-12-18,21,False
79,2023-12-19,21,False
80,2023-12-20,20,False
81,2023-12-21,20,False
82,2023-12-22,20,False
83,2023-12-23,17,False
84,2023-12-24,16,False
85,2023-12-25,19,False
86,2023-12-26,21,False
87,2023-12-27,22,False
88,2023-12-28,22,False
89,2023-12-29,21,False
90,2023-12-30,17,False
91,2023-12-31,14,False
92,2024-01-01,15,False
93,2024-01-02,20,False
94,2024-01-03,19,False
95,2024-01-04,20,False
96,2024-01-05,20,False
97,2024-01-06,18,False
98,2024-01-07,17,False
99,2024-01-08,25,False
100,2024-01-09,27,False
101,2024-01-10,25,False
102,2024-01-11,23,False
103,2024-01-12,23,False
104,2024-01-13,18,False
105,2024-01-14,16,False
106,2024-01-15,19,False
107,2024-01-16,22,False
108,2024-01-17,23,False
109,2024-01-18,24,False
110,2024-01-19,25,False
111,2024-01-20,19,False
112,2024-01-21,18,False
113,2024-01-22,24,False
114,2024-01-23,24,False
115,2024-01-24,27,False
116,2024-01-25,27,False
117,2024-01-26,25,False
118,2024-01-27,20,False
119,2024-01-28,18,False
120,2024-01-29,23,False
121,2024-01-30,24,False
122,2024-01-31,26,False
123,2024-02-01,25,False
124,2024-02-02,26,False
125,2024-02-03,21,False
126,2024-02-04,20,False
127,2024-02-05,28,False
128,2024-02-06,29,False
129,2024-02-07,28,False
130,2024-02-08,28,False
131,2024-02-09,29,False
132,2024-02-10,23,False
133,2024-02-11,21,False
134,2024-02-12,29,False
135,2024-02-13,33,False
136,2024-02-14,31,False
137,2024-02-15,33,False
138,2024-02-16,32,False
139,2024-02-17,22,False
140,2024-02-18,22,False
141,2024-02-19,25,False
142,2024-02-20,43,False
143,2024-02-21,83,False
144,2024-02-22,100,False
145,2024-02-23,78,False
146,2024-02-24,41,False
147,2024-02-25,36,False
148,2024-02-26,44,False
149,2024-02-27,42,False
150,2024-02-28,36,False
151,2024-02-29,34,False
152,2024-03-01,35,False
153,2024-03-02,28,False
154,2024-03-03,25,False
155,2024-03-04,37,False
156,2024-03-05,38,False
157,2024-03-06,36,False
158,2024-03-07,41,False
159,2024-03-08,50,False
160,2024-03-09,30,False
161,2024-03-10,25,False
162,2024-03-11,40,False
163,2024-03-12,40,False
164,2024-03-13,39,False
165,2024-03-14,35,False
166,2024-03-15,33,False
167,2024-03-16,23,False
168,2024-03-17,23,False
169,2024-03-18,46,False
170,2024-03-19,53,False
171,2024-03-20,44,False
172,2024-03-21,39,False
173,2024-03-22,37,False
174,2024-03-23,26,False
175,2024-03-24,25,False
176,2024-03-25,35,False
177,2024-03-26,33,False
178,2024-03-27,33,False
179,2024-03-28,32,False
180,2024-03-29,25,False
181,2024-03-30,20,False
182,2024-03-31,19,False
183,2024-04-01,29,False
184,2024-04-02,30,False
185,2024-04-03,28,False
186,2024-04-04,28,False
187,2024-04-05,29,False
188,2024-04-06,20,False
189,2024-04-07,18,False
190,2024-04-08,25,False
191,2024-04-09,28,False
192,2024-04-10,27,False
193,2024-04-11,26,False
194,2024-04-12,26,False
195,2024-04-13,18,False
196,2024-04-14,17,False
197,2024-04-15,26,False
198,2024-04-16,26,False
199,2024-04-17,26,False
200,2024-04-18,26,False
201,2024-04-19,32,False
202,2024-04-20,25,False
203,2024-04-21,20,False
204,2024-04-22,30,False
205,2024-04-23,27,False
206,2024-04-24,28,False
207,2024-04-25,27,False
208,2024-04-26,26,False
209,2024-04-27,18,False
210,2024-04-28,18,False
211,2024-04-29,26,False
212,2024-04-30,25,False
213,2024-05-01,25,False
214,2024-05-02,24,False
215,2024-05-03,24,False
216,2024-05-04,16,False
217,2024-05-05,16,False
218,2024-05-06,24,False
219,2024-05-07,25,False
220,2024-05-08,23,False
221,2024-05-09,23,False
222,2024-05-10,27,False
223,2024-05-11,16,False
224,2024-05-12,15,False
225,2024-05-13,24,False
226,2024-05-14,25,False
227,2024-05-15,26,False
228,2024-05-16,27,False
229,2024-05-17,25,False
230,2024-05-18,18,False
231,2024-05-19,17,False
232,2024-05-20,29,False
233,2024-05-21,34,False
234,2024-05-22,71,False
235,2024-05-23,83,False
236,2024-05-24,48,False
237,2024-05-25,28,False
238,2024-05-26,24,False
239,2024-05-27,29,False
240,2024-05-28,44,False
241,2024-05-29,48,False
242,2024-05-30,42,False
243,2024-05-31,38,False
244,2024-06-01,25,False
