Date,Trend
10/1/2023,33
10/2/2023,59
10/3/2023,74
10/4/2023,89
10/5/2023,68
10/6/2023,59
10/7/2023,44
10/8/2023,33
10/9/2023,50
10/10/2023,54
10/11/2023,52
10/12/2023,52
10/13/2023,53
10/14/2023,45
10/15/2023,34
10/16/2023,66
10/17/2023,74
10/18/2023,84
10/19/2023,100
10/20/2023,68
10/21/2023,54
10/22/2023,45
10/23/2023,64
10/24/2023,62
10/25/2023,66
10/26/2023,69
10/27/2023,63
10/28/2023,41
10/29/2023,37
10/30/2023,57
10/31/2023,68
11/1/2023,60
11/2/2023,54
11/3/2023,54
11/4/2023,36
11/5/2023,32
11/6/2023,49
11/7/2023,53
11/8/2023,52
11/9/2023,53
11/10/2023,45
11/11/2023,33
11/12/2023,28
11/13/2023,50
11/14/2023,58
11/15/2023,56
11/16/2023,53
11/17/2023,47
11/18/2023,31
11/19/2023,28
11/20/2023,46
11/21/2023,46
11/22/2023,50
11/23/2023,38
11/24/2023,39
11/25/2023,26
11/26/2023,28
11/27/2023,49
11/28/2023,57
11/29/2023,51
11/30/2023,49
12/1/2023,70
12/2/2023,67
12/3/2023,48
12/4/2023,54
12/5/2023,54
12/6/2023,55
12/7/2023,54
12/8/2023,57
12/9/2023,36
12/10/2023,28
12/11/2023,50
12/12/2023,52
12/13/2023,78
12/14/2023,75
12/15/2023,60
12/16/2023,44
12/17/2023,34
12/18/2023,57
12/19/2023,58
12/20/2023,64
12/21/2023,59
12/22/2023,50
12/23/2023,32
12/24/2023,27
12/25/2023,29
12/26/2023,41
12/27/2023,45
12/28/2023,48
12/29/2023,47
12/30/2023,36
12/31/2023,31
1/1/2024,29
1/2/2024,48
1/3/2024,50
1/4/2024,55
1/5/2024,48
1/6/2024,32
1/7/2024,32
1/8/2024,45
1/9/2024,55
1/10/2024,53
1/11/2024,50
1/12/2024,46
1/13/2024,29
1/14/2024,29
1/15/2024,45
1/16/2024,51
1/17/2024,49
1/18/2024,47
1/19/2024,50
1/20/2024,32
1/21/2024,33
1/22/2024,49
1/23/2024,47
1/24/2024,48
1/25/2024,47
1/26/2024,46
1/27/2024,30
1/28/2024,30
1/29/2024,50
1/30/2024,68
1/31/2024,53
2/1/2024,48
2/2/2024,45
2/3/2024,29
2/4/2024,29
2/5/2024,47
2/6/2024,50
2/7/2024,47
2/8/2024,48
2/9/2024,45
2/10/2024,28
2/11/2024,31
2/12/2024,78
2/13/2024,55
2/14/2024,45
2/15/2024,44
2/16/2024,44
2/17/2024,28
2/18/2024,26
2/19/2024,39
2/20/2024,45
2/21/2024,45
2/22/2024,48
2/23/2024,42
2/24/2024,28
2/25/2024,26
2/26/2024,43
2/27/2024,41
2/28/2024,43
2/29/2024,45
3/1/2024,43
3/2/2024,28
3/3/2024,23
3/4/2024,47
3/5/2024,45
3/6/2024,42
3/7/2024,42
3/8/2024,37
3/9/2024,26
3/10/2024,21
3/11/2024,41
3/12/2024,45
3/13/2024,43
3/14/2024,42
3/15/2024,37
3/16/2024,22
3/17/2024,26
3/18/2024,43
3/19/2024,44
3/20/2024,45
3/21/2024,45
3/22/2024,36
3/23/2024,24
3/24/2024,23
3/25/2024,39
3/26/2024,43
3/27/2024,40
3/28/2024,41
3/29/2024,29
3/30/2024,22
3/31/2024,22
4/1/2024,36
4/2/2024,43
4/3/2024,43
4/4/2024,38
4/5/2024,36
4/6/2024,23
4/7/2024,25
4/8/2024,40
4/9/2024,39
4/10/2024,43
4/11/2024,37
4/12/2024,40
4/13/2024,25
4/14/2024,22
4/15/2024,35
4/16/2024,39
4/17/2024,44
4/18/2024,47
4/19/2024,37
4/20/2024,24
4/21/2024,24
4/22/2024,44
4/23/2024,40
4/24/2024,38
4/25/2024,40
4/26/2024,41
4/27/2024,27
4/28/2024,25
4/29/2024,46
4/30/2024,63
5/1/2024,66
5/2/2024,62
5/3/2024,49
5/4/2024,30
5/5/2024,30
5/6/2024,44
5/7/2024,50
5/8/2024,75
5/9/2024,62
5/10/2024,51
5/11/2024,33
5/12/2024,35
5/13/2024,49
5/14/2024,49
5/15/2024,48
5/16/2024,45
5/17/2024,42
5/18/2024,28
5/19/2024,29
5/20/2024,40
5/21/2024,41
5/22/2024,45
5/23/2024,46
5/24/2024,40
5/25/2024,27
5/26/2024,24
5/27/2024,33
5/28/2024,41
5/29/2024,42
5/30/2024,40
5/31/2024,34
6/1/2024,22
