,Date,Trend
0,2019-11-10,48
1,2019-11-11,47
2,2019-11-12,39
3,2019-11-13,48
4,2019-11-14,49
5,2019-11-15,50
6,2019-11-16,49
7,2019-11-17,55
8,2019-11-18,55
9,2019-11-19,51
10,2019-11-20,40
11,2019-11-21,44
12,2019-11-22,39
13,2019-11-23,48
14,2019-11-24,34
15,2019-11-25,56
16,2019-11-26,43
17,2019-11-27,51
18,2019-11-28,49
19,2019-11-29,46
20,2019-11-30,39
21,2019-12-01,31
22,2019-12-02,38
23,2019-12-03,44
24,2019-12-04,37
25,2019-12-05,40
26,2019-12-06,45
27,2019-12-07,53
28,2019-12-08,50
29,2019-12-09,32
30,2019-12-10,35
31,2019-12-11,48
32,2019-12-12,47
33,2019-12-13,53
34,2019-12-14,34
35,2019-12-15,41
36,2019-12-16,52
37,2019-12-17,54
38,2019-12-18,40
39,2019-12-19,45
40,2019-12-20,39
41,2019-12-21,48
42,2019-12-22,25
43,2019-12-23,43
44,2019-12-24,26
45,2019-12-25,37
46,2019-12-26,46
47,2019-12-27,53
48,2019-12-28,47
49,2019-12-29,39
50,2019-12-30,44
51,2019-12-31,47
52,2020-01-01,34
53,2020-01-02,38
54,2020-01-03,41
55,2020-01-04,39
56,2020-01-05,41
57,2020-01-06,60
58,2020-01-07,42
59,2020-01-08,49
60,2020-01-09,66
61,2020-01-10,54
62,2020-01-11,67
63,2020-01-12,43
64,2020-01-13,41
65,2020-01-14,45
66,2020-01-15,44
67,2020-01-16,41
68,2020-01-17,48
69,2020-01-18,51
70,2020-01-19,51
71,2020-01-20,47
72,2020-01-21,46
73,2020-01-22,57
74,2020-01-23,41
75,2020-01-24,58
76,2020-01-25,47
77,2020-01-26,52
78,2020-01-27,39
79,2020-01-28,37
80,2020-01-29,53
81,2020-01-30,59
82,2020-01-31,52
83,2020-02-01,35
84,2020-02-02,38
85,2020-02-03,39
86,2020-02-04,45
87,2020-02-05,61
88,2020-02-06,43
89,2020-02-07,43
90,2020-02-08,45
91,2020-02-09,55
92,2020-02-10,48
93,2020-02-11,53
94,2020-02-12,51
95,2020-02-13,44
96,2020-02-14,40
97,2020-02-15,37
98,2020-02-16,53
99,2020-02-17,49
100,2020-02-18,45
101,2020-02-19,41
102,2020-02-20,39
103,2020-02-21,46
104,2020-02-22,44
105,2020-02-23,41
106,2020-02-24,48
107,2020-02-25,46
108,2020-02-26,48
109,2020-02-27,51
110,2020-02-28,51
111,2020-02-29,51
112,2020-03-01,44
113,2020-03-02,51
114,2020-03-03,54
115,2020-03-04,45
116,2020-03-05,41
117,2020-03-06,53
118,2020-03-07,53
119,2020-03-08,53
120,2020-03-09,43
121,2020-03-10,46
122,2020-03-11,51
123,2020-03-12,35
124,2020-03-13,39
125,2020-03-14,32
126,2020-03-15,49
127,2020-03-16,35
128,2020-03-17,34
129,2020-03-18,36
130,2020-03-19,41
131,2020-03-20,47
132,2020-03-21,41
133,2020-03-22,41
134,2020-03-23,35
135,2020-03-24,28
136,2020-03-25,41
137,2020-03-26,35
138,2020-03-27,31
139,2020-03-28,35
140,2020-03-29,50
141,2020-03-30,37
142,2020-03-31,39
143,2020-04-01,45
144,2020-04-02,44
145,2020-04-03,44
146,2020-04-04,39
147,2020-04-05,53
148,2020-04-06,54
149,2020-04-07,46
150,2020-04-08,43
151,2020-04-09,55
152,2020-04-10,41
153,2020-04-11,52
154,2020-04-12,51
155,2020-04-13,50
156,2020-04-14,57
157,2020-04-15,54
158,2020-04-16,61
159,2020-04-17,66
160,2020-04-18,57
161,2020-04-19,73
162,2020-04-20,44
163,2020-04-21,35
164,2020-04-22,57
165,2020-04-23,45
166,2020-04-24,33
167,2020-04-25,55
168,2020-04-26,58
169,2020-04-27,36
170,2020-04-28,47
171,2020-04-29,43
172,2020-04-30,41
173,2020-05-01,47
174,2020-05-02,57
175,2020-05-03,50
176,2020-05-04,54
177,2020-05-05,37
