,Date,Open,High,Low,Close,Volume
0,2020-01-06,0.197,0.2259,0.197,0.2226,92022218.9
1,2020-01-07,0.2227,0.2297,0.2071,0.2138,124985943.9
2,2020-01-08,0.2138,0.2204,0.2013,0.2078,79791597.2
3,2020-01-09,0.2078,0.2089,0.201,0.204,45126429.9
4,2020-01-10,0.2039,0.2136,0.2001,0.2128,62488677.4
5,2020-01-11,0.2128,0.2203,0.2085,0.2117,73742826.6
6,2020-01-12,0.2113,0.217,0.2095,0.2158,66638560.6
7,2020-01-13,0.2155,0.216,0.2104,0.2115,37926195.9
8,2020-01-14,0.2115,0.2458,0.2115,0.235,209732728.8
9,2020-01-15,0.235,0.2444,0.2268,0.2337,176527571.0
10,2020-01-16,0.227,0.2352,0.2213,0.227,75637794.6
11,2020-01-17,0.2291,0.2449,0.2279,0.2284,108824285.69999999
12,2020-01-18,0.2394,0.2552,0.232,0.2441,153549609.9
13,2020-01-19,0.2442,0.2525,0.226,0.236,132454087.4
14,2020-01-20,0.236,0.237,0.2236,0.2335,77419621.8
15,2020-01-21,0.2333,0.2424,0.229,0.2375,102077724.0
16,2020-01-22,0.2375,0.2404,0.2315,0.2376,87613905.1
17,2020-01-23,0.2375,0.2376,0.2202,0.2262,67311519.0
18,2020-01-24,0.2261,0.2265,0.2135,0.2224,81678743.4
19,2020-01-25,0.2224,0.2227,0.2167,0.2197,52182168.9
20,2020-01-26,0.2197,0.233,0.2179,0.2313,67256850.5
21,2020-01-27,0.2315,0.2342,0.2265,0.2309,74631182.4
22,2020-01-28,0.2309,0.2423,0.2309,0.2393,108022768.8
23,2020-01-29,0.2394,0.2425,0.2343,0.236,84632552.4
24,2020-01-30,0.2358,0.2486,0.2304,0.2443,136027408.5
25,2020-01-31,0.2443,0.2458,0.2333,0.2397,114882434.6
26,2020-02-01,0.2396,0.2434,0.2367,0.2416,78371892.9
27,2020-02-02,0.2417,0.2623,0.2359,0.2515,188036127.4
28,2020-02-03,0.2514,0.2603,0.2475,0.255,136732781.0
29,2020-02-04,0.255,0.2716,0.2478,0.2676,293891453.1
30,2020-02-05,0.2676,0.2826,0.2676,0.2786,326815683.9
31,2020-02-06,0.2784,0.2895,0.2672,0.2841,308785098.1
32,2020-02-07,0.2841,0.289,0.2778,0.2799,179021253.9
33,2020-02-08,0.2799,0.2828,0.2631,0.2775,213133598.3
34,2020-02-09,0.2776,0.2895,0.2763,0.2828,186098848.0
35,2020-02-10,0.2832,0.2839,0.267,0.2736,154571029.9
36,2020-02-11,0.2737,0.2847,0.2678,0.2816,170236592.2
37,2020-02-12,0.2817,0.31,0.2817,0.3043,354388313.3
38,2020-02-13,0.3043,0.3413,0.2968,0.3276,766448983.5
39,2020-02-14,0.3274,0.3407,0.3102,0.3362,349052494.4
40,2020-02-15,0.3365,0.3476,0.291,0.3075,453671357.3
41,2020-02-16,0.3075,0.3195,0.267,0.2926,424275245.0
42,2020-02-17,0.2926,0.2954,0.2688,0.2877,322587027.3
43,2020-02-18,0.2878,0.3034,0.2748,0.2989,335345319.1
44,2020-02-19,0.2989,0.3088,0.2656,0.2746,334818871.3
45,2020-02-20,0.2746,0.2818,0.2609,0.271,334462467.7
46,2020-02-21,0.271,0.2795,0.2679,0.2745,242451597.6
47,2020-02-22,0.2746,0.279,0.2702,0.2749,165919424.0
48,2020-02-23,0.275,0.2852,0.2749,0.2834,215394996.2
49,2020-02-24,0.2834,0.2846,0.2643,0.2707,282851019.0
50,2020-02-25,0.2707,0.2711,0.2505,0.2524,278756681.8
51,2020-02-26,0.2525,0.2556,0.2223,0.2292,508044420.4
52,2020-02-27,0.2291,0.2476,0.2237,0.2388,314574391.9
53,2020-02-28,0.2387,0.2445,0.2283,0.2368,263044384.5
54,2020-02-29,0.2368,0.2428,0.2288,0.2291,178973905.3
55,2020-03-01,0.2291,0.2363,0.2246,0.2274,201275931.2
56,2020-03-02,0.2273,0.2417,0.226,0.2399,191063851.5
57,2020-03-03,0.2399,0.2399,0.23,0.2344,170532703.6
58,2020-03-04,0.2344,0.2387,0.2302,0.2349,154653888.3
59,2020-03-05,0.235,0.2436,0.2348,0.2395,171513665.5
60,2020-03-06,0.2394,0.2465,0.2382,0.2452,167156747.1
61,2020-03-07,0.2453,0.2455,0.2354,0.2364,142908680.1
62,2020-03-08,0.2365,0.2366,0.1986,0.2042,266461074.2
63,2020-03-09,0.204,0.2118,0.1978,0.2096,257304375.1
64,2020-03-10,0.2096,0.2159,0.2054,0.2119,178037224.3
65,2020-03-11,0.212,0.2141,0.1994,0.2084,174327568.0
66,2020-03-12,0.2084,0.2101,0.1271,0.1346,823618866.0
67,2020-03-13,0.1346,0.1659,0.1016,0.1587,1180439055.9
68,2020-03-14,0.1587,0.1597,0.1435,0.1458,242742719.1
69,2020-03-15,0.1459,0.1645,0.1443,0.1529,219392319.0
70,2020-03-16,0.1529,0.1531,0.1276,0.1408,417041104.3
71,2020-03-17,0.1407,0.1518,0.1393,0.1469,148213452.6
72,2020-03-18,0.1468,0.1493,0.1397,0.1473,98225698.8
73,2020-03-19,0.1474,0.1728,0.1442,0.1648,172032900.7
74,2020-03-20,0.1647,0.1751,0.1443,0.1568,236598983.0
75,2020-03-21,0.1568,0.1617,0.1508,0.158,109717763.3
76,2020-03-22,0.1578,0.1616,0.1459,0.1476,107243630.5
77,2020-03-23,0.1475,0.1615,0.1444,0.1583,147187539.6
78,2020-03-24,0.1584,0.1636,0.1567,0.162,106661268.9
79,2020-03-25,0.162,0.1652,0.1567,0.1617,93227454.2
80,2020-03-26,0.1618,0.1775,0.1595,0.1758,146920948.3
81,2020-03-27,0.1757,0.1873,0.169,0.1728,306484594.8
82,2020-03-28,0.1728,0.1799,0.1662,0.1753,270967651.8
83,2020-03-29,0.1755,0.1769,0.1616,0.1625,164540482.0
84,2020-03-30,0.1626,0.1755,0.1621,0.1709,162290845.6
85,2020-03-31,0.171,0.178,0.1703,0.1736,148271831.3
86,2020-04-01,0.1736,0.1764,0.1675,0.1747,151165100.6
87,2020-04-02,0.1749,0.1872,0.1735,0.1783,170139579.0
88,2020-04-03,0.1783,0.1826,0.1758,0.1795,98985125.7
89,2020-04-04,0.1794,0.1836,0.1777,0.1811,83866991.9
90,2020-04-05,0.1811,0.1821,0.176,0.179,65362723.2
91,2020-04-06,0.1791,0.1984,0.1789,0.1979,171036200.5
92,2020-04-07,0.198,0.2057,0.1893,0.1925,225732492.5
93,2020-04-08,0.1925,0.2031,0.1914,0.2019,116604381.5
94,2020-04-09,0.2019,0.2025,0.1935,0.198,90227260.1
95,2020-04-10,0.1981,0.1986,0.1809,0.1876,141176698.2
96,2020-04-11,0.1875,0.192,0.1848,0.1881,89004674.4
97,2020-04-12,0.1882,0.1957,0.1859,0.1893,139381762.8
98,2020-04-13,0.1893,0.1893,0.1791,0.1874,151350867.3
99,2020-04-14,0.1874,0.1892,0.1832,0.186,83989834.0
100,2020-04-15,0.186,0.1898,0.1797,0.1805,110882017.6
101,2020-04-16,0.1804,0.1938,0.1737,0.1904,189750375.8
102,2020-04-17,0.1905,0.1918,0.1859,0.1886,85586293.7
103,2020-04-18,0.1886,0.1973,0.1882,0.1951,101954575.4
104,2020-04-19,0.1952,0.1964,0.1876,0.1889,95997696.6
105,2020-04-20,0.1889,0.1946,0.178,0.1813,175353170.9
106,2020-04-21,0.1813,0.1866,0.1809,0.1833,98323437.1
107,2020-04-22,0.1833,0.1898,0.1818,0.188,66564621.9
108,2020-04-23,0.188,0.1995,0.1853,0.1925,177831350.9
109,2020-04-24,0.1925,0.1969,0.1918,0.1931,113361414.9
110,2020-04-25,0.1932,0.1977,0.1913,0.1941,78787024.5
111,2020-04-26,0.1942,0.1977,0.19,0.1961,98139018.1
112,2020-04-27,0.1961,0.1997,0.1939,0.1974,101402023.9
113,2020-04-28,0.1973,0.218,0.1945,0.2143,364432887.3
114,2020-04-29,0.2143,0.2318,0.2137,0.2266,424973913.8
115,2020-04-30,0.2266,0.2364,0.2083,0.2116,451138430.1
116,2020-05-01,0.2116,0.2246,0.2114,0.2178,236296467.1
117,2020-05-02,0.218,0.226,0.2151,0.2238,160138376.8
118,2020-05-03,0.224,0.2269,0.2152,0.2194,165577829.2
119,2020-05-04,0.2195,0.2207,0.2071,0.2181,240571376.8
120,2020-05-05,0.218,0.2223,0.2131,0.2169,124087678.3
121,2020-05-06,0.2169,0.2225,0.2102,0.2118,150278312.4
122,2020-05-07,0.2117,0.2221,0.2093,0.2187,198758000.2
123,2020-05-08,0.2187,0.2223,0.2142,0.2189,138018512.8
124,2020-05-09,0.2188,0.2259,0.2154,0.2167,214444381.7
125,2020-05-10,0.2165,0.2166,0.1755,0.1971,382534954.5
126,2020-05-11,0.1969,0.2003,0.1842,0.1926,228861271.0
