,Date,Trend
0,2019-11-10,72
1,2019-11-11,62
2,2019-11-12,62
3,2019-11-13,56
4,2019-11-14,57
5,2019-11-15,60
6,2019-11-16,53
7,2019-11-17,58
8,2019-11-18,60
9,2019-11-19,60
10,2019-11-20,58
11,2019-11-21,58
12,2019-11-22,59
13,2019-11-23,60
14,2019-11-24,61
15,2019-11-25,61
16,2019-11-26,62
17,2019-11-27,57
18,2019-11-28,54
19,2019-11-29,48
20,2019-11-30,47
21,2019-12-01,50
22,2019-12-02,57
23,2019-12-03,60
24,2019-12-04,59
25,2019-12-05,59
26,2019-12-06,58
27,2019-12-07,64
28,2019-12-08,50
29,2019-12-09,53
30,2019-12-10,52
31,2019-12-11,54
32,2019-12-12,54
33,2019-12-13,52
34,2019-12-14,52
35,2019-12-15,80
36,2019-12-16,58
37,2019-12-17,64
38,2019-12-18,62
39,2019-12-19,61
40,2019-12-20,61
41,2019-12-21,68
42,2019-12-22,63
43,2019-12-23,67
44,2019-12-24,72
45,2019-12-25,50
46,2019-12-26,52
47,2019-12-27,48
48,2019-12-28,52
49,2019-12-29,55
50,2019-12-30,57
51,2019-12-31,51
52,2020-01-01,48
53,2020-01-02,53
54,2020-01-03,57
55,2020-01-04,56
56,2020-01-05,56
57,2020-01-06,69
58,2020-01-07,69
59,2020-01-08,66
60,2020-01-09,62
61,2020-01-10,56
62,2020-01-11,61
63,2020-01-12,57
64,2020-01-13,56
65,2020-01-14,71
66,2020-01-15,78
67,2020-01-16,67
68,2020-01-17,65
69,2020-01-18,63
70,2020-01-19,95
71,2020-01-20,59
72,2020-01-21,64
73,2020-01-22,62
74,2020-01-23,60
75,2020-01-24,62
76,2020-01-25,58
77,2020-01-26,59
78,2020-01-27,61
79,2020-01-28,59
80,2020-01-29,61
81,2020-01-30,65
82,2020-01-31,64
83,2020-02-01,58
84,2020-02-02,65
85,2020-02-03,60
86,2020-02-04,79
87,2020-02-05,86
88,2020-02-06,78
89,2020-02-07,71
90,2020-02-08,60
91,2020-02-09,89
92,2020-02-10,66
93,2020-02-11,67
94,2020-02-12,87
95,2020-02-13,100
96,2020-02-14,85
97,2020-02-15,76
98,2020-02-16,79
99,2020-02-17,75
100,2020-02-18,75
101,2020-02-19,76
102,2020-02-20,69
103,2020-02-21,65
104,2020-02-22,59
105,2020-02-23,88
106,2020-02-24,60
107,2020-02-25,67
108,2020-02-26,66
109,2020-02-27,64
110,2020-02-28,61
111,2020-02-29,56
112,2020-03-01,58
113,2020-03-02,58
114,2020-03-03,56
115,2020-03-04,59
116,2020-03-05,60
117,2020-03-06,62
118,2020-03-07,55
119,2020-03-08,82
120,2020-03-09,63
121,2020-03-10,60
122,2020-03-11,55
123,2020-03-12,72
124,2020-03-13,69
125,2020-03-14,64
126,2020-03-15,60
127,2020-03-16,62
128,2020-03-17,57
129,2020-03-18,55
130,2020-03-19,56
131,2020-03-20,54
132,2020-03-21,49
133,2020-03-22,52
134,2020-03-23,53
135,2020-03-24,53
136,2020-03-25,52
137,2020-03-26,54
138,2020-03-27,60
139,2020-03-28,56
140,2020-03-29,54
141,2020-03-30,52
142,2020-03-31,53
143,2020-04-01,50
144,2020-04-02,52
145,2020-04-03,52
146,2020-04-04,54
147,2020-04-05,45
148,2020-04-06,58
149,2020-04-07,65
150,2020-04-08,59
151,2020-04-09,60
152,2020-04-10,55
153,2020-04-11,51
154,2020-04-12,58
155,2020-04-13,53
156,2020-04-14,51
157,2020-04-15,50
158,2020-04-16,55
159,2020-04-17,52
160,2020-04-18,54
161,2020-04-19,55
162,2020-04-20,53
163,2020-04-21,55
164,2020-04-22,53
165,2020-04-23,55
166,2020-04-24,55
167,2020-04-25,53
168,2020-04-26,56
169,2020-04-27,53
170,2020-04-28,64
171,2020-04-29,71
172,2020-04-30,71
173,2020-05-01,64
174,2020-05-02,63
175,2020-05-03,62
176,2020-05-04,58
177,2020-05-05,62
178,2020-05-06,59
179,2020-05-07,56
180,2020-05-08,63
181,2020-05-09,66
182,2020-05-10,90
183,2020-05-11,62
184,2020-05-12,61
185,2020-05-13,60
186,2020-05-14,63
187,2020-05-15,58
188,2020-05-16,56
189,2020-05-17,61
190,2020-05-18,57
191,2020-05-19,57
192,2020-05-20,59
193,2020-05-21,60
194,2020-05-22,61
195,2020-05-23,54
196,2020-05-24,55
197,2020-05-25,54
198,2020-05-26,54
199,2020-05-27,54
200,2020-05-28,54
201,2020-05-29,57
202,2020-05-30,55
203,2020-05-31,61
204,2020-06-01,53
205,2020-06-02,56
206,2020-06-03,56
207,2020-06-04,64
208,2020-06-05,57
209,2020-06-06,56
210,2020-06-07,63
211,2020-06-08,55
212,2020-06-09,55
213,2020-06-10,58
214,2020-06-11,59
215,2020-06-12,55
216,2020-06-13,53
217,2020-06-14,56
218,2020-06-15,60
219,2020-06-16,59
220,2020-06-17,61
221,2020-06-18,59
222,2020-06-19,58
223,2020-06-20,59
224,2020-06-21,54
225,2020-06-22,58
226,2020-06-23,58
227,2020-06-24,55
228,2020-06-25,53
229,2020-06-26,55
230,2020-06-27,55
231,2020-06-28,53
232,2020-06-29,55
233,2020-06-30,56
234,2020-07-01,54
235,2020-07-02,54
236,2020-07-03,50
237,2020-07-04,46
238,2020-07-05,47
239,2020-07-06,55
240,2020-07-07,52
241,2020-07-08,64
242,2020-07-09,60
243,2020-07-10,56
244,2020-07-11,55
245,2020-07-12,65
246,2020-07-13,54
247,2020-07-14,56
248,2020-07-15,55
249,2020-07-16,56
250,2020-07-17,53
251,2020-07-18,50
252,2020-07-19,51
253,2020-07-20,54
254,2020-07-21,61
255,2020-07-22,53
256,2020-07-23,59
257,2020-07-24,54
258,2020-07-25,60
259,2020-07-26,65
260,2020-07-27,69
261,2020-07-28,72
262,2020-07-29,82
263,2020-07-30,69
264,2020-07-31,72
265,2020-08-01,100
