Date,Trend
10/1/2023,13
10/2/2023,14
10/3/2023,11
10/4/2023,10
10/5/2023,11
10/6/2023,12
10/7/2023,10
10/8/2023,9
10/9/2023,10
10/10/2023,11
10/11/2023,10
10/12/2023,9
10/13/2023,10
10/14/2023,10
10/15/2023,9
10/16/2023,11
10/17/2023,12
10/18/2023,11
10/19/2023,12
10/20/2023,15
10/21/2023,18
10/22/2023,15
10/23/2023,18
10/24/2023,20
10/25/2023,19
10/26/2023,16
10/27/2023,15
10/28/2023,13
10/29/2023,15
10/30/2023,20
10/31/2023,25
11/1/2023,44
11/2/2023,35
11/3/2023,25
11/4/2023,22
11/5/2023,21
11/6/2023,21
11/7/2023,20
11/8/2023,20
11/9/2023,27
11/10/2023,40
11/11/2023,48
11/12/2023,36
11/13/2023,32
11/14/2023,28
11/15/2023,38
11/16/2023,36
11/17/2023,29
11/18/2023,23
11/19/2023,22
11/20/2023,28
11/21/2023,26
11/22/2023,23
11/23/2023,21
11/24/2023,20
11/25/2023,19
11/26/2023,18
11/27/2023,19
11/28/2023,20
11/29/2023,21
11/30/2023,22
12/1/2023,21
12/2/2023,24
12/3/2023,23
12/4/2023,27
12/5/2023,26
12/6/2023,26
12/7/2023,30
12/8/2023,48
12/9/2023,40
12/10/2023,35
12/11/2023,30
12/12/2023,27
12/13/2023,26
12/14/2023,29
12/15/2023,46
12/16/2023,39
12/17/2023,33
12/18/2023,34
12/19/2023,36
12/20/2023,41
12/21/2023,54
12/22/2023,63
12/23/2023,61
12/24/2023,91
12/25/2023,76
12/26/2023,65
12/27/2023,60
12/28/2023,56
12/29/2023,48
12/30/2023,42
12/31/2023,36
1/1/2024,37
1/2/2024,51
1/3/2024,45
1/4/2024,39
1/5/2024,37
1/6/2024,35
1/7/2024,32
1/8/2024,39
1/9/2024,36
1/10/2024,37
1/11/2024,39
1/12/2024,33
1/13/2024,31
1/14/2024,30
1/15/2024,30
1/16/2024,33
1/17/2024,35
1/18/2024,31
1/19/2024,31
1/20/2024,29
1/21/2024,30
1/22/2024,30
1/23/2024,30
1/24/2024,28
1/25/2024,27
1/26/2024,30
1/27/2024,31
1/28/2024,31
1/29/2024,33
1/30/2024,38
1/31/2024,39
2/1/2024,31
2/2/2024,30
2/3/2024,26
2/4/2024,25
2/5/2024,27
2/6/2024,39
2/7/2024,30
2/8/2024,31
2/9/2024,32
2/10/2024,30
2/11/2024,29
2/12/2024,30
2/13/2024,33
2/14/2024,36
2/15/2024,35
2/16/2024,30
2/17/2024,26
2/18/2024,26
2/19/2024,29
2/20/2024,25
2/21/2024,26
2/22/2024,25
2/23/2024,26
2/24/2024,23
2/25/2024,24
2/26/2024,27
2/27/2024,33
2/28/2024,39
2/29/2024,55
3/1/2024,45
3/2/2024,39
3/3/2024,39
3/4/2024,45
3/5/2024,48
3/6/2024,44
3/7/2024,59
3/8/2024,51
3/9/2024,49
3/10/2024,48
3/11/2024,48
3/12/2024,48
3/13/2024,56
3/14/2024,69
3/15/2024,76
3/16/2024,87
3/17/2024,79
3/18/2024,100
3/19/2024,76
3/20/2024,62
3/21/2024,54
3/22/2024,53
3/23/2024,55
3/24/2024,51
3/25/2024,58
3/26/2024,52
3/27/2024,39
3/28/2024,50
3/29/2024,50
3/30/2024,49
3/31/2024,50
4/1/2024,48
4/2/2024,46
4/3/2024,49
4/4/2024,44
4/5/2024,53
4/6/2024,52
4/7/2024,46
4/8/2024,51
4/9/2024,45
4/10/2024,41
4/11/2024,38
4/12/2024,44
4/13/2024,49
4/14/2024,44
4/15/2024,41
4/16/2024,40
4/17/2024,35
4/18/2024,34
4/19/2024,35
4/20/2024,34
4/21/2024,32
4/22/2024,34
4/23/2024,33
4/24/2024,33
4/25/2024,31
4/26/2024,30
4/27/2024,29
4/28/2024,25
4/29/2024,29
4/30/2024,32
5/1/2024,33
5/2/2024,30
5/3/2024,28
5/4/2024,28
5/5/2024,26
5/6/2024,31
5/7/2024,29
5/8/2024,28
5/9/2024,27
5/10/2024,28
5/11/2024,24
5/12/2024,24
5/13/2024,29
5/14/2024,28
5/15/2024,29
5/16/2024,34
5/17/2024,36
5/18/2024,38
5/19/2024,36
5/20/2024,45
5/21/2024,44
5/22/2024,41
5/23/2024,39
5/24/2024,37
5/25/2024,35
5/26/2024,35
5/27/2024,38
5/28/2024,36
5/29/2024,37
5/30/2024,33
5/31/2024,31
6/1/2024,29
