,Date,Trend
0,2022-10-09,47
1,2022-10-10,40
2,2022-10-11,38
3,2022-10-12,37
4,2022-10-13,40
5,2022-10-14,37
6,2022-10-15,42
7,2022-10-16,41
8,2022-10-17,37
9,2022-10-18,37
10,2022-10-19,36
11,2022-10-20,35
12,2022-10-21,37
13,2022-10-22,41
14,2022-10-23,42
15,2022-10-24,37
16,2022-10-25,36
17,2022-10-26,43
18,2022-10-27,46
19,2022-10-28,49
20,2022-10-29,81
21,2022-10-30,67
22,2022-10-31,51
23,2022-11-01,63
24,2022-11-02,48
25,2022-11-03,43
26,2022-11-04,47
27,2022-11-05,52
28,2022-11-06,50
29,2022-11-07,43
30,2022-11-08,43
31,2022-11-09,43
32,2022-11-10,44
33,2022-11-11,45
34,2022-11-12,53
35,2022-11-13,51
36,2022-11-14,44
37,2022-11-15,39
38,2022-11-16,37
39,2022-11-17,38
40,2022-11-18,39
41,2022-11-19,43
42,2022-11-20,39
43,2022-11-21,36
44,2022-11-22,35
45,2022-11-23,35
46,2022-11-24,36
47,2022-11-25,36
48,2022-11-26,40
49,2022-11-27,43
50,2022-11-28,35
51,2022-11-29,36
52,2022-11-30,36
53,2022-12-01,36
54,2022-12-02,33
55,2022-12-03,40
56,2022-12-04,42
57,2022-12-05,38
58,2022-12-06,34
59,2022-12-07,34
60,2022-12-08,34
61,2022-12-09,33
62,2022-12-10,37
63,2022-12-11,45
64,2022-12-12,37
65,2022-12-13,37
66,2022-12-14,35
67,2022-12-15,36
68,2022-12-16,35
69,2022-12-17,36
70,2022-12-18,39
71,2022-12-19,43
72,2022-12-20,37
73,2022-12-21,38
74,2022-12-22,36
75,2022-12-23,37
76,2022-12-24,46
77,2022-12-25,49
78,2022-12-26,44
79,2022-12-27,38
80,2022-12-28,40
81,2022-12-29,43
82,2022-12-30,46
83,2022-12-31,47
84,2023-01-01,48
85,2023-01-02,42
86,2023-01-03,36
87,2023-01-04,38
88,2023-01-05,44
89,2023-01-06,43
90,2023-01-07,44
91,2023-01-08,43
92,2023-01-09,49
93,2023-01-10,49
