,Date,Trend
0,2023-07-02,10
1,2023-07-03,11
2,2023-07-04,12
3,2023-07-05,11
4,2023-07-06,12
5,2023-07-07,13
6,2023-07-08,13
7,2023-07-09,12
8,2023-07-10,12
9,2023-07-11,12
10,2023-07-12,12
11,2023-07-13,16
12,2023-07-14,22
13,2023-07-15,16
14,2023-07-16,14
15,2023-07-17,13
16,2023-07-18,13
17,2023-07-19,14
18,2023-07-20,14
19,2023-07-21,13
20,2023-07-22,11
21,2023-07-23,11
22,2023-07-24,12
23,2023-07-25,10
24,2023-07-26,12
25,2023-07-27,11
26,2023-07-28,11
27,2023-07-29,10
28,2023-07-30,11
29,2023-07-31,10
30,2023-08-01,9
31,2023-08-02,12
32,2023-08-03,11
33,2023-08-04,11
34,2023-08-05,9
35,2023-08-06,10
36,2023-08-07,9
37,2023-08-08,10
38,2023-08-09,12
39,2023-08-10,11
40,2023-08-11,11
41,2023-08-12,10
42,2023-08-13,13
43,2023-08-14,11
44,2023-08-15,11
45,2023-08-16,11
46,2023-08-17,10
47,2023-08-18,11
48,2023-08-19,10
49,2023-08-20,11
50,2023-08-21,12
51,2023-08-22,11
52,2023-08-23,10
53,2023-08-24,10
54,2023-08-25,11
55,2023-08-26,10
56,2023-08-27,10
57,2023-08-28,10
58,2023-08-29,9
59,2023-08-30,10
60,2023-08-31,10
61,2023-09-01,13
62,2023-09-02,10
63,2023-09-03,10
64,2023-09-04,9
65,2023-09-05,14
66,2023-09-06,12
67,2023-09-07,11
68,2023-09-08,10
69,2023-09-09,10
70,2023-09-10,14
71,2023-09-11,12
72,2023-09-12,12
73,2023-09-13,12
74,2023-09-14,11
75,2023-09-15,10
76,2023-09-16,10
77,2023-09-17,9
78,2023-09-18,11
79,2023-09-19,10
80,2023-09-20,9
81,2023-09-21,10
82,2023-09-22,10
83,2023-09-23,9
84,2023-09-24,9
85,2023-09-25,9
86,2023-09-26,9
87,2023-09-27,9
88,2023-09-28,9
89,2023-09-29,10
90,2023-09-30,10
91,2023-10-01,13
92,2023-10-02,14
93,2023-10-03,12
94,2023-10-04,10
95,2023-10-05,11
96,2023-10-06,12
97,2023-10-07,9
98,2023-10-08,8
99,2023-10-09,10
100,2023-10-10,10
101,2023-10-11,10
102,2023-10-12,9
103,2023-10-13,10
104,2023-10-14,10
105,2023-10-15,9
106,2023-10-16,11
107,2023-10-17,12
108,2023-10-18,11
109,2023-10-19,13
110,2023-10-20,15
111,2023-10-21,18
112,2023-10-22,15
113,2023-10-23,18
114,2023-10-24,19
115,2023-10-25,19
116,2023-10-26,16
117,2023-10-27,14
118,2023-10-28,13
119,2023-10-29,14
120,2023-10-30,19
121,2023-10-31,24
122,2023-11-01,43
123,2023-11-02,35
124,2023-11-03,24
125,2023-11-04,21
126,2023-11-05,20
127,2023-11-06,20
128,2023-11-07,21
129,2023-11-08,19
130,2023-11-09,28
131,2023-11-10,39
132,2023-11-11,47
133,2023-11-12,35
134,2023-11-13,31
135,2023-11-14,27
136,2023-11-15,38
137,2023-11-16,35
138,2023-11-17,28
139,2023-11-18,22
140,2023-11-19,22
141,2023-11-20,28
142,2023-11-21,25
143,2023-11-22,24
144,2023-11-23,21
145,2023-11-24,20
146,2023-11-25,18
147,2023-11-26,19
148,2023-11-27,18
149,2023-11-28,19
150,2023-11-29,22
151,2023-11-30,21
152,2023-12-01,20
153,2023-12-02,24
154,2023-12-03,23
155,2023-12-04,27
156,2023-12-05,26
157,2023-12-06,25
158,2023-12-07,31
159,2023-12-08,47
160,2023-12-09,41
161,2023-12-10,33
162,2023-12-11,29
163,2023-12-12,27
164,2023-12-13,26
165,2023-12-14,28
166,2023-12-15,44
167,2023-12-16,38
168,2023-12-17,33
169,2023-12-18,33
170,2023-12-19,34
171,2023-12-20,46
172,2023-12-21,59
173,2023-12-22,65
174,2023-12-23,56
175,2023-12-24,100
176,2023-12-25,76
177,2023-12-26,63
178,2023-12-27,55
179,2023-12-28,54
180,2023-12-29,48
181,2023-12-30,40
182,2023-12-31,36
183,2024-01-01,37
184,2024-01-02,47
185,2024-01-03,41
186,2024-01-04,38
187,2024-01-05,38
188,2024-01-06,34
189,2024-01-07,32
190,2024-01-08,37
191,2024-01-09,36
192,2024-01-10,35
193,2024-01-11,38
194,2024-01-12,32
195,2024-01-13,29
196,2024-01-14,30
197,2024-01-15,29
198,2024-01-16,32
199,2024-01-17,35
200,2024-01-18,31
201,2024-01-19,31
202,2024-01-20,28
203,2024-01-21,29
204,2024-01-22,29
205,2024-01-23,30
206,2024-01-24,27
207,2024-01-25,26
208,2024-01-26,30
209,2024-01-27,30
210,2024-01-28,31
211,2024-01-29,33
212,2024-01-30,37
213,2024-01-31,39
214,2024-02-01,30
215,2024-02-02,30
216,2024-02-03,26
217,2024-02-04,25
218,2024-02-05,28
219,2024-02-06,39
220,2024-02-07,30
221,2024-02-08,30
222,2024-02-09,31
223,2024-02-10,30
224,2024-02-11,28
225,2024-02-12,29
226,2024-02-13,33
227,2024-02-14,36
228,2024-02-15,34
229,2024-02-16,29
230,2024-02-17,25
231,2024-02-18,25
232,2024-02-19,28
233,2024-02-20,26
234,2024-02-21,26
235,2024-02-22,24
236,2024-02-23,25
237,2024-02-24,22
238,2024-02-25,23
239,2024-02-26,27
240,2024-02-27,33
241,2024-02-28,36
242,2024-02-29,51
243,2024-03-01,43
244,2024-03-02,39
245,2024-03-03,38
246,2024-03-04,42
247,2024-03-05,48
248,2024-03-06,44
249,2024-03-07,54
250,2024-03-08,52
251,2024-03-09,49
252,2024-03-10,48
253,2024-03-11,54
254,2024-03-12,47
255,2024-03-13,54
256,2024-03-14,69
257,2024-03-15,77
258,2024-03-16,87
259,2024-03-17,80
260,2024-03-18,97
261,2024-03-19,73
262,2024-03-20,56
263,2024-03-21,54
264,2024-03-22,50
265,2024-03-23,49
