Date,Trend
10/1/2023,48
10/2/2023,61
10/3/2023,58
10/4/2023,57
10/5/2023,60
10/6/2023,62
10/7/2023,49
10/8/2023,44
10/9/2023,53
10/10/2023,55
10/11/2023,56
10/12/2023,55
10/13/2023,56
10/14/2023,44
10/15/2023,44
10/16/2023,55
10/17/2023,57
10/18/2023,65
10/19/2023,75
10/20/2023,69
10/21/2023,50
10/22/2023,48
10/23/2023,64
10/24/2023,59
10/25/2023,57
10/26/2023,58
10/27/2023,58
10/28/2023,48
10/29/2023,43
10/30/2023,59
10/31/2023,59
11/1/2023,58
11/2/2023,58
11/3/2023,57
11/4/2023,47
11/5/2023,41
11/6/2023,59
11/7/2023,56
11/8/2023,53
11/9/2023,54
11/10/2023,55
11/11/2023,45
11/12/2023,41
11/13/2023,57
11/14/2023,59
11/15/2023,59
11/16/2023,58
11/17/2023,58
11/18/2023,48
11/19/2023,41
11/20/2023,52
11/21/2023,55
11/22/2023,56
11/23/2023,47
11/24/2023,50
11/25/2023,46
11/26/2023,42
11/27/2023,53
11/28/2023,59
11/29/2023,60
11/30/2023,73
12/1/2023,86
12/2/2023,66
12/3/2023,58
12/4/2023,63
12/5/2023,63
12/6/2023,59
12/7/2023,60
12/8/2023,63
12/9/2023,50
12/10/2023,48
12/11/2023,55
12/12/2023,54
12/13/2023,72
12/14/2023,68
12/15/2023,60
12/16/2023,55
12/17/2023,49
12/18/2023,55
12/19/2023,56
12/20/2023,57
12/21/2023,59
12/22/2023,53
12/23/2023,49
12/24/2023,45
12/25/2023,45
12/26/2023,55
12/27/2023,66
12/28/2023,68
12/29/2023,65
12/30/2023,53
12/31/2023,45
1/1/2024,45
1/2/2024,63
1/3/2024,57
1/4/2024,55
1/5/2024,53
1/6/2024,46
1/7/2024,40
1/8/2024,51
1/9/2024,52
1/10/2024,53
1/11/2024,55
1/12/2024,58
1/13/2024,47
1/14/2024,43
1/15/2024,47
1/16/2024,58
1/17/2024,64
1/18/2024,59
1/19/2024,56
1/20/2024,48
1/21/2024,46
1/22/2024,53
1/23/2024,52
1/24/2024,64
1/25/2024,86
1/26/2024,72
1/27/2024,51
1/28/2024,47
1/29/2024,60
1/30/2024,59
1/31/2024,61
2/1/2024,58
2/2/2024,59
2/3/2024,50
2/4/2024,47
2/5/2024,59
2/6/2024,60
2/7/2024,56
2/8/2024,55
2/9/2024,54
2/10/2024,47
2/11/2024,46
2/12/2024,51
2/13/2024,54
2/14/2024,49
2/15/2024,53
2/16/2024,56
2/17/2024,46
2/18/2024,44
2/19/2024,48
2/20/2024,51
2/21/2024,51
2/22/2024,53
2/23/2024,51
2/24/2024,46
2/25/2024,45
2/26/2024,53
2/27/2024,52
2/28/2024,52
2/29/2024,53
3/1/2024,53
3/2/2024,48
3/3/2024,46
3/4/2024,56
3/5/2024,60
3/6/2024,60
3/7/2024,59
3/8/2024,56
3/9/2024,49
3/10/2024,48
3/11/2024,53
3/12/2024,53
3/13/2024,56
3/14/2024,62
3/15/2024,57
3/16/2024,50
3/17/2024,48
3/18/2024,58
3/19/2024,59
3/20/2024,57
3/21/2024,55
3/22/2024,56
3/23/2024,49
3/24/2024,48
3/25/2024,53
3/26/2024,56
3/27/2024,55
3/28/2024,57
3/29/2024,55
3/30/2024,51
3/31/2024,53
4/1/2024,58
4/2/2024,68
4/3/2024,64
4/4/2024,60
4/5/2024,61
4/6/2024,58
4/7/2024,50
4/8/2024,60
4/9/2024,58
4/10/2024,56
4/11/2024,57
4/12/2024,60
4/13/2024,50
4/14/2024,47
4/15/2024,71
4/16/2024,72
4/17/2024,63
4/18/2024,66
4/19/2024,70
4/20/2024,63
4/21/2024,58
4/22/2024,80
4/23/2024,97
4/24/2024,100
4/25/2024,70
4/26/2024,67
4/27/2024,53
4/28/2024,52
4/29/2024,82
4/30/2024,78
5/1/2024,67
5/2/2024,64
5/3/2024,63
5/4/2024,52
5/5/2024,51
5/6/2024,60
5/7/2024,59
5/8/2024,60
5/9/2024,57
5/10/2024,61
5/11/2024,57
5/12/2024,52
5/13/2024,60
5/14/2024,59
5/15/2024,59
5/16/2024,60
5/17/2024,60
5/18/2024,50
5/19/2024,49
5/20/2024,55
5/21/2024,61
5/22/2024,57
5/23/2024,58
5/24/2024,58
5/25/2024,54
5/26/2024,49
5/27/2024,52
5/28/2024,56
5/29/2024,57
5/30/2024,58
5/31/2024,58
6/1/2024,49
