,Date,Trend
0,2020-12-13,13
1,2020-12-14,14
2,2020-12-15,11
3,2020-12-16,15
4,2020-12-17,17
5,2020-12-18,14
6,2020-12-19,15
7,2020-12-20,16
8,2020-12-21,14
9,2020-12-22,8
10,2020-12-23,18
11,2020-12-24,19
12,2020-12-25,18
13,2020-12-26,19
14,2020-12-27,20
15,2020-12-28,17
16,2020-12-29,18
17,2020-12-30,22
18,2020-12-31,16
19,2021-01-01,19
20,2021-01-02,27
21,2021-01-03,29
22,2021-01-04,27
23,2021-01-05,27
24,2021-01-06,34
25,2021-01-07,30
26,2021-01-08,30
27,2021-01-09,24
28,2021-01-10,33
29,2021-01-11,17
30,2021-01-12,14
31,2021-01-13,15
32,2021-01-14,22
33,2021-01-15,27
34,2021-01-16,48
35,2021-01-17,28
36,2021-01-18,25
37,2021-01-19,27
38,2021-01-20,23
39,2021-01-21,17
40,2021-01-22,27
41,2021-01-23,33
42,2021-01-24,27
43,2021-01-25,25
44,2021-01-26,20
45,2021-01-27,21
46,2021-01-28,19
47,2021-01-29,22
48,2021-01-30,22
49,2021-01-31,23
50,2021-02-01,21
51,2021-02-02,26
52,2021-02-03,27
53,2021-02-04,27
54,2021-02-05,31
55,2021-02-06,35
56,2021-02-07,34
57,2021-02-08,29
58,2021-02-09,40
59,2021-02-10,41
60,2021-02-11,48
61,2021-02-12,71
62,2021-02-13,62
63,2021-02-14,56
64,2021-02-15,39
65,2021-02-16,35
66,2021-02-17,31
67,2021-02-18,36
68,2021-02-19,41
69,2021-02-20,42
70,2021-02-21,34
71,2021-02-22,33
72,2021-02-23,26
73,2021-02-24,28
74,2021-02-25,26
75,2021-02-26,22
76,2021-02-27,25
77,2021-02-28,16
78,2021-03-01,22
79,2021-03-02,25
80,2021-03-03,27
81,2021-03-04,16
82,2021-03-05,18
83,2021-03-06,27
84,2021-03-07,23
85,2021-03-08,26
86,2021-03-09,26
87,2021-03-10,22
88,2021-03-11,17
89,2021-03-12,22
90,2021-03-13,23
91,2021-03-14,23
92,2021-03-15,16
93,2021-03-16,19
94,2021-03-17,24
