,Date,Trend,isPartial
0,2023-10-01,68,False
1,2023-10-02,78,False
2,2023-10-03,80,False
3,2023-10-04,81,False
4,2023-10-05,82,False
5,2023-10-06,72,False
6,2023-10-07,68,False
7,2023-10-08,64,False
8,2023-10-09,76,False
9,2023-10-10,80,False
10,2023-10-11,78,False
11,2023-10-12,77,False
12,2023-10-13,71,False
13,2023-10-14,62,False
14,2023-10-15,62,False
15,2023-10-16,75,False
16,2023-10-17,75,False
17,2023-10-18,71,False
18,2023-10-19,72,False
19,2023-10-20,67,False
20,2023-10-21,59,False
21,2023-10-22,60,False
22,2023-10-23,73,False
23,2023-10-24,70,False
24,2023-10-25,74,False
25,2023-10-26,75,False
26,2023-10-27,65,False
27,2023-10-28,59,False
28,2023-10-29,58,False
29,2023-10-30,76,False
30,2023-10-31,78,False
31,2023-11-01,75,False
32,2023-11-02,74,False
33,2023-11-03,71,False
34,2023-11-04,62,False
35,2023-11-05,66,False
36,2023-11-06,80,False
37,2023-11-07,79,False
38,2023-11-08,78,False
39,2023-11-09,74,False
40,2023-11-10,67,False
41,2023-11-11,61,False
42,2023-11-12,56,False
43,2023-11-13,72,False
44,2023-11-14,76,False
45,2023-11-15,71,False
46,2023-11-16,71,False
47,2023-11-17,66,False
48,2023-11-18,60,False
49,2023-11-19,57,False
50,2023-11-20,74,False
51,2023-11-21,75,False
52,2023-11-22,70,False
53,2023-11-23,67,False
54,2023-11-24,67,False
55,2023-11-25,60,False
56,2023-11-26,58,False
57,2023-11-27,81,False
58,2023-11-28,77,False
59,2023-11-29,73,False
60,2023-11-30,70,False
61,2023-12-01,65,False
62,2023-12-02,60,False
63,2023-12-03,60,False
64,2023-12-04,78,False
65,2023-12-05,82,False
66,2023-12-06,78,False
67,2023-12-07,80,False
68,2023-12-08,75,False
69,2023-12-09,64,False
70,2023-12-10,66,False
71,2023-12-11,80,False
72,2023-12-12,78,False
73,2023-12-13,77,False
74,2023-12-14,72,False
75,2023-12-15,69,False
76,2023-12-16,64,False
77,2023-12-17,63,False
78,2023-12-18,72,False
79,2023-12-19,74,False
80,2023-12-20,75,False
81,2023-12-21,70,False
82,2023-12-22,68,False
83,2023-12-23,60,False
84,2023-12-24,57,False
85,2023-12-25,63,False
86,2023-12-26,72,False
87,2023-12-27,79,False
88,2023-12-28,77,False
89,2023-12-29,72,False
90,2023-12-30,63,False
91,2023-12-31,58,False
92,2024-01-01,67,False
93,2024-01-02,84,False
94,2024-01-03,80,False
95,2024-01-04,86,False
96,2024-01-05,80,False
97,2024-01-06,70,False
98,2024-01-07,72,False
99,2024-01-08,84,False
100,2024-01-09,85,False
101,2024-01-10,82,False
102,2024-01-11,85,False
103,2024-01-12,79,False
104,2024-01-13,69,False
105,2024-01-14,65,False
106,2024-01-15,79,False
107,2024-01-16,79,False
108,2024-01-17,81,False
109,2024-01-18,79,False
110,2024-01-19,78,False
111,2024-01-20,70,False
112,2024-01-21,67,False
113,2024-01-22,80,False
114,2024-01-23,82,False
115,2024-01-24,81,False
116,2024-01-25,81,False
117,2024-01-26,74,False
118,2024-01-27,68,False
119,2024-01-28,68,False
120,2024-01-29,81,False
121,2024-01-30,88,False
122,2024-01-31,82,False
123,2024-02-01,79,False
124,2024-02-02,74,False
125,2024-02-03,69,False
126,2024-02-04,66,False
127,2024-02-05,81,False
128,2024-02-06,85,False
129,2024-02-07,81,False
130,2024-02-08,79,False
131,2024-02-09,71,False
132,2024-02-10,63,False
133,2024-02-11,64,False
134,2024-02-12,75,False
135,2024-02-13,78,False
136,2024-02-14,73,False
137,2024-02-15,71,False
138,2024-02-16,76,False
139,2024-02-17,65,False
140,2024-02-18,66,False
141,2024-02-19,83,False
142,2024-02-20,86,False
143,2024-02-21,86,False
144,2024-02-22,81,False
145,2024-02-23,79,False
146,2024-02-24,66,False
147,2024-02-25,66,False
148,2024-02-26,81,False
149,2024-02-27,80,False
150,2024-02-28,79,False
151,2024-02-29,82,False
152,2024-03-01,82,False
153,2024-03-02,69,False
154,2024-03-03,71,False
155,2024-03-04,84,False
156,2024-03-05,85,False
157,2024-03-06,78,False
158,2024-03-07,79,False
159,2024-03-08,69,False
160,2024-03-09,64,False
161,2024-03-10,64,False
162,2024-03-11,77,False
163,2024-03-12,77,False
164,2024-03-13,77,False
165,2024-03-14,76,False
166,2024-03-15,75,False
167,2024-03-16,62,False
168,2024-03-17,68,False
169,2024-03-18,75,False
170,2024-03-19,80,False
171,2024-03-20,78,False
172,2024-03-21,78,False
173,2024-03-22,84,False
174,2024-03-23,85,False
175,2024-03-24,87,False
176,2024-03-25,100,False
177,2024-03-26,91,False
178,2024-03-27,82,False
179,2024-03-28,74,False
180,2024-03-29,68,False
181,2024-03-30,63,False
182,2024-03-31,63,False
183,2024-04-01,76,False
184,2024-04-02,79,False
185,2024-04-03,83,False
186,2024-04-04,78,False
187,2024-04-05,72,False
188,2024-04-06,68,False
189,2024-04-07,70,False
190,2024-04-08,80,False
191,2024-04-09,76,False
192,2024-04-10,74,False
193,2024-04-11,73,False
194,2024-04-12,69,False
195,2024-04-13,64,False
196,2024-04-14,63,False
197,2024-04-15,81,False
198,2024-04-16,79,False
199,2024-04-17,72,False
200,2024-04-18,78,False
201,2024-04-19,71,False
202,2024-04-20,66,False
203,2024-04-21,65,False
204,2024-04-22,78,False
205,2024-04-23,79,False
206,2024-04-24,79,False
207,2024-04-25,80,False
208,2024-04-26,69,False
209,2024-04-27,64,False
210,2024-04-28,66,False
211,2024-04-29,77,False
212,2024-04-30,78,False
213,2024-05-01,75,False
214,2024-05-02,80,False
215,2024-05-03,78,False
216,2024-05-04,82,False
217,2024-05-05,74,False
218,2024-05-06,86,False
219,2024-05-07,84,False
220,2024-05-08,83,False
221,2024-05-09,82,False
222,2024-05-10,76,False
223,2024-05-11,65,False
224,2024-05-12,65,False
225,2024-05-13,81,False
226,2024-05-14,84,False
227,2024-05-15,79,False
228,2024-05-16,80,False
229,2024-05-17,74,False
230,2024-05-18,64,False
231,2024-05-19,67,False
232,2024-05-20,81,False
233,2024-05-21,79,False
234,2024-05-22,76,False
235,2024-05-23,77,False
236,2024-05-24,74,False
237,2024-05-25,66,False
238,2024-05-26,66,False
239,2024-05-27,81,False
240,2024-05-28,81,False
241,2024-05-29,82,False
242,2024-05-30,77,False
243,2024-05-31,75,False
244,2024-06-01,66,False
