,Date,Trend,isPartial
0,2023-10-01,53,False
1,2023-10-02,82,False
2,2023-10-03,81,False
3,2023-10-04,75,False
4,2023-10-05,79,False
5,2023-10-06,80,False
6,2023-10-07,64,False
7,2023-10-08,44,False
8,2023-10-09,73,False
9,2023-10-10,80,False
10,2023-10-11,77,False
11,2023-10-12,80,False
12,2023-10-13,85,False
13,2023-10-14,61,False
14,2023-10-15,42,False
15,2023-10-16,75,False
16,2023-10-17,76,False
17,2023-10-18,74,False
18,2023-10-19,73,False
19,2023-10-20,75,False
20,2023-10-21,60,False
21,2023-10-22,38,False
22,2023-10-23,65,False
23,2023-10-24,70,False
24,2023-10-25,81,False
25,2023-10-26,72,False
26,2023-10-27,75,False
27,2023-10-28,60,False
28,2023-10-29,38,False
29,2023-10-30,68,False
30,2023-10-31,73,False
31,2023-11-01,82,False
32,2023-11-02,83,False
33,2023-11-03,82,False
34,2023-11-04,69,False
35,2023-11-05,41,False
36,2023-11-06,72,False
37,2023-11-07,74,False
38,2023-11-08,78,False
39,2023-11-09,75,False
40,2023-11-10,86,False
41,2023-11-11,63,False
42,2023-11-12,38,False
43,2023-11-13,71,False
44,2023-11-14,77,False
45,2023-11-15,76,False
46,2023-11-16,76,False
47,2023-11-17,77,False
48,2023-11-18,63,False
49,2023-11-19,35,False
50,2023-11-20,70,False
51,2023-11-21,72,False
52,2023-11-22,70,False
53,2023-11-23,34,False
54,2023-11-24,63,False
55,2023-11-25,58,False
56,2023-11-26,40,False
57,2023-11-27,72,False
58,2023-11-28,77,False
59,2023-11-29,77,False
60,2023-11-30,80,False
61,2023-12-01,89,False
62,2023-12-02,76,False
63,2023-12-03,44,False
64,2023-12-04,76,False
65,2023-12-05,79,False
66,2023-12-06,78,False
67,2023-12-07,77,False
68,2023-12-08,82,False
69,2023-12-09,69,False
70,2023-12-10,41,False
71,2023-12-11,76,False
72,2023-12-12,73,False
73,2023-12-13,72,False
74,2023-12-14,81,False
75,2023-12-15,85,False
76,2023-12-16,72,False
77,2023-12-17,40,False
78,2023-12-18,70,False
79,2023-12-19,76,False
80,2023-12-20,76,False
81,2023-12-21,75,False
82,2023-12-22,80,False
83,2023-12-23,68,False
84,2023-12-24,39,False
85,2023-12-25,31,False
86,2023-12-26,70,False
87,2023-12-27,77,False
88,2023-12-28,82,False
89,2023-12-29,87,False
90,2023-12-30,70,False
91,2023-12-31,44,False
92,2024-01-01,42,False
93,2024-01-02,85,False
94,2024-01-03,84,False
95,2024-01-04,85,False
96,2024-01-05,80,False
97,2024-01-06,67,False
98,2024-01-07,41,False
99,2024-01-08,69,False
100,2024-01-09,69,False
101,2024-01-10,70,False
102,2024-01-11,71,False
103,2024-01-12,78,False
104,2024-01-13,61,False
105,2024-01-14,42,False
106,2024-01-15,58,False
107,2024-01-16,71,False
108,2024-01-17,73,False
109,2024-01-18,71,False
110,2024-01-19,76,False
111,2024-01-20,60,False
112,2024-01-21,39,False
113,2024-01-22,71,False
114,2024-01-23,69,False
115,2024-01-24,71,False
116,2024-01-25,70,False
117,2024-01-26,74,False
118,2024-01-27,60,False
119,2024-01-28,40,False
120,2024-01-29,72,False
121,2024-01-30,76,False
122,2024-01-31,77,False
123,2024-02-01,79,False
124,2024-02-02,85,False
125,2024-02-03,72,False
126,2024-02-04,44,False
127,2024-02-05,72,False
128,2024-02-06,73,False
129,2024-02-07,72,False
130,2024-02-08,72,False
131,2024-02-09,76,False
132,2024-02-10,63,False
133,2024-02-11,43,False
134,2024-02-12,66,False
135,2024-02-13,75,False
136,2024-02-14,73,False
137,2024-02-15,73,False
138,2024-02-16,80,False
139,2024-02-17,72,False
140,2024-02-18,42,False
141,2024-02-19,62,False
142,2024-02-20,74,False
143,2024-02-21,75,False
144,2024-02-22,79,False
145,2024-02-23,79,False
146,2024-02-24,64,False
147,2024-02-25,45,False
148,2024-02-26,69,False
149,2024-02-27,76,False
150,2024-02-28,74,False
151,2024-02-29,78,False
152,2024-03-01,90,False
153,2024-03-02,72,False
154,2024-03-03,44,False
155,2024-03-04,75,False
156,2024-03-05,77,False
157,2024-03-06,72,False
158,2024-03-07,72,False
159,2024-03-08,75,False
160,2024-03-09,61,False
161,2024-03-10,37,False
162,2024-03-11,68,False
163,2024-03-12,75,False
164,2024-03-13,71,False
165,2024-03-14,74,False
166,2024-03-15,77,False
167,2024-03-16,59,False
168,2024-03-17,37,False
169,2024-03-18,70,False
170,2024-03-19,72,False
171,2024-03-20,73,False
172,2024-03-21,71,False
173,2024-03-22,72,False
174,2024-03-23,57,False
175,2024-03-24,42,False
176,2024-03-25,66,False
177,2024-03-26,67,False
178,2024-03-27,74,False
179,2024-03-28,78,False
180,2024-03-29,87,False
181,2024-03-30,65,False
182,2024-03-31,39,False
183,2024-04-01,86,False
184,2024-04-02,79,False
185,2024-04-03,77,False
186,2024-04-04,68,False
187,2024-04-05,79,False
188,2024-04-06,57,False
189,2024-04-07,40,False
190,2024-04-08,68,False
191,2024-04-09,70,False
192,2024-04-10,75,False
193,2024-04-11,75,False
194,2024-04-12,75,False
195,2024-04-13,61,False
196,2024-04-14,45,False
197,2024-04-15,80,False
198,2024-04-16,70,False
199,2024-04-17,67,False
200,2024-04-18,69,False
201,2024-04-19,70,False
202,2024-04-20,54,False
203,2024-04-21,38,False
204,2024-04-22,64,False
205,2024-04-23,66,False
206,2024-04-24,65,False
207,2024-04-25,69,False
208,2024-04-26,69,False
209,2024-04-27,54,False
210,2024-04-28,40,False
211,2024-04-29,71,False
212,2024-04-30,74,False
213,2024-05-01,82,False
214,2024-05-02,78,False
215,2024-05-03,77,False
216,2024-05-04,60,False
217,2024-05-05,41,False
218,2024-05-06,73,False
219,2024-05-07,73,False
220,2024-05-08,78,False
221,2024-05-09,92,False
222,2024-05-10,92,False
223,2024-05-11,85,False
224,2024-05-12,100,False
225,2024-05-13,81,False
226,2024-05-14,71,False
227,2024-05-15,69,False
228,2024-05-16,71,False
229,2024-05-17,69,False
230,2024-05-18,53,False
231,2024-05-19,37,False
232,2024-05-20,65,False
233,2024-05-21,66,False
234,2024-05-22,64,False
235,2024-05-23,66,False
236,2024-05-24,68,False
237,2024-05-25,51,False
238,2024-05-26,35,False
239,2024-05-27,38,False
240,2024-05-28,71,False
241,2024-05-29,71,False
242,2024-05-30,76,False
243,2024-05-31,75,False
244,2024-06-01,63,False
