,Date,Trend,isPartial
0,2023-10-01,37,False
1,2023-10-02,33,False
2,2023-10-03,33,False
3,2023-10-04,33,False
4,2023-10-05,34,False
5,2023-10-06,34,False
6,2023-10-07,39,False
7,2023-10-08,37,False
8,2023-10-09,37,False
9,2023-10-10,34,False
10,2023-10-11,34,False
11,2023-10-12,34,False
12,2023-10-13,34,False
13,2023-10-14,36,False
14,2023-10-15,38,False
15,2023-10-16,32,False
16,2023-10-17,32,False
17,2023-10-18,33,False
18,2023-10-19,32,False
19,2023-10-20,35,False
20,2023-10-21,39,False
21,2023-10-22,37,False
22,2023-10-23,35,False
23,2023-10-24,33,False
24,2023-10-25,35,False
25,2023-10-26,35,False
26,2023-10-27,37,False
27,2023-10-28,40,False
28,2023-10-29,37,False
29,2023-10-30,34,False
30,2023-10-31,38,False
31,2023-11-01,33,False
32,2023-11-02,36,False
33,2023-11-03,39,False
34,2023-11-04,39,False
35,2023-11-05,40,False
36,2023-11-06,35,False
37,2023-11-07,35,False
38,2023-11-08,39,False
39,2023-11-09,42,False
40,2023-11-10,44,False
41,2023-11-11,47,False
42,2023-11-12,47,False
43,2023-11-13,41,False
44,2023-11-14,40,False
45,2023-11-15,41,False
46,2023-11-16,41,False
47,2023-11-17,45,False
48,2023-11-18,49,False
49,2023-11-19,49,False
50,2023-11-20,46,False
51,2023-11-21,46,False
52,2023-11-22,57,False
53,2023-11-23,100,False
54,2023-11-24,84,False
55,2023-11-25,56,False
56,2023-11-26,50,False
57,2023-11-27,48,False
58,2023-11-28,42,False
59,2023-11-29,39,False
60,2023-11-30,39,False
61,2023-12-01,42,False
62,2023-12-02,48,False
63,2023-12-03,44,False
64,2023-12-04,40,False
65,2023-12-05,41,False
66,2023-12-06,38,False
67,2023-12-07,38,False
68,2023-12-08,45,False
69,2023-12-09,49,False
70,2023-12-10,45,False
71,2023-12-11,43,False
72,2023-12-12,41,False
73,2023-12-13,41,False
74,2023-12-14,39,False
75,2023-12-15,42,False
76,2023-12-16,51,False
77,2023-12-17,47,False
78,2023-12-18,44,False
79,2023-12-19,44,False
80,2023-12-20,45,False
81,2023-12-21,45,False
82,2023-12-22,52,False
83,2023-12-23,64,False
84,2023-12-24,88,False
85,2023-12-25,71,False
86,2023-12-26,47,False
87,2023-12-27,41,False
88,2023-12-28,41,False
89,2023-12-29,39,False
90,2023-12-30,44,False
91,2023-12-31,52,False
92,2024-01-01,56,False
93,2024-01-02,36,False
94,2024-01-03,35,False
95,2024-01-04,35,False
96,2024-01-05,36,False
97,2024-01-06,40,False
98,2024-01-07,38,False
99,2024-01-08,32,False
100,2024-01-09,32,False
101,2024-01-10,30,False
102,2024-01-11,31,False
103,2024-01-12,33,False
104,2024-01-13,38,False
105,2024-01-14,37,False
106,2024-01-15,33,False
107,2024-01-16,30,False
108,2024-01-17,31,False
109,2024-01-18,30,False
110,2024-01-19,33,False
111,2024-01-20,37,False
112,2024-01-21,35,False
113,2024-01-22,31,False
114,2024-01-23,32,False
115,2024-01-24,29,False
116,2024-01-25,30,False
117,2024-01-26,31,False
118,2024-01-27,36,False
119,2024-01-28,36,False
120,2024-01-29,31,False
121,2024-01-30,31,False
122,2024-01-31,31,False
123,2024-02-01,31,False
124,2024-02-02,33,False
125,2024-02-03,37,False
126,2024-02-04,36,False
127,2024-02-05,30,False
128,2024-02-06,31,False
129,2024-02-07,30,False
130,2024-02-08,31,False
131,2024-02-09,33,False
132,2024-02-10,37,False
133,2024-02-11,37,False
134,2024-02-12,29,False
135,2024-02-13,33,False
136,2024-02-14,32,False
137,2024-02-15,28,False
138,2024-02-16,32,False
139,2024-02-17,36,False
140,2024-02-18,35,False
141,2024-02-19,34,False
142,2024-02-20,30,False
143,2024-02-21,30,False
144,2024-02-22,31,False
145,2024-02-23,31,False
146,2024-02-24,37,False
147,2024-02-25,37,False
148,2024-02-26,31,False
149,2024-02-27,31,False
150,2024-02-28,34,False
151,2024-02-29,32,False
152,2024-03-01,32,False
153,2024-03-02,37,False
154,2024-03-03,36,False
155,2024-03-04,31,False
156,2024-03-05,33,False
157,2024-03-06,31,False
158,2024-03-07,31,False
159,2024-03-08,33,False
160,2024-03-09,37,False
161,2024-03-10,35,False
162,2024-03-11,31,False
163,2024-03-12,32,False
164,2024-03-13,30,False
165,2024-03-14,31,False
166,2024-03-15,34,False
167,2024-03-16,35,False
168,2024-03-17,39,False
169,2024-03-18,31,False
170,2024-03-19,31,False
171,2024-03-20,31,False
172,2024-03-21,30,False
173,2024-03-22,31,False
174,2024-03-23,37,False
175,2024-03-24,40,False
176,2024-03-25,32,False
177,2024-03-26,30,False
178,2024-03-27,32,False
179,2024-03-28,33,False
180,2024-03-29,40,False
181,2024-03-30,44,False
182,2024-03-31,63,False
183,2024-04-01,36,False
184,2024-04-02,31,False
185,2024-04-03,32,False
186,2024-04-04,32,False
187,2024-04-05,35,False
188,2024-04-06,40,False
189,2024-04-07,41,False
190,2024-04-08,35,False
191,2024-04-09,32,False
192,2024-04-10,31,False
193,2024-04-11,31,False
194,2024-04-12,34,False
195,2024-04-13,35,False
196,2024-04-14,37,False
197,2024-04-15,32,False
198,2024-04-16,30,False
199,2024-04-17,30,False
200,2024-04-18,31,False
201,2024-04-19,34,False
202,2024-04-20,39,False
203,2024-04-21,36,False
204,2024-04-22,31,False
205,2024-04-23,30,False
206,2024-04-24,31,False
207,2024-04-25,32,False
208,2024-04-26,33,False
209,2024-04-27,39,False
210,2024-04-28,35,False
211,2024-04-29,32,False
212,2024-04-30,33,False
213,2024-05-01,35,False
214,2024-05-02,34,False
215,2024-05-03,36,False
216,2024-05-04,38,False
217,2024-05-05,38,False
218,2024-05-06,33,False
219,2024-05-07,33,False
220,2024-05-08,32,False
221,2024-05-09,33,False
222,2024-05-10,36,False
223,2024-05-11,39,False
224,2024-05-12,36,False
225,2024-05-13,32,False
226,2024-05-14,31,False
227,2024-05-15,34,False
228,2024-05-16,34,False
229,2024-05-17,35,False
230,2024-05-18,41,False
231,2024-05-19,38,False
232,2024-05-20,38,False
233,2024-05-21,33,False
234,2024-05-22,33,False
235,2024-05-23,34,False
236,2024-05-24,37,False
237,2024-05-25,40,False
238,2024-05-26,39,False
239,2024-05-27,38,False
240,2024-05-28,36,False
241,2024-05-29,31,False
242,2024-05-30,35,False
243,2024-05-31,36,False
244,2024-06-01,41,False
