Date,Trend
10/1/2023,41
10/2/2023,35
10/3/2023,34
10/4/2023,34
10/5/2023,35
10/6/2023,36
10/7/2023,39
10/8/2023,37
10/9/2023,37
10/10/2023,34
10/11/2023,35
10/12/2023,35
10/13/2023,35
10/14/2023,40
10/15/2023,40
10/16/2023,34
10/17/2023,33
10/18/2023,33
10/19/2023,34
10/20/2023,36
10/21/2023,39
10/22/2023,39
10/23/2023,35
10/24/2023,33
10/25/2023,35
10/26/2023,35
10/27/2023,37
10/28/2023,42
10/29/2023,38
10/30/2023,36
10/31/2023,37
11/1/2023,35
11/2/2023,36
11/3/2023,39
11/4/2023,40
11/5/2023,41
11/6/2023,37
11/7/2023,37
11/8/2023,41
11/9/2023,42
11/10/2023,44
11/11/2023,48
11/12/2023,48
11/13/2023,42
11/14/2023,42
11/15/2023,41
11/16/2023,44
11/17/2023,47
11/18/2023,51
11/19/2023,50
11/20/2023,48
11/21/2023,48
11/22/2023,57
11/23/2023,100
11/24/2023,86
11/25/2023,55
11/26/2023,50
11/27/2023,47
11/28/2023,45
11/29/2023,40
11/30/2023,40
12/1/2023,43
12/2/2023,50
12/3/2023,45
12/4/2023,41
12/5/2023,41
12/6/2023,39
12/7/2023,39
12/8/2023,47
12/9/2023,50
12/10/2023,46
12/11/2023,44
12/12/2023,43
12/13/2023,43
12/14/2023,41
12/15/2023,43
12/16/2023,51
12/17/2023,47
12/18/2023,43
12/19/2023,46
12/20/2023,46
12/21/2023,49
12/22/2023,54
12/23/2023,67
12/24/2023,88
12/25/2023,73
12/26/2023,49
12/27/2023,40
12/28/2023,41
12/29/2023,42
12/30/2023,44
12/31/2023,55
1/1/2024,59
1/2/2024,39
1/3/2024,37
1/4/2024,36
1/5/2024,38
1/6/2024,40
1/7/2024,37
1/8/2024,34
1/9/2024,33
1/10/2024,31
1/11/2024,33
1/12/2024,34
1/13/2024,39
1/14/2024,38
1/15/2024,33
1/16/2024,32
1/17/2024,32
1/18/2024,31
1/19/2024,33
1/20/2024,38
1/21/2024,36
1/22/2024,31
1/23/2024,31
1/24/2024,30
1/25/2024,33
1/26/2024,32
1/27/2024,38
1/28/2024,36
1/29/2024,32
1/30/2024,31
1/31/2024,32
2/1/2024,32
2/2/2024,33
2/3/2024,37
2/4/2024,37
2/5/2024,30
2/6/2024,32
2/7/2024,30
2/8/2024,32
2/9/2024,34
2/10/2024,37
2/11/2024,37
2/12/2024,29
2/13/2024,34
2/14/2024,34
2/15/2024,30
2/16/2024,33
2/17/2024,37
2/18/2024,38
2/19/2024,35
2/20/2024,30
2/21/2024,30
2/22/2024,32
2/23/2024,34
2/24/2024,37
2/25/2024,38
2/26/2024,34
2/27/2024,31
2/28/2024,31
2/29/2024,33
3/1/2024,33
3/2/2024,39
3/3/2024,37
3/4/2024,32
3/5/2024,32
3/6/2024,32
3/7/2024,32
3/8/2024,35
3/9/2024,38
3/10/2024,36
3/11/2024,33
3/12/2024,32
3/13/2024,31
3/14/2024,32
3/15/2024,38
3/16/2024,38
3/17/2024,38
3/18/2024,33
3/19/2024,33
3/20/2024,30
3/21/2024,32
3/22/2024,32
3/23/2024,37
3/24/2024,38
3/25/2024,34
3/26/2024,32
3/27/2024,32
3/28/2024,33
3/29/2024,43
3/30/2024,44
3/31/2024,65
4/1/2024,37
4/2/2024,33
4/3/2024,33
4/4/2024,33
4/5/2024,35
4/6/2024,41
4/7/2024,41
4/8/2024,36
4/9/2024,34
4/10/2024,33
4/11/2024,30
4/12/2024,33
4/13/2024,36
4/14/2024,37
4/15/2024,32
4/16/2024,31
4/17/2024,32
4/18/2024,33
4/19/2024,35
4/20/2024,41
4/21/2024,37
4/22/2024,33
4/23/2024,31
4/24/2024,31
4/25/2024,33
4/26/2024,34
4/27/2024,37
4/28/2024,37
4/29/2024,34
4/30/2024,35
5/1/2024,36
5/2/2024,35
5/3/2024,37
5/4/2024,41
5/5/2024,38
5/6/2024,33
5/7/2024,36
5/8/2024,34
5/9/2024,35
5/10/2024,36
5/11/2024,42
5/12/2024,38
5/13/2024,33
5/14/2024,33
5/15/2024,34
5/16/2024,35
5/17/2024,37
5/18/2024,41
5/19/2024,40
5/20/2024,37
5/21/2024,35
5/22/2024,34
5/23/2024,35
5/24/2024,38
5/25/2024,41
5/26/2024,40
5/27/2024,41
5/28/2024,35
5/29/2024,33
5/30/2024,35
5/31/2024,36
6/1/2024,40
