,Date,Trend,isPartial
0,2023-10-01,51,False
1,2023-10-02,52,False
2,2023-10-03,51,False
3,2023-10-04,67,False
4,2023-10-05,54,False
5,2023-10-06,50,False
6,2023-10-07,44,False
7,2023-10-08,45,False
8,2023-10-09,48,False
9,2023-10-10,50,False
10,2023-10-11,55,False
11,2023-10-12,45,False
12,2023-10-13,47,False
13,2023-10-14,43,False
14,2023-10-15,44,False
15,2023-10-16,49,False
16,2023-10-17,50,False
17,2023-10-18,49,False
18,2023-10-19,53,False
19,2023-10-20,65,False
20,2023-10-21,48,False
21,2023-10-22,44,False
22,2023-10-23,57,False
23,2023-10-24,63,False
24,2023-10-25,56,False
25,2023-10-26,56,False
26,2023-10-27,50,False
27,2023-10-28,50,False
28,2023-10-29,45,False
29,2023-10-30,58,False
30,2023-10-31,64,False
31,2023-11-01,62,False
32,2023-11-02,59,False
33,2023-11-03,58,False
34,2023-11-04,52,False
35,2023-11-05,64,False
36,2023-11-06,95,False
37,2023-11-07,77,False
38,2023-11-08,83,False
39,2023-11-09,82,False
40,2023-11-10,62,False
41,2023-11-11,58,False
42,2023-11-12,50,False
43,2023-11-13,66,False
44,2023-11-14,66,False
45,2023-11-15,62,False
46,2023-11-16,59,False
47,2023-11-17,54,False
48,2023-11-18,52,False
49,2023-11-19,46,False
50,2023-11-20,56,False
51,2023-11-21,50,False
52,2023-11-22,53,False
53,2023-11-23,52,False
54,2023-11-24,53,False
55,2023-11-25,48,False
56,2023-11-26,48,False
57,2023-11-27,54,False
58,2023-11-28,55,False
59,2023-11-29,54,False
60,2023-11-30,53,False
61,2023-12-01,54,False
62,2023-12-02,48,False
63,2023-12-03,54,False
64,2023-12-04,60,False
65,2023-12-05,59,False
66,2023-12-06,62,False
67,2023-12-07,60,False
68,2023-12-08,63,False
69,2023-12-09,62,False
70,2023-12-10,57,False
71,2023-12-11,62,False
72,2023-12-12,60,False
73,2023-12-13,56,False
74,2023-12-14,55,False
75,2023-12-15,53,False
76,2023-12-16,51,False
77,2023-12-17,47,False
78,2023-12-18,55,False
79,2023-12-19,56,False
80,2023-12-20,57,False
81,2023-12-21,56,False
82,2023-12-22,56,False
83,2023-12-23,63,False
84,2023-12-24,66,False
85,2023-12-25,50,False
86,2023-12-26,51,False
87,2023-12-27,54,False
88,2023-12-28,54,False
89,2023-12-29,50,False
90,2023-12-30,53,False
91,2023-12-31,46,False
92,2024-01-01,49,False
93,2024-01-02,61,False
94,2024-01-03,59,False
95,2024-01-04,59,False
96,2024-01-05,53,False
97,2024-01-06,48,False
98,2024-01-07,50,False
99,2024-01-08,56,False
100,2024-01-09,57,False
101,2024-01-10,61,False
102,2024-01-11,66,False
103,2024-01-12,57,False
104,2024-01-13,48,False
105,2024-01-14,50,False
106,2024-01-15,49,False
107,2024-01-16,50,False
108,2024-01-17,50,False
109,2024-01-18,51,False
110,2024-01-19,52,False
111,2024-01-20,45,False
112,2024-01-21,49,False
113,2024-01-22,53,False
114,2024-01-23,52,False
115,2024-01-24,53,False
116,2024-01-25,46,False
117,2024-01-26,49,False
118,2024-01-27,42,False
119,2024-01-28,45,False
120,2024-01-29,51,False
121,2024-01-30,55,False
122,2024-01-31,57,False
123,2024-02-01,49,False
124,2024-02-02,47,False
125,2024-02-03,49,False
126,2024-02-04,45,False
127,2024-02-05,54,False
128,2024-02-06,53,False
129,2024-02-07,50,False
130,2024-02-08,52,False
131,2024-02-09,51,False
132,2024-02-10,49,False
133,2024-02-11,46,False
134,2024-02-12,53,False
135,2024-02-13,52,False
136,2024-02-14,51,False
137,2024-02-15,56,False
138,2024-02-16,56,False
139,2024-02-17,46,False
140,2024-02-18,46,False
141,2024-02-19,54,False
142,2024-02-20,51,False
143,2024-02-21,53,False
144,2024-02-22,56,False
145,2024-02-23,50,False
146,2024-02-24,46,False
147,2024-02-25,47,False
148,2024-02-26,53,False
149,2024-02-27,62,False
150,2024-02-28,65,False
151,2024-02-29,63,False
152,2024-03-01,61,False
153,2024-03-02,57,False
154,2024-03-03,59,False
155,2024-03-04,68,False
156,2024-03-05,71,False
157,2024-03-06,62,False
158,2024-03-07,63,False
159,2024-03-08,59,False
