Date,Trend
10/1/2023,11
10/2/2023,14
10/3/2023,12
10/4/2023,21
10/5/2023,14
10/6/2023,13
10/7/2023,12
10/8/2023,10
10/9/2023,14
10/10/2023,14
10/11/2023,14
10/12/2023,13
10/13/2023,13
10/14/2023,11
10/15/2023,11
10/16/2023,14
10/17/2023,13
10/18/2023,13
10/19/2023,24
10/20/2023,49
10/21/2023,29
10/22/2023,26
10/23/2023,39
10/24/2023,56
10/25/2023,40
10/26/2023,36
10/27/2023,30
10/28/2023,25
10/29/2023,26
10/30/2023,41
10/31/2023,53
11/1/2023,51
11/2/2023,48
11/3/2023,41
11/4/2023,36
11/5/2023,53
11/6/2023,100
11/7/2023,71
11/8/2023,61
11/9/2023,68
11/10/2023,53
11/11/2023,47
11/12/2023,39
11/13/2023,53
11/14/2023,52
11/15/2023,43
11/16/2023,39
11/17/2023,34
11/18/2023,31
11/19/2023,32
11/20/2023,36
11/21/2023,34
11/22/2023,34
11/23/2023,29
11/24/2023,31
11/25/2023,28
11/26/2023,29
11/27/2023,35
11/28/2023,30
11/29/2023,31
11/30/2023,29
12/1/2023,29
12/2/2023,27
12/3/2023,30
12/4/2023,43
12/5/2023,40
12/6/2023,40
12/7/2023,39
12/8/2023,48
12/9/2023,45
12/10/2023,38
12/11/2023,37
12/12/2023,34
12/13/2023,35
12/14/2023,32
12/15/2023,31
12/16/2023,28
12/17/2023,27
12/18/2023,28
12/19/2023,29
12/20/2023,30
12/21/2023,30
12/22/2023,31
12/23/2023,26
12/24/2023,26
12/25/2023,33
12/26/2023,30
12/27/2023,29
12/28/2023,34
12/29/2023,31
12/30/2023,29
12/31/2023,28
1/1/2024,30
1/2/2024,39
1/3/2024,39
1/4/2024,34
1/5/2024,31
1/6/2024,27
1/7/2024,26
1/8/2024,33
1/9/2024,34
1/10/2024,37
1/11/2024,46
1/12/2024,37
1/13/2024,28
1/14/2024,26
1/15/2024,26
1/16/2024,26
1/17/2024,25
1/18/2024,25
1/19/2024,24
1/20/2024,20
1/21/2024,20
1/22/2024,29
1/23/2024,27
1/24/2024,24
1/25/2024,23
1/26/2024,24
1/27/2024,19
1/28/2024,20
1/29/2024,21
1/30/2024,21
1/31/2024,20
2/1/2024,11
2/2/2024,11
2/3/2024,19
2/4/2024,17
2/5/2024,24
2/6/2024,20
2/7/2024,19
2/8/2024,20
2/9/2024,21
2/10/2024,19
2/11/2024,20
2/12/2024,22
2/13/2024,18
2/14/2024,13
2/15/2024,16
2/16/2024,22
2/17/2024,18
2/18/2024,19
2/19/2024,22
2/20/2024,25
2/21/2024,24
2/22/2024,21
2/23/2024,20
2/24/2024,18
2/25/2024,19
2/26/2024,24
2/27/2024,18
2/28/2024,10
2/29/2024,11
3/1/2024,21
3/2/2024,44
3/3/2024,34
3/4/2024,48
3/5/2024,34
3/6/2024,39
3/7/2024,35
3/8/2024,28
3/9/2024,17
3/10/2024,15
3/11/2024,40
3/12/2024,29
3/13/2024,28
3/14/2024,16
3/15/2024,8
3/16/2024,7
3/17/2024,2
3/18/2024,2
3/19/2024,1
3/20/2024,2
3/21/2024,2
3/22/2024,8
3/23/2024,5
3/24/2024,1
3/25/2024,1
3/26/2024,1
3/27/2024,7
3/28/2024,9
3/29/2024,9
3/30/2024,6
3/31/2024,7
4/1/2024,10
4/2/2024,11
4/3/2024,10
4/4/2024,14
4/5/2024,16
4/6/2024,15
4/7/2024,13
4/8/2024,14
4/9/2024,14
4/10/2024,14
4/11/2024,24
4/12/2024,27
4/13/2024,28
4/14/2024,29
4/15/2024,28
4/16/2024,23
4/17/2024,12
4/18/2024,13
4/19/2024,12
4/20/2024,13
4/21/2024,12
4/22/2024,15
4/23/2024,16
4/24/2024,20
4/25/2024,11
4/26/2024,11
4/27/2024,10
4/28/2024,10
4/29/2024,11
4/30/2024,11
5/1/2024,13
5/2/2024,11
5/3/2024,10
5/4/2024,9
5/5/2024,8
5/6/2024,15
5/7/2024,18
5/8/2024,21
5/9/2024,19
5/10/2024,19
5/11/2024,17
5/12/2024,16
5/13/2024,18
5/14/2024,15
5/15/2024,14
5/16/2024,15
5/17/2024,17
5/18/2024,16
5/19/2024,16
5/20/2024,24
5/21/2024,27
5/22/2024,23
5/23/2024,26
5/24/2024,24
5/25/2024,21
5/26/2024,21
5/27/2024,20
5/28/2024,19
5/29/2024,21
5/30/2024,19
5/31/2024,20
6/1/2024,15
