Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,22,2315717
07/07/2019,20,2105197
14/07/2019,21,2210457
21/07/2019,16,1684158
28/07/2019,15,1578898
04/08/2019,17,1789418
11/08/2019,16,1684158
18/08/2019,15,1578898
25/08/2019,14,1473638
01/09/2019,14,1473638
08/09/2019,12,1263118
15/09/2019,12,1263118
22/09/2019,14,1473638
29/09/2019,12,1263118
06/10/2019,12,1263118
13/10/2019,11,1157858
20/10/2019,13,1368378
27/10/2019,13,1368378
03/11/2019,11,1157858
10/11/2019,11,1157858
17/11/2019,12,1263118
24/11/2019,13,1368378
01/12/2019,10,1052598
08/12/2019,11,1157858
15/12/2019,11,1157858
22/12/2019,10,1052598
29/12/2019,11,1157858
05/01/2020,14,1473638
12/01/2020,13,1368378
19/01/2020,12,1263118
26/01/2020,13,1368378
02/02/2020,13,1368378
09/02/2020,16,1684158
16/02/2020,14,1473638
23/02/2020,14,1473638
01/03/2020,13,1368378
08/03/2020,24,2526237
15/03/2020,25,2631497
22/03/2020,19,1999938
29/03/2020,16,1684158
05/04/2020,17,1789418
12/04/2020,16,1684158
19/04/2020,16,1684158
26/04/2020,20,2105197
03/05/2020,22,2315717
10/05/2020,25,2631497
17/05/2020,18,1894678
24/05/2020,16,1684158
31/05/2020,16,1684158
07/06/2020,14,1473638
14/06/2020,14,1473638
21/06/2020,13,1368378
28/06/2020,12,1263118
05/07/2020,12,1263118
12/07/2020,14,1473638
19/07/2020,13,1368378
26/07/2020,20,2105197
02/08/2020,20,2105197
09/08/2020,17,1789418
16/08/2020,16,1684158
23/08/2020,14,1473638
30/08/2020,14,1473638
06/09/2020,14,1473638
13/09/2020,13,1368378
20/09/2020,12,1263118
27/09/2020,11,1157858
04/10/2020,11,1157858
11/10/2020,11,1157858
18/10/2020,16,1684158
25/10/2020,17,1789418
01/11/2020,20,2105197
08/11/2020,20,2105197
15/11/2020,27,2842017
22/11/2020,30,3157796
29/11/2020,26,2736757
06/12/2020,21,2210457
13/12/2020,35,3684096
20/12/2020,34,3578836
27/12/2020,54,5684034
03/01/2021,87,9157610
10/01/2021,81,8526051
17/01/2021,52,5473514
24/01/2021,50,5262994
31/01/2021,43,4526175
07/02/2021,79,8315531
14/02/2021,74,7789232
21/02/2021,82,8631311
28/02/2021,55,5789294
07/03/2021,50,5262994
14/03/2021,53,5578774
21/03/2021,46,4841955
28/03/2021,45,4736695
04/04/2021,41,4315655
11/04/2021,51,5368254
18/04/2021,68,7157672
25/04/2021,50,5262994
02/05/2021,44,4631435
09/05/2021,59,6210333
16/05/2021,100,10525989
23/05/2021,70,7368192
30/05/2021,51,5368254
06/06/2021,53,5578774
13/06/2021,40,4210395
20/06/2021,49,5157734
27/06/2021,35,3684096
04/07/2021,29,3052536
11/07/2021,27,2842017
18/07/2021,35,3684096
25/07/2021,37,3894616
01/08/2021,31,3263056
08/08/2021,36,3789356
15/08/2021,32,3368316
22/08/2021,33,3473576
29/08/2021,28,2947277
05/09/2021,38,3999876
12/09/2021,28,2947277
19/09/2021,35,3684096
26/09/2021,27,2842017
03/10/2021,33,3473576
10/10/2021,35,3684096
17/10/2021,47,4947215
24/10/2021,37,3894616
31/10/2021,32,3368316
07/11/2021,38,3999876
14/11/2021,38,3999876
21/11/2021,36,3789356
28/11/2021,37,3894616
05/12/2021,39,4105135
12/12/2021,34,3578836
19/12/2021,32,3368316
26/12/2021,32,3368316
02/01/2022,39,4105135
09/01/2022,39,4105135
16/01/2022,40,4210395
23/01/2022,53,5578774
30/01/2022,38,3999876
06/02/2022,38,3999876
13/02/2022,31,3263056
20/02/2022,42,4420915
27/02/2022,38,3999876
06/03/2022,32,3368316
13/03/2022,29,3052536
20/03/2022,27,2842017
27/03/2022,30,3157796
03/04/2022,26,2736757
10/04/2022,26,2736757
17/04/2022,22,2315717
24/04/2022,23,2420977
01/05/2022,25,2631497
08/05/2022,56,5894554
15/05/2022,38,3999876
22/05/2022,30,3157796
29/05/2022,26,2736757
05/06/2022,25,2631497
12/06/2022,67,7052412
19/06/2022,49,5157734
26/06/2022,37,3894616
03/07/2022,32,3368316
10/07/2022,31,3263056
17/07/2022,32,3368316
24/07/2022,27,2842017
31/07/2022,23,2420977
07/08/2022,23,2420977
14/08/2022,23,2420977
21/08/2022,22,2315717
28/08/2022,23,2420977
04/09/2022,22,2315717
11/09/2022,23,2420977
18/09/2022,22,2315717
25/09/2022,20,2105197
02/10/2022,18,1894678
09/10/2022,18,1894678
16/10/2022,17,1789418
23/10/2022,18,1894678
30/10/2022,18,1894678
06/11/2022,34,3578836
13/11/2022,31,3263056
20/11/2022,23,2420977
27/11/2022,20,2105197
04/12/2022,19,1999938
11/12/2022,19,1999938
18/12/2022,18,1894678
25/12/2022,18,1894678
01/01/2023,18,1894678
08/01/2023,20,2105197
15/01/2023,24,2526237
22/01/2023,22,2315717
29/01/2023,21,2210457
05/02/2023,20,2105197
12/02/2023,19,1999938
19/02/2023,20,2105197
26/02/2023,17,1789418
05/03/2023,19,1999938
12/03/2023,27,2842017
19/03/2023,27,2842017
26/03/2023,23,2420977
02/04/2023,21,2210457
09/04/2023,25,2631497
16/04/2023,22,2315717
23/04/2023,20,2105197
30/04/2023,21,2210457
07/05/2023,19,1999938
14/05/2023,17,1789418
21/05/2023,17,1789418
28/05/2023,17,1789418
04/06/2023,19,1999938
11/06/2023,18,1894678
18/06/2023,22,2315717
25/06/2023,20,2105197
02/07/2023,19,1999938
09/07/2023,20,2105197
16/07/2023,19,1999938
23/07/2023,18,1894678
30/07/2023,17,1789418
06/08/2023,17,1789418
13/08/2023,20,2105197
20/08/2023,18,1894678
27/08/2023,19,1999938
03/09/2023,17,1789418
10/09/2023,16,1684158
17/09/2023,16,1684158
24/09/2023,15,1578898
01/10/2023,16,1684158
08/10/2023,15,1578898
15/10/2023,18,1894678
22/10/2023,27,2842017
29/10/2023,21,2210457
05/11/2023,22,2315717
12/11/2023,21,2210457
19/11/2023,21,2210457
26/11/2023,20,2105197
03/12/2023,31,3263056
10/12/2023,24,2526237
17/12/2023,23,2420977
24/12/2023,22,2315717
31/12/2023,29,3052536
07/01/2024,43,4526175
14/01/2024,26,2736757
21/01/2024,23,2420977
28/01/2024,19,1999938
04/02/2024,20,2105197
11/02/2024,30,3157796
18/02/2024,23,2420977
25/02/2024,43,4526175
03/03/2024,52,5473514
10/03/2024,46,4841955
17/03/2024,39,4105135
24/03/2024,34,3578836
31/03/2024,31,3263056
07/04/2024,32,3368316
14/04/2024,42,4420915
21/04/2024,27,2842017
28/04/2024,26,2736757
05/05/2024,22,2315717
12/05/2024,21,2210457
19/05/2024,24,2526237
26/05/2024,19,1999938
02/06/2024,22,2315717
09/06/2024,19,1999938
16/06/2024,19,1999938
23/06/2024,19,1999938
30/06/2024,17,1789418
