Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,3,21321
07/07/2019,3,21321
14/07/2019,3,21321
21/07/2019,2,14214
28/07/2019,2,14214
04/08/2019,2,14214
11/08/2019,2,14214
18/08/2019,2,14214
25/08/2019,2,14214
01/09/2019,3,21321
08/09/2019,3,21321
15/09/2019,3,21321
22/09/2019,3,21321
29/09/2019,3,21321
06/10/2019,3,21321
13/10/2019,3,21321
20/10/2019,2,14214
27/10/2019,2,14214
03/11/2019,2,14214
10/11/2019,3,21321
17/11/2019,3,21321
24/11/2019,3,21321
01/12/2019,2,14214
08/12/2019,2,14214
15/12/2019,3,21321
22/12/2019,2,14214
29/12/2019,2,14214
05/01/2020,3,21321
12/01/2020,3,21321
19/01/2020,3,21321
26/01/2020,4,28428
02/02/2020,4,28428
09/02/2020,4,28428
16/02/2020,3,21321
23/02/2020,3,21321
01/03/2020,3,21321
08/03/2020,3,21321
15/03/2020,3,21321
22/03/2020,2,14214
29/03/2020,3,21321
05/04/2020,3,21321
12/04/2020,2,14214
19/04/2020,3,21321
26/04/2020,4,28428
03/05/2020,3,21321
10/05/2020,3,21321
17/05/2020,3,21321
24/05/2020,5,35535
31/05/2020,6,42642
07/06/2020,4,28428
14/06/2020,4,28428
21/06/2020,4,28428
28/06/2020,6,42642
05/07/2020,7,49750
12/07/2020,5,35535
19/07/2020,5,35535
26/07/2020,8,56857
02/08/2020,6,42642
09/08/2020,5,35535
16/08/2020,4,28428
23/08/2020,4,28428
30/08/2020,4,28428
06/09/2020,4,28428
13/09/2020,4,28428
20/09/2020,4,28428
27/09/2020,4,28428
04/10/2020,3,21321
11/10/2020,3,21321
18/10/2020,3,21321
25/10/2020,3,21321
01/11/2020,3,21321
08/11/2020,3,21321
15/11/2020,4,28428
22/11/2020,6,42642
29/11/2020,5,35535
06/12/2020,4,28428
13/12/2020,5,35535
20/12/2020,5,35535
27/12/2020,8,56857
03/01/2021,17,120821
10/01/2021,13,92392
17/01/2021,14,99500
24/01/2021,11,78178
31/01/2021,24,170571
07/02/2021,50,355357
14/02/2021,43,305607
21/02/2021,66,469071
28/02/2021,65,461964
07/03/2021,38,270071
14/03/2021,59,419321
21/03/2021,39,277178
28/03/2021,35,248750
04/04/2021,35,248750
11/04/2021,50,355357
18/04/2021,40,284285
25/04/2021,46,326928
02/05/2021,58,412214
09/05/2021,100,710714
16/05/2021,91,646750
23/05/2021,53,376678
30/05/2021,43,305607
06/06/2021,32,227428
13/06/2021,26,184785
20/06/2021,27,191892
27/06/2021,21,149250
04/07/2021,21,149250
11/07/2021,17,120821
18/07/2021,19,135035
25/07/2021,21,149250
01/08/2021,22,156357
08/08/2021,52,369571
15/08/2021,57,405107
22/08/2021,81,575678
29/08/2021,65,461964
05/09/2021,64,454857
12/09/2021,61,433535
19/09/2021,43,305607
26/09/2021,32,227428
03/10/2021,31,220321
10/10/2021,30,213214
17/10/2021,34,241642
24/10/2021,35,248750
31/10/2021,36,255857
07/11/2021,40,284285
14/11/2021,30,213214
21/11/2021,37,262964
28/11/2021,32,227428
05/12/2021,30,213214
12/12/2021,24,170571
19/12/2021,24,170571
26/12/2021,25,177678
02/01/2022,26,184785
09/01/2022,26,184785
16/01/2022,44,312714
23/01/2022,31,220321
30/01/2022,26,184785
06/02/2022,24,170571
13/02/2022,21,149250
20/02/2022,25,177678
27/02/2022,20,142142
06/03/2022,18,127928
13/03/2022,17,120821
20/03/2022,28,199000
27/03/2022,26,184785
03/04/2022,20,142142
10/04/2022,17,120821
17/04/2022,16,113714
24/04/2022,15,106607
01/05/2022,17,120821
08/05/2022,25,177678
15/05/2022,17,120821
22/05/2022,15,106607
29/05/2022,18,127928
05/06/2022,17,120821
12/06/2022,18,127928
19/06/2022,16,113714
26/06/2022,13,92392
03/07/2022,13,92392
10/07/2022,12,85285
17/07/2022,14,99500
24/07/2022,13,92392
31/07/2022,11,78178
07/08/2022,12,85285
14/08/2022,14,99500
21/08/2022,11,78178
28/08/2022,12,85285
04/09/2022,13,92392
11/09/2022,12,85285
18/09/2022,13,92392
25/09/2022,10,71071
02/10/2022,9,63964
09/10/2022,10,71071
16/10/2022,10,71071
23/10/2022,11,78178
30/10/2022,11,78178
06/11/2022,12,85285
13/11/2022,12,85285
20/11/2022,10,71071
27/11/2022,8,56857
04/12/2022,7,49750
11/12/2022,8,56857
18/12/2022,8,56857
25/12/2022,8,56857
01/01/2023,8,56857
08/01/2023,12,85285
15/01/2023,11,78178
22/01/2023,11,78178
29/01/2023,11,78178
05/02/2023,9,63964
12/02/2023,10,71071
19/02/2023,8,56857
26/02/2023,7,49750
05/03/2023,7,49750
12/03/2023,9,63964
19/03/2023,9,63964
26/03/2023,9,63964
02/04/2023,8,56857
09/04/2023,12,85285
16/04/2023,10,71071
23/04/2023,8,56857
30/04/2023,7,49750
07/05/2023,7,49750
14/05/2023,6,42642
21/05/2023,6,42642
28/05/2023,7,49750
04/06/2023,11,78178
11/06/2023,9,63964
18/06/2023,8,56857
25/06/2023,7,49750
02/07/2023,7,49750
09/07/2023,9,63964
16/07/2023,8,56857
23/07/2023,7,49750
30/07/2023,6,42642
06/08/2023,6,42642
13/08/2023,6,42642
20/08/2023,6,42642
27/08/2023,6,42642
03/09/2023,6,42642
10/09/2023,6,42642
17/09/2023,6,42642
24/09/2023,5,35535
01/10/2023,6,42642
08/10/2023,6,42642
15/10/2023,6,42642
22/10/2023,8,56857
29/10/2023,9,63964
05/11/2023,13,92392
12/11/2023,11,78178
19/11/2023,10,71071
26/11/2023,8,56857
03/12/2023,20,142142
10/12/2023,19,135035
17/12/2023,15,106607
24/12/2023,14,99500
31/12/2023,13,92392
07/01/2024,14,99500
14/01/2024,10,71071
21/01/2024,8,56857
28/01/2024,7,49750
04/02/2024,8,56857
11/02/2024,12,85285
18/02/2024,12,85285
25/02/2024,17,120821
03/03/2024,21,149250
10/03/2024,18,127928
17/03/2024,13,92392
24/03/2024,11,78178
31/03/2024,9,63964
07/04/2024,9,63964
14/04/2024,8,56857
21/04/2024,8,56857
28/04/2024,7,49750
05/05/2024,6,42642
12/05/2024,7,49750
19/05/2024,8,56857
26/05/2024,7,49750
02/06/2024,7,49750
09/06/2024,7,49750
16/06/2024,7,49750
23/06/2024,6,42642
30/06/2024,7,49750
