Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,30,34330
07/07/2019,17,19454
14/07/2019,13,14876
21/07/2019,10,11443
28/07/2019,11,12587
04/08/2019,9,10299
11/08/2019,9,10299
18/08/2019,9,10299
25/08/2019,8,9154
01/09/2019,8,9154
08/09/2019,8,9154
15/09/2019,9,10299
22/09/2019,9,10299
29/09/2019,8,9154
06/10/2019,16,18309
13/10/2019,9,10299
20/10/2019,10,11443
27/10/2019,9,10299
03/11/2019,7,8010
10/11/2019,10,11443
17/11/2019,9,10299
24/11/2019,7,8010
01/12/2019,7,8010
08/12/2019,7,8010
15/12/2019,7,8010
22/12/2019,5,5721
29/12/2019,6,6866
05/01/2020,8,9154
12/01/2020,10,11443
19/01/2020,8,9154
26/01/2020,8,9154
02/02/2020,10,11443
09/02/2020,20,22887
16/02/2020,18,20598
23/02/2020,14,16021
01/03/2020,18,20598
08/03/2020,15,17165
15/03/2020,12,13732
22/03/2020,8,9154
29/03/2020,9,10299
05/04/2020,14,16021
12/04/2020,17,19454
19/04/2020,16,18309
26/04/2020,15,17165
03/05/2020,15,17165
10/05/2020,15,17165
17/05/2020,14,16021
24/05/2020,12,13732
31/05/2020,15,17165
07/06/2020,12,13732
14/06/2020,14,16021
21/06/2020,19,21742
28/06/2020,13,14876
05/07/2020,30,34330
12/07/2020,56,64084
19/07/2020,30,34330
26/07/2020,30,34330
02/08/2020,52,59506
09/08/2020,100,114435
16/08/2020,69,78960
23/08/2020,33,37763
30/08/2020,34,38908
06/09/2020,25,28608
13/09/2020,22,25175
20/09/2020,26,29753
27/09/2020,19,21742
04/10/2020,15,17165
11/10/2020,17,19454
18/10/2020,19,21742
25/10/2020,17,19454
01/11/2020,17,19454
08/11/2020,20,22887
15/11/2020,26,29753
22/11/2020,27,30897
29/11/2020,21,24031
06/12/2020,18,20598
13/12/2020,20,22887
20/12/2020,27,30897
27/12/2020,34,38908
03/01/2021,51,58362
10/01/2021,49,56073
17/01/2021,56,64084
24/01/2021,48,54929
31/01/2021,50,57217
07/02/2021,62,70950
14/02/2021,67,76671
21/02/2021,48,54929
28/02/2021,38,43485
07/03/2021,40,45774
14/03/2021,40,45774
21/03/2021,32,36619
28/03/2021,36,41196
04/04/2021,42,48063
11/04/2021,60,68661
18/04/2021,47,53784
25/04/2021,44,50351
02/05/2021,72,82393
09/05/2021,58,66372
16/05/2021,46,52640
23/05/2021,42,48063
30/05/2021,31,35475
06/06/2021,27,30897
13/06/2021,24,27464
20/06/2021,25,28608
27/06/2021,20,22887
04/07/2021,20,22887
11/07/2021,18,20598
18/07/2021,18,20598
25/07/2021,22,25175
01/08/2021,23,26320
08/08/2021,24,27464
15/08/2021,25,28608
22/08/2021,23,26320
29/08/2021,25,28608
05/09/2021,32,36619
12/09/2021,24,27464
19/09/2021,21,24031
26/09/2021,24,27464
03/10/2021,22,25175
10/10/2021,23,26320
17/10/2021,29,33186
24/10/2021,30,34330
31/10/2021,29,33186
07/11/2021,32,36619
14/11/2021,24,27464
21/11/2021,23,26320
28/11/2021,23,26320
05/12/2021,27,30897
12/12/2021,20,22887
19/12/2021,18,20598
26/12/2021,22,25175
02/01/2022,37,42341
09/01/2022,32,36619
16/01/2022,24,27464
23/01/2022,24,27464
30/01/2022,22,25175
06/02/2022,21,24031
13/02/2022,19,21742
20/02/2022,20,22887
27/02/2022,20,22887
06/03/2022,16,18309
13/03/2022,19,21742
20/03/2022,20,22887
27/03/2022,22,25175
03/04/2022,18,20598
10/04/2022,17,19454
17/04/2022,19,21742
24/04/2022,17,19454
01/05/2022,18,20598
08/05/2022,24,27464
15/05/2022,18,20598
22/05/2022,16,18309
29/05/2022,15,17165
05/06/2022,20,22887
12/06/2022,21,24031
19/06/2022,16,18309
26/06/2022,15,17165
03/07/2022,13,14876
10/07/2022,13,14876
17/07/2022,13,14876
24/07/2022,13,14876
31/07/2022,13,14876
07/08/2022,15,17165
14/08/2022,13,14876
21/08/2022,13,14876
28/08/2022,11,12587
04/09/2022,12,13732
11/09/2022,13,14876
18/09/2022,13,14876
25/09/2022,18,20598
02/10/2022,15,17165
09/10/2022,13,14876
16/10/2022,12,13732
23/10/2022,13,14876
30/10/2022,14,16021
06/11/2022,16,18309
13/11/2022,14,16021
20/11/2022,12,13732
27/11/2022,14,16021
04/12/2022,14,16021
11/12/2022,11,12587
18/12/2022,10,11443
25/12/2022,10,11443
01/01/2023,10,11443
08/01/2023,11,12587
15/01/2023,12,13732
22/01/2023,12,13732
29/01/2023,11,12587
05/02/2023,12,13732
12/02/2023,12,13732
19/02/2023,12,13732
26/02/2023,11,12587
05/03/2023,11,12587
12/03/2023,12,13732
19/03/2023,13,14876
26/03/2023,12,13732
02/04/2023,12,13732
09/04/2023,13,14876
16/04/2023,15,17165
23/04/2023,12,13732
30/04/2023,11,12587
07/05/2023,11,12587
14/05/2023,10,11443
21/05/2023,11,12587
28/05/2023,10,11443
04/06/2023,13,14876
11/06/2023,12,13732
18/06/2023,12,13732
25/06/2023,12,13732
02/07/2023,12,13732
09/07/2023,12,13732
16/07/2023,19,21742
23/07/2023,14,16021
30/07/2023,11,12587
06/08/2023,11,12587
13/08/2023,11,12587
20/08/2023,10,11443
27/08/2023,12,13732
03/09/2023,12,13732
10/09/2023,11,12587
17/09/2023,14,16021
24/09/2023,18,20598
01/10/2023,16,18309
08/10/2023,12,13732
15/10/2023,13,14876
22/10/2023,28,32042
29/10/2023,18,20598
05/11/2023,35,40052
12/11/2023,24,27464
19/11/2023,18,20598
