Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,1,58702
07/07/2019,1,58702
14/07/2019,0,0
21/07/2019,0,0
28/07/2019,0,0
04/08/2019,0,0
11/08/2019,0,0
18/08/2019,0,0
25/08/2019,0,0
01/09/2019,0,0
08/09/2019,0,0
15/09/2019,0,0
22/09/2019,0,0
29/09/2019,0,0
06/10/2019,0,0
13/10/2019,0,0
20/10/2019,0,0
27/10/2019,0,0
03/11/2019,0,0
10/11/2019,0,0
17/11/2019,0,0
24/11/2019,0,0
01/12/2019,0,0
08/12/2019,0,0
15/12/2019,0,0
22/12/2019,0,0
29/12/2019,0,0
05/01/2020,0,0
12/01/2020,0,0
19/01/2020,0,0
26/01/2020,0,0
02/02/2020,0,0
09/02/2020,0,0
16/02/2020,0,0
23/02/2020,0,0
01/03/2020,0,0
08/03/2020,0,0
15/03/2020,0,0
22/03/2020,0,0
29/03/2020,0,0
05/04/2020,0,0
12/04/2020,0,0
19/04/2020,0,0
26/04/2020,1,58702
03/05/2020,0,0
10/05/2020,0,0
17/05/2020,0,0
24/05/2020,0,0
31/05/2020,0,0
07/06/2020,0,0
14/06/2020,0,0
21/06/2020,0,0
28/06/2020,0,0
05/07/2020,4,234808
12/07/2020,1,58702
19/07/2020,1,58702
26/07/2020,1,58702
02/08/2020,1,58702
09/08/2020,0,0
16/08/2020,0,0
23/08/2020,0,0
30/08/2020,0,0
06/09/2020,0,0
13/09/2020,0,0
20/09/2020,0,0
27/09/2020,0,0
04/10/2020,0,0
11/10/2020,0,0
18/10/2020,0,0
25/10/2020,0,0
01/11/2020,0,0
08/11/2020,0,0
15/11/2020,0,0
22/11/2020,1,58702
29/11/2020,0,0
06/12/2020,0,0
13/12/2020,1,58702
20/12/2020,2,117404
27/12/2020,3,176106
03/01/2021,6,352212
10/01/2021,3,176106
17/01/2021,2,117404
24/01/2021,59,3463418
31/01/2021,41,2406782
07/02/2021,50,2935100
14/02/2021,22,1291444
21/02/2021,13,763126
28/02/2021,9,528318
07/03/2021,9,528318
14/03/2021,8,469616
21/03/2021,5,293510
28/03/2021,6,352212
04/04/2021,6,352212
11/04/2021,76,4461352
18/04/2021,72,4226544
25/04/2021,32,1878464
02/05/2021,100,5870200
09/05/2021,99,5811498
16/05/2021,45,2641590
23/05/2021,27,1584954
30/05/2021,24,1408848
06/06/2021,16,939232
13/06/2021,11,645722
20/06/2021,17,997934
27/06/2021,11,645722
04/07/2021,9,528318
11/07/2021,8,469616
18/07/2021,9,528318
25/07/2021,8,469616
01/08/2021,6,352212
08/08/2021,10,587020
15/08/2021,10,587020
22/08/2021,7,410914
29/08/2021,6,352212
05/09/2021,6,352212
12/09/2021,5,293510
19/09/2021,5,293510
26/09/2021,4,234808
03/10/2021,6,352212
10/10/2021,6,352212
17/10/2021,7,410914
24/10/2021,11,645722
31/10/2021,8,469616
07/11/2021,7,410914
14/11/2021,6,352212
21/11/2021,5,293510
28/11/2021,5,293510
05/12/2021,5,293510
12/12/2021,8,469616
19/12/2021,5,293510
26/12/2021,5,293510
02/01/2022,6,352212
09/01/2022,8,469616
16/01/2022,6,352212
23/01/2022,7,410914
30/01/2022,5,293510
06/02/2022,5,293510
13/02/2022,4,234808
20/02/2022,4,234808
27/02/2022,4,234808
06/03/2022,3,176106
13/03/2022,3,176106
20/03/2022,3,176106
27/03/2022,3,176106
03/04/2022,4,234808
10/04/2022,4,234808
17/04/2022,3,176106
24/04/2022,5,293510
01/05/2022,3,176106
08/05/2022,5,293510
15/05/2022,3,176106
22/05/2022,2,117404
29/05/2022,3,176106
05/06/2022,2,117404
12/06/2022,5,293510
19/06/2022,4,234808
26/06/2022,3,176106
03/07/2022,2,117404
10/07/2022,2,117404
17/07/2022,2,117404
24/07/2022,2,117404
31/07/2022,2,117404
07/08/2022,2,117404
14/08/2022,2,117404
21/08/2022,2,117404
28/08/2022,2,117404
04/09/2022,2,117404
11/09/2022,2,117404
18/09/2022,2,117404
25/09/2022,1,58702
02/10/2022,1,58702
09/10/2022,1,58702
16/10/2022,1,58702
23/10/2022,4,234808
30/10/2022,7,410914
06/11/2022,4,234808
13/11/2022,3,176106
20/11/2022,3,176106
27/11/2022,3,176106
04/12/2022,3,176106
11/12/2022,2,117404
18/12/2022,2,117404
25/12/2022,2,117404
01/01/2023,2,117404
08/01/2023,2,117404
15/01/2023,2,117404
22/01/2023,2,117404
29/01/2023,2,117404
05/02/2023,2,117404
12/02/2023,2,117404
19/02/2023,2,117404
26/02/2023,1,58702
05/03/2023,1,58702
12/03/2023,2,117404
19/03/2023,2,117404
26/03/2023,1,58702
02/04/2023,8,469616
09/04/2023,3,176106
16/04/2023,2,117404
23/04/2023,2,117404
30/04/2023,2,117404
07/05/2023,1,58702
14/05/2023,1,58702
21/05/2023,1,58702
28/05/2023,1,58702
04/06/2023,1,58702
11/06/2023,1,58702
18/06/2023,1,58702
25/06/2023,1,58702
02/07/2023,1,58702
09/07/2023,1,58702
16/07/2023,1,58702
23/07/2023,2,117404
30/07/2023,1,58702
06/08/2023,1,58702
13/08/2023,1,58702
20/08/2023,1,58702
27/08/2023,1,58702
03/09/2023,1,58702
10/09/2023,1,58702
17/09/2023,1,58702
24/09/2023,1,58702
01/10/2023,1,58702
08/10/2023,1,58702
15/10/2023,1,58702
22/10/2023,1,58702
29/10/2023,1,58702
05/11/2023,2,117404
12/11/2023,2,117404
19/11/2023,1,58702
26/11/2023,1,58702
03/12/2023,3,176106
10/12/2023,2,117404
17/12/2023,2,117404
24/12/2023,1,58702
31/12/2023,1,58702
07/01/2024,2,117404
14/01/2024,1,58702
21/01/2024,1,58702
28/01/2024,1,58702
04/02/2024,1,58702
11/02/2024,1,58702
18/02/2024,1,58702
25/02/2024,4,234808
03/03/2024,7,410914
10/03/2024,4,234808
17/03/2024,3,176106
24/03/2024,5,293510
31/03/2024,3,176106
07/04/2024,3,176106
14/04/2024,3,176106
21/04/2024,2,117404
28/04/2024,2,117404
05/05/2024,2,117404
12/05/2024,2,117404
19/05/2024,2,117404
26/05/2024,2,117404
02/06/2024,1,58702
09/06/2024,1,58702
16/06/2024,1,58702
23/06/2024,1,58702
30/06/2024,1,58702
