Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,6,179288
07/07/2019,10,298814
14/07/2019,15,448221
21/07/2019,3,89644
28/07/2019,3,89644
04/08/2019,3,89644
11/08/2019,3,89644
18/08/2019,3,89644
25/08/2019,3,89644
01/09/2019,2,59762
08/09/2019,2,59762
15/09/2019,4,119525
22/09/2019,3,89644
29/09/2019,2,59762
06/10/2019,3,89644
13/10/2019,2,59762
20/10/2019,2,59762
27/10/2019,2,59762
03/11/2019,2,59762
10/11/2019,2,59762
17/11/2019,3,89644
24/11/2019,3,89644
01/12/2019,2,59762
08/12/2019,2,59762
15/12/2019,3,89644
22/12/2019,3,89644
29/12/2019,3,89644
05/01/2020,3,89644
12/01/2020,4,119525
19/01/2020,3,89644
26/01/2020,4,119525
02/02/2020,5,149407
09/02/2020,7,209169
16/02/2020,6,179288
23/02/2020,5,149407
01/03/2020,4,119525
08/03/2020,6,179288
15/03/2020,5,149407
22/03/2020,4,119525
29/03/2020,4,119525
05/04/2020,5,149407
12/04/2020,4,119525
19/04/2020,5,149407
26/04/2020,7,209169
03/05/2020,6,179288
10/05/2020,6,179288
17/05/2020,6,179288
24/05/2020,5,149407
31/05/2020,6,179288
07/06/2020,5,149407
14/06/2020,5,149407
21/06/2020,6,179288
28/06/2020,5,149407
05/07/2020,6,179288
12/07/2020,5,149407
19/07/2020,8,239051
26/07/2020,14,418339
02/08/2020,14,418339
09/08/2020,11,328695
16/08/2020,10,298814
23/08/2020,7,209169
30/08/2020,10,298814
06/09/2020,8,239051
13/09/2020,7,209169
20/09/2020,6,179288
27/09/2020,5,149407
04/10/2020,5,149407
11/10/2020,5,149407
18/10/2020,6,179288
25/10/2020,6,179288
01/11/2020,7,209169
08/11/2020,8,239051
15/11/2020,10,298814
22/11/2020,17,507983
29/11/2020,13,388458
06/12/2020,9,268932
13/12/2020,12,358576
20/12/2020,13,388458
27/12/2020,23,687272
03/01/2021,59,1763002
10/01/2021,46,1374544
17/01/2021,39,1165374
24/01/2021,37,1105611
31/01/2021,44,1314781
07/02/2021,53,1583714
14/02/2021,50,1494070
21/02/2021,50,1494070
28/02/2021,34,1015967
07/03/2021,37,1105611
14/03/2021,31,926323
21/03/2021,28,836679
28/03/2021,36,1075730
04/04/2021,36,1075730
11/04/2021,47,1404425
18/04/2021,47,1404425
25/04/2021,48,1434307
02/05/2021,97,2898495
09/05/2021,100,2988140
16/05/2021,91,2719207
23/05/2021,71,2121579
30/05/2021,50,1494070
06/06/2021,40,1195256
13/06/2021,32,956204
20/06/2021,38,1135493
27/06/2021,31,926323
04/07/2021,29,866560
11/07/2021,26,776916
18/07/2021,29,866560
25/07/2021,32,956204
01/08/2021,45,1344663
08/08/2021,45,1344663
15/08/2021,37,1105611
22/08/2021,33,986086
29/08/2021,41,1225137
05/09/2021,39,1165374
12/09/2021,30,896442
19/09/2021,31,926323
26/09/2021,28,836679
03/10/2021,31,926323
10/10/2021,34,1015967
17/10/2021,40,1195256
24/10/2021,40,1195256
31/10/2021,42,1255018
07/11/2021,44,1314781
14/11/2021,42,1255018
21/11/2021,37,1105611
28/11/2021,40,1195256
05/12/2021,36,1075730
12/12/2021,35,1045849
19/12/2021,31,926323
26/12/2021,31,926323
02/01/2022,39,1165374
09/01/2022,37,1105611
16/01/2022,38,1135493
23/01/2022,46,1374544
30/01/2022,37,1105611
06/02/2022,33,986086
13/02/2022,31,926323
20/02/2022,33,986086
27/02/2022,28,836679
06/03/2022,25,747035
13/03/2022,24,717153
20/03/2022,26,776916
27/03/2022,28,836679
03/04/2022,24,717153
10/04/2022,22,657390
17/04/2022,20,597628
24/04/2022,19,567746
01/05/2022,20,597628
08/05/2022,34,1015967
15/05/2022,25,747035
22/05/2022,22,657390
29/05/2022,20,597628
05/06/2022,20,597628
12/06/2022,45,1344663
19/06/2022,32,956204
26/06/2022,24,717153
03/07/2022,22,657390
10/07/2022,19,567746
17/07/2022,28,836679
24/07/2022,24,717153
31/07/2022,22,657390
07/08/2022,25,747035
14/08/2022,25,747035
21/08/2022,21,627509
28/08/2022,20,597628
04/09/2022,21,627509
11/09/2022,43,1284900
18/09/2022,25,747035
25/09/2022,16,478102
02/10/2022,14,418339
09/10/2022,13,388458
16/10/2022,12,358576
23/10/2022,16,478102
30/10/2022,16,478102
06/11/2022,22,657390
13/11/2022,18,537865
20/11/2022,16,478102
27/11/2022,13,388458
04/12/2022,12,358576
11/12/2022,12,358576
18/12/2022,12,358576
25/12/2022,11,328695
01/01/2023,12,358576
08/01/2023,14,418339
15/01/2023,16,478102
22/01/2023,14,418339
29/01/2023,14,418339
05/02/2023,12,358576
12/02/2023,13,388458
19/02/2023,13,388458
26/02/2023,11,328695
05/03/2023,11,328695
12/03/2023,15,448221
19/03/2023,15,448221
26/03/2023,12,358576
02/04/2023,13,388458
09/04/2023,20,597628
16/04/2023,15,448221
23/04/2023,13,388458
30/04/2023,12,358576
07/05/2023,10,298814
14/05/2023,9,268932
21/05/2023,9,268932
28/05/2023,10,298814
04/06/2023,10,298814
11/06/2023,10,298814
18/06/2023,11,328695
25/06/2023,10,298814
02/07/2023,10,298814
09/07/2023,10,298814
16/07/2023,10,298814
23/07/2023,9,268932
30/07/2023,8,239051
06/08/2023,8,239051
13/08/2023,9,268932
20/08/2023,8,239051
27/08/2023,8,239051
03/09/2023,8,239051
10/09/2023,8,239051
17/09/2023,7,209169
24/09/2023,7,209169
01/10/2023,8,239051
08/10/2023,7,209169
15/10/2023,8,239051
22/10/2023,11,328695
29/10/2023,10,298814
05/11/2023,14,418339
12/11/2023,12,358576
19/11/2023,11,328695
26/11/2023,10,298814
03/12/2023,18,537865
10/12/2023,14,418339
17/12/2023,12,358576
24/12/2023,14,418339
31/12/2023,14,418339
07/01/2024,19,567746
14/01/2024,14,418339
21/01/2024,12,358576
28/01/2024,10,298814
04/02/2024,11,328695
11/02/2024,16,478102
18/02/2024,17,507983
25/02/2024,25,747035
03/03/2024,31,926323
10/03/2024,28,836679
17/03/2024,21,627509
24/03/2024,17,507983
31/03/2024,15,448221
07/04/2024,15,448221
14/04/2024,15,448221
21/04/2024,11,328695
28/04/2024,12,358576
05/05/2024,9,268932
12/05/2024,10,298814
19/05/2024,27,806797
26/05/2024,16,478102
02/06/2024,15,448221
09/06/2024,12,358576
16/06/2024,10,298814
23/06/2024,9,268932
30/06/2024,9,268932
