Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,25,66912
07/07/2019,24,64236
14/07/2019,25,66912
21/07/2019,21,56206
28/07/2019,22,58883
04/08/2019,23,61559
11/08/2019,18,48177
18/08/2019,17,45500
25/08/2019,16,42824
01/09/2019,15,40147
08/09/2019,14,37471
15/09/2019,15,40147
22/09/2019,15,40147
29/09/2019,12,32118
06/10/2019,12,32118
13/10/2019,11,29441
20/10/2019,12,32118
27/10/2019,12,32118
03/11/2019,12,32118
10/11/2019,12,32118
17/11/2019,12,32118
24/11/2019,12,32118
01/12/2019,11,29441
08/12/2019,9,24088
15/12/2019,12,32118
22/12/2019,12,32118
29/12/2019,12,32118
05/01/2020,14,37471
12/01/2020,16,42824
19/01/2020,14,37471
26/01/2020,17,45500
02/02/2020,17,45500
09/02/2020,22,58883
16/02/2020,17,45500
23/02/2020,13,34794
01/03/2020,12,32118
08/03/2020,19,50853
15/03/2020,17,45500
22/03/2020,15,40147
29/03/2020,13,34794
05/04/2020,13,34794
12/04/2020,14,37471
19/04/2020,13,34794
26/04/2020,15,40147
03/05/2020,16,42824
10/05/2020,15,40147
17/05/2020,13,34794
24/05/2020,12,32118
31/05/2020,13,34794
07/06/2020,11,29441
14/06/2020,11,29441
21/06/2020,10,26765
28/06/2020,10,26765
05/07/2020,11,29441
12/07/2020,11,29441
19/07/2020,13,34794
26/07/2020,21,56206
02/08/2020,18,48177
09/08/2020,16,42824
16/08/2020,18,48177
23/08/2020,13,34794
30/08/2020,15,40147
06/09/2020,12,32118
13/09/2020,11,29441
20/09/2020,10,26765
27/09/2020,10,26765
04/10/2020,9,24088
11/10/2020,10,26765
18/10/2020,15,40147
25/10/2020,14,37471
01/11/2020,15,40147
08/11/2020,15,40147
15/11/2020,29,77618
22/11/2020,28,74942
29/11/2020,22,58883
06/12/2020,17,45500
13/12/2020,33,88324
20/12/2020,43,115089
27/12/2020,56,149884
03/01/2021,100,267650
10/01/2021,76,203414
17/01/2021,49,131148
24/01/2021,47,125795
31/01/2021,55,147207
07/02/2021,85,227502
14/02/2021,100,267650
21/02/2021,73,195384
28/02/2021,51,136501
07/03/2021,59,157913
14/03/2021,51,136501
21/03/2021,38,101707
28/03/2021,44,117766
04/04/2021,54,144531
11/04/2021,86,230179
18/04/2021,72,192708
25/04/2021,56,149884
02/05/2021,95,254267
09/05/2021,97,259620
16/05/2021,76,203414
23/05/2021,58,155237
30/05/2021,39,104383
06/06/2021,33,88324
13/06/2021,25,66912
20/06/2021,28,74942
27/06/2021,22,58883
04/07/2021,19,50853
11/07/2021,19,50853
18/07/2021,22,58883
25/07/2021,20,53530
01/08/2021,19,50853
08/08/2021,31,82971
15/08/2021,26,69589
22/08/2021,24,64236
29/08/2021,26,69589
05/09/2021,28,74942
12/09/2021,38,101707
19/09/2021,22,58883
26/09/2021,19,50853
03/10/2021,23,61559
10/10/2021,24,64236
17/10/2021,32,85648
24/10/2021,29,77618
31/10/2021,28,74942
07/11/2021,50,133825
14/11/2021,36,96354
21/11/2021,26,69589
28/11/2021,25,66912
05/12/2021,26,69589
12/12/2021,23,61559
19/12/2021,21,56206
26/12/2021,21,56206
02/01/2022,22,58883
09/01/2022,23,61559
16/01/2022,23,61559
23/01/2022,22,58883
30/01/2022,26,69589
06/02/2022,22,58883
13/02/2022,19,50853
