Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,27,17960
07/07/2019,27,17960
14/07/2019,23,15299
21/07/2019,19,12638
28/07/2019,19,12638
04/08/2019,22,14634
11/08/2019,20,13303
18/08/2019,20,13303
25/08/2019,20,13303
01/09/2019,20,13303
08/09/2019,20,13303
15/09/2019,20,13303
22/09/2019,20,13303
29/09/2019,17,11308
06/10/2019,19,12638
13/10/2019,20,13303
20/10/2019,19,12638
27/10/2019,19,12638
03/11/2019,20,13303
10/11/2019,21,13969
17/11/2019,21,13969
24/11/2019,25,16629
01/12/2019,25,16629
08/12/2019,20,13303
15/12/2019,22,14634
22/12/2019,18,11973
29/12/2019,20,13303
05/01/2020,24,15964
12/01/2020,20,13303
19/01/2020,19,12638
26/01/2020,19,12638
02/02/2020,22,14634
09/02/2020,25,16629
16/02/2020,23,15299
23/02/2020,19,12638
01/03/2020,18,11973
08/03/2020,20,13303
15/03/2020,19,12638
22/03/2020,19,12638
29/03/2020,26,17295
05/04/2020,26,17295
12/04/2020,23,15299
19/04/2020,23,15299
26/04/2020,26,17295
03/05/2020,26,17295
10/05/2020,29,19290
17/05/2020,26,17295
24/05/2020,22,14634
31/05/2020,22,14634
07/06/2020,21,13969
14/06/2020,19,12638
21/06/2020,20,13303
28/06/2020,17,11308
05/07/2020,18,11973
12/07/2020,19,12638
19/07/2020,21,13969
26/07/2020,23,15299
02/08/2020,24,15964
09/08/2020,21,13969
16/08/2020,25,16629
23/08/2020,24,15964
30/08/2020,24,15964
06/09/2020,29,19290
13/09/2020,25,16629
20/09/2020,21,13969
27/09/2020,23,15299
04/10/2020,24,15964
11/10/2020,24,15964
18/10/2020,27,17960
25/10/2020,25,16629
01/11/2020,24,15964
08/11/2020,23,15299
15/11/2020,28,18625
22/11/2020,29,19290
29/11/2020,27,17960
06/12/2020,28,18625
13/12/2020,47,31264
20/12/2020,34,22616
27/12/2020,57,37915
03/01/2021,65,43237
10/01/2021,59,39246
17/01/2021,49,32594
24/01/2021,44,29268
31/01/2021,48,31929
07/02/2021,67,44567
14/02/2021,78,51885
21/02/2021,72,47893
28/02/2021,55,36585
07/03/2021,50,33259
14/03/2021,56,37250
21/03/2021,48,31929
28/03/2021,59,39246
04/04/2021,60,39911
11/04/2021,73,48559
18/04/2021,81,53880
25/04/2021,64,42572
02/05/2021,72,47893
09/05/2021,100,66519
16/05/2021,80,53215
23/05/2021,60,39911
30/05/2021,51,33924
06/06/2021,47,31264
13/06/2021,45,29933
20/06/2021,49,32594
27/06/2021,47,31264
04/07/2021,40,26607
11/07/2021,31,20620
18/07/2021,31,20620
25/07/2021,34,22616
01/08/2021,36,23946
08/08/2021,36,23946
15/08/2021,37,24612
22/08/2021,43,28603
29/08/2021,38,25277
05/09/2021,37,24612
12/09/2021,32,21286
19/09/2021,33,21951
26/09/2021,29,19290
03/10/2021,33,21951
10/10/2021,37,24612
17/10/2021,37,24612
24/10/2021,40,26607
31/10/2021,37,24612
07/11/2021,45,29933
14/11/2021,52,34590
21/11/2021,42,27938
28/11/2021,40,26607
05/12/2021,40,26607
12/12/2021,35,23281
19/12/2021,36,23946
26/12/2021,40,26607
02/01/2022,47,31264
09/01/2022,48,31929
16/01/2022,47,31264
23/01/2022,45,29933
30/01/2022,43,28603
06/02/2022,44,29268
13/02/2022,47,31264
20/02/2022,43,28603
27/02/2022,46,30598
06/03/2022,47,31264
13/03/2022,42,27938
20/03/2022,40,26607
27/03/2022,42,27938
03/04/2022,42,27938
10/04/2022,45,29933
17/04/2022,48,31929
24/04/2022,42,27938
01/05/2022,40,26607
08/05/2022,46,30598
15/05/2022,39,25942
22/05/2022,38,25277
29/05/2022,33,21951
05/06/2022,31,20620
12/06/2022,40,26607
19/06/2022,39,25942
26/06/2022,32,21286
03/07/2022,31,20620
10/07/2022,32,21286
17/07/2022,31,20620
24/07/2022,31,20620
31/07/2022,29,19290
07/08/2022,34,22616
14/08/2022,40,26607
21/08/2022,32,21286
28/08/2022,28,18625
04/09/2022,27,17960
11/09/2022,33,21951
18/09/2022,33,21951
25/09/2022,29,19290
02/10/2022,25,16629
09/10/2022,25,16629
16/10/2022,24,15964
23/10/2022,24,15964
30/10/2022,22,14634
06/11/2022,28,18625
13/11/2022,30,19955
20/11/2022,24,15964
27/11/2022,26,17295
04/12/2022,23,15299
11/12/2022,25,16629
18/12/2022,24,15964
25/12/2022,21,13969
01/01/2023,25,16629
08/01/2023,23,15299
