Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,6,8433
07/07/2019,7,9839
14/07/2019,7,9839
21/07/2019,6,8433
28/07/2019,6,8433
04/08/2019,6,8433
11/08/2019,5,7027
18/08/2019,5,7027
25/08/2019,6,8433
01/09/2019,6,8433
08/09/2019,5,7027
15/09/2019,6,8433
22/09/2019,5,7027
29/09/2019,5,7027
06/10/2019,6,8433
13/10/2019,5,7027
20/10/2019,5,7027
27/10/2019,5,7027
03/11/2019,5,7027
10/11/2019,6,8433
17/11/2019,6,8433
24/11/2019,5,7027
01/12/2019,5,7027
08/12/2019,5,7027
15/12/2019,5,7027
22/12/2019,5,7027
29/12/2019,5,7027
05/01/2020,6,8433
12/01/2020,5,7027
19/01/2020,6,8433
26/01/2020,6,8433
02/02/2020,6,8433
09/02/2020,6,8433
16/02/2020,5,7027
23/02/2020,6,8433
01/03/2020,6,8433
08/03/2020,5,7027
15/03/2020,5,7027
22/03/2020,4,5622
29/03/2020,5,7027
05/04/2020,6,8433
12/04/2020,7,9839
19/04/2020,6,8433
26/04/2020,6,8433
03/05/2020,6,8433
10/05/2020,6,8433
17/05/2020,6,8433
24/05/2020,6,8433
31/05/2020,6,8433
07/06/2020,6,8433
14/06/2020,7,9839
21/06/2020,6,8433
28/06/2020,7,9839
05/07/2020,7,9839
12/07/2020,7,9839
19/07/2020,8,11244
26/07/2020,9,12650
02/08/2020,8,11244
09/08/2020,10,14055
16/08/2020,21,29517
23/08/2020,31,43572
30/08/2020,20,28111
06/09/2020,15,21083
13/09/2020,13,18272
20/09/2020,12,16866
27/09/2020,9,12650
04/10/2020,8,11244
11/10/2020,9,12650
18/10/2020,11,15461
25/10/2020,11,15461
01/11/2020,9,12650
08/11/2020,9,12650
15/11/2020,12,16866
22/11/2020,12,16866
29/11/2020,12,16866
06/12/2020,11,15461
13/12/2020,13,18272
20/12/2020,13,18272
27/12/2020,42,59034
03/01/2021,38,53411
10/01/2021,66,92767
17/01/2021,80,112445
24/01/2021,40,56222
31/01/2021,78,109634
07/02/2021,77,108229
14/02/2021,95,133529
21/02/2021,89,125095
28/02/2021,55,77306
07/03/2021,49,68873
14/03/2021,44,61845
21/03/2021,39,54817
28/03/2021,59,82928
04/04/2021,47,66061
11/04/2021,55,77306
18/04/2021,51,71684
25/04/2021,42,59034
02/05/2021,59,82928
09/05/2021,68,95578
16/05/2021,53,74495
23/05/2021,42,59034
30/05/2021,37,52006
06/06/2021,30,42167
13/06/2021,36,50600
20/06/2021,34,47789
27/06/2021,28,39356
04/07/2021,25,35139
11/07/2021,23,32328
18/07/2021,25,35139
25/07/2021,24,33733
01/08/2021,34,47789
08/08/2021,32,44978
15/08/2021,38,53411
22/08/2021,39,54817
29/08/2021,41,57628
05/09/2021,39,54817
12/09/2021,41,57628
19/09/2021,32,44978
26/09/2021,27,37950
03/10/2021,32,44978
10/10/2021,56,78712
17/10/2021,49,68873
24/10/2021,45,63250
31/10/2021,100,140557
07/11/2021,88,123690
14/11/2021,63,88551
21/11/2021,42,59034
28/11/2021,43,60439
05/12/2021,38,53411
12/12/2021,43,60439
19/12/2021,46,64656
26/12/2021,39,54817
02/01/2022,50,70278
09/01/2022,45,63250
16/01/2022,41,57628
23/01/2022,48,67467
30/01/2022,38,53411
06/02/2022,38,53411
13/02/2022,32,44978
20/02/2022,28,39356
27/02/2022,30,42167
06/03/2022,27,37950
13/03/2022,27,37950
20/03/2022,29,40761
27/03/2022,31,43572
03/04/2022,28,39356
10/04/2022,26,36544
17/04/2022,27,37950
24/04/2022,25,35139
01/05/2022,25,35139
08/05/2022,32,44978
15/05/2022,25,35139
22/05/2022,23,32328
29/05/2022,20,28111
05/06/2022,19,26705
12/06/2022,24,33733
19/06/2022,20,28111
26/06/2022,22,30922
03/07/2022,19,26705
10/07/2022,20,28111
17/07/2022,23,32328
24/07/2022,26,36544
31/07/2022,23,32328
07/08/2022,23,32328
14/08/2022,23,32328
21/08/2022,19,26705
28/08/2022,18,25300
04/09/2022,18,25300
11/09/2022,18,25300
18/09/2022,17,23894
25/09/2022,18,25300
02/10/2022,17,23894
09/10/2022,15,21083
16/10/2022,17,23894
23/10/2022,18,25300
30/10/2022,19,26705
06/11/2022,18,25300
13/11/2022,17,23894
20/11/2022,15,21083
27/11/2022,14,19678
04/12/2022,14,19678
11/12/2022,14,19678
18/12/2022,15,21083
25/12/2022,15,21083
01/01/2023,15,21083
08/01/2023,16,22489
15/01/2023,17,23894
22/01/2023,16,22489
29/01/2023,17,23894
05/02/2023,17,23894
12/02/2023,17,23894
19/02/2023,17,23894
26/02/2023,16,22489
05/03/2023,19,26705
12/03/2023,16,22489
19/03/2023,17,23894
26/03/2023,16,22489
02/04/2023,16,22489
09/04/2023,17,23894
16/04/2023,15,21083
23/04/2023,16,22489
30/04/2023,15,21083
07/05/2023,14,19678
14/05/2023,14,19678
21/05/2023,14,19678
28/05/2023,13,18272
04/06/2023,14,19678
11/06/2023,15,21083
18/06/2023,16,22489
25/06/2023,16,22489
02/07/2023,16,22489
09/07/2023,15,21083
16/07/2023,17,23894
23/07/2023,17,23894
30/07/2023,17,23894
06/08/2023,16,22489
13/08/2023,15,21083
20/08/2023,14,19678
27/08/2023,14,19678
03/09/2023,13,18272
10/09/2023,13,18272
17/09/2023,14,19678
24/09/2023,12,16866
01/10/2023,13,18272
08/10/2023,13,18272
15/10/2023,14,19678
22/10/2023,16,22489
29/10/2023,16,22489
05/11/2023,19,26705
12/11/2023,18,25300
19/11/2023,16,22489
26/11/2023,15,21083
03/12/2023,24,33733
10/12/2023,21,29517
17/12/2023,21,29517
24/12/2023,28,39356
31/12/2023,21,29517
07/01/2024,23,32328
14/01/2024,20,28111
21/01/2024,17,23894
28/01/2024,17,23894
04/02/2024,17,23894
11/02/2024,19,26705
18/02/2024,19,26705
25/02/2024,27,37950
03/03/2024,32,44978
10/03/2024,32,44978
17/03/2024,26,36544
24/03/2024,26,36544
31/03/2024,22,30922
07/04/2024,22,30922
14/04/2024,19,26705
21/04/2024,18,25300
28/04/2024,18,25300
05/05/2024,16,22489
12/05/2024,15,21083
