Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,23,160007
07/07/2019,24,166964
14/07/2019,22,153051
21/07/2019,20,139137
28/07/2019,20,139137
04/08/2019,20,139137
11/08/2019,20,139137
18/08/2019,21,146094
25/08/2019,20,139137
01/09/2019,20,139137
08/09/2019,19,132180
15/09/2019,23,160007
22/09/2019,21,146094
29/09/2019,19,132180
06/10/2019,20,139137
13/10/2019,19,132180
20/10/2019,21,146094
27/10/2019,20,139137
03/11/2019,24,166964
10/11/2019,19,132180
17/11/2019,19,132180
24/11/2019,19,132180
01/12/2019,18,125223
08/12/2019,16,111309
15/12/2019,21,146094
22/12/2019,18,125223
29/12/2019,17,118266
05/01/2020,20,139137
12/01/2020,20,139137
19/01/2020,20,139137
26/01/2020,19,132180
02/02/2020,22,153051
09/02/2020,26,180878
16/02/2020,21,146094
23/02/2020,20,139137
01/03/2020,18,125223
08/03/2020,20,139137
15/03/2020,17,118266
22/03/2020,17,118266
29/03/2020,17,118266
05/04/2020,17,118266
12/04/2020,16,111309
19/04/2020,16,111309
26/04/2020,20,139137
03/05/2020,19,132180
10/05/2020,21,146094
17/05/2020,19,132180
24/05/2020,17,118266
31/05/2020,18,125223
07/06/2020,17,118266
14/06/2020,18,125223
21/06/2020,17,118266
28/06/2020,17,118266
05/07/2020,17,118266
12/07/2020,17,118266
19/07/2020,17,118266
26/07/2020,22,153051
02/08/2020,27,187835
09/08/2020,21,146094
16/08/2020,22,153051
23/08/2020,18,125223
30/08/2020,19,132180
06/09/2020,17,118266
13/09/2020,17,118266
20/09/2020,17,118266
27/09/2020,16,111309
04/10/2020,16,111309
11/10/2020,15,104353
18/10/2020,16,111309
25/10/2020,18,125223
01/11/2020,17,118266
08/11/2020,18,125223
15/11/2020,25,173921
22/11/2020,53,368713
29/11/2020,32,222619
06/12/2020,27,187835
13/12/2020,33,229576
20/12/2020,56,389584
27/12/2020,58,403498
03/01/2021,55,382627
10/01/2021,38,264360
17/01/2021,32,222619
24/01/2021,36,250447
31/01/2021,76,528721
07/02/2021,51,354800
14/02/2021,50,347843
21/02/2021,58,403498
28/02/2021,32,222619
07/03/2021,30,208706
14/03/2021,28,194792
21/03/2021,32,222619
28/03/2021,30,208706
04/04/2021,74,514808
11/04/2021,100,695686
18/04/2021,63,438282
25/04/2021,58,403498
