Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,2,71512
07/07/2019,2,71512
14/07/2019,2,71512
21/07/2019,2,71512
28/07/2019,2,71512
04/08/2019,3,107268
11/08/2019,3,107268
18/08/2019,3,107268
25/08/2019,2,71512
01/09/2019,2,71512
08/09/2019,2,71512
15/09/2019,2,71512
22/09/2019,2,71512
29/09/2019,2,71512
06/10/2019,2,71512
13/10/2019,2,71512
20/10/2019,2,71512
27/10/2019,2,71512
03/11/2019,2,71512
10/11/2019,2,71512
17/11/2019,2,71512
24/11/2019,2,71512
01/12/2019,2,71512
08/12/2019,2,71512
15/12/2019,2,71512
22/12/2019,3,107268
29/12/2019,3,107268
05/01/2020,2,71512
12/01/2020,2,71512
19/01/2020,2,71512
26/01/2020,2,71512
02/02/2020,2,71512
09/02/2020,2,71512
16/02/2020,2,71512
23/02/2020,2,71512
01/03/2020,2,71512
08/03/2020,2,71512
15/03/2020,2,71512
22/03/2020,2,71512
29/03/2020,2,71512
05/04/2020,3,107268
12/04/2020,3,107268
19/04/2020,3,107268
26/04/2020,3,107268
03/05/2020,3,107268
10/05/2020,3,107268
17/05/2020,3,107268
24/05/2020,3,107268
31/05/2020,3,107268
07/06/2020,3,107268
14/06/2020,3,107268
21/06/2020,3,107268
28/06/2020,3,107268
05/07/2020,3,107268
12/07/2020,3,107268
19/07/2020,3,107268
26/07/2020,3,107268
02/08/2020,3,107268
09/08/2020,3,107268
16/08/2020,3,107268
23/08/2020,3,107268
30/08/2020,2,71512
06/09/2020,2,71512
13/09/2020,3,107268
20/09/2020,3,107268
27/09/2020,2,71512
04/10/2020,2,71512
11/10/2020,2,71512
18/10/2020,2,71512
25/10/2020,2,71512
01/11/2020,2,71512
08/11/2020,3,107268
15/11/2020,3,107268
22/11/2020,3,107268
29/11/2020,2,71512
06/12/2020,2,71512
13/12/2020,2,71512
20/12/2020,3,107268
27/12/2020,3,107268
03/01/2021,3,107268
10/01/2021,3,107268
17/01/2021,3,107268
24/01/2021,3,107268
31/01/2021,3,107268
07/02/2021,3,107268
14/02/2021,3,107268
21/02/2021,3,107268
28/02/2021,3,107268
07/03/2021,2,71512
14/03/2021,3,107268
21/03/2021,3,107268
28/03/2021,3,107268
04/04/2021,3,107268
11/04/2021,4,143024
18/04/2021,5,178780
25/04/2021,4,143024
02/05/2021,9,321804
09/05/2021,55,1966580
16/05/2021,25,893900
23/05/2021,15,536340
30/05/2021,15,536340
06/06/2021,11,393316
13/06/2021,14,500584
20/06/2021,11,393316
27/06/2021,11,393316
04/07/2021,10,357560
11/07/2021,7,250292
18/07/2021,6,214536
25/07/2021,7,250292
01/08/2021,6,214536
08/08/2021,9,321804
15/08/2021,9,321804
22/08/2021,7,250292
29/08/2021,6,214536
05/09/2021,7,250292
12/09/2021,10,357560
19/09/2021,7,250292
26/09/2021,6,214536
03/10/2021,47,1680532
10/10/2021,27,965412
17/10/2021,23,822388
24/10/2021,100,3575600
31/10/2021,59,2109604
07/11/2021,33,1179948
14/11/2021,24,858144
21/11/2021,20,715120
28/11/2021,22,786632
05/12/2021,16,572096
12/12/2021,14,500584
19/12/2021,15,536340
26/12/2021,14,500584
02/01/2022,13,464828
09/01/2022,13,464828
16/01/2022,11,393316
23/01/2022,11,393316
30/01/2022,10,357560
06/02/2022,17,607852
13/02/2022,11,393316
20/02/2022,9,321804
27/02/2022,9,321804
06/03/2022,7,250292
13/03/2022,8,286048
20/03/2022,8,286048
27/03/2022,9,321804
03/04/2022,7,250292
10/04/2022,11,393316
17/04/2022,8,286048
24/04/2022,7,250292
01/05/2022,7,250292
08/05/2022,8,286048
15/05/2022,6,214536
22/05/2022,5,178780
29/05/2022,6,214536
05/06/2022,5,178780
12/06/2022,6,214536
19/06/2022,7,250292
26/06/2022,5,178780
03/07/2022,6,214536
10/07/2022,5,178780
17/07/2022,6,214536
24/07/2022,5,178780
31/07/2022,5,178780
07/08/2022,5,178780
14/08/2022,8,286048
21/08/2022,5,178780
28/08/2022,5,178780
04/09/2022,5,178780
11/09/2022,5,178780
18/09/2022,4,143024
25/09/2022,4,143024
02/10/2022,4,143024
09/10/2022,4,143024
16/10/2022,4,143024
23/10/2022,5,178780
30/10/2022,5,178780
06/11/2022,5,178780
13/11/2022,4,143024
20/11/2022,4,143024
27/11/2022,4,143024
04/12/2022,4,143024
11/12/2022,4,143024
18/12/2022,4,143024
25/12/2022,4,143024
01/01/2023,4,143024
08/01/2023,5,178780
15/01/2023,6,214536
22/01/2023,5,178780
29/01/2023,6,214536
05/02/2023,6,214536
12/02/2023,6,214536
19/02/2023,5,178780
26/02/2023,5,178780
05/03/2023,4,143024
12/03/2023,5,178780
19/03/2023,5,178780
26/03/2023,4,143024
02/04/2023,5,178780
09/04/2023,5,178780
16/04/2023,4,143024
23/04/2023,4,143024
30/04/2023,4,143024
07/05/2023,4,143024
14/05/2023,3,107268
21/05/2023,3,107268
28/05/2023,3,107268
04/06/2023,3,107268
11/06/2023,3,107268
18/06/2023,4,143024
25/06/2023,3,107268
02/07/2023,3,107268
09/07/2023,4,143024
16/07/2023,4,143024
23/07/2023,4,143024
30/07/2023,5,178780
06/08/2023,6,214536
13/08/2023,6,214536
20/08/2023,5,178780
27/08/2023,4,143024
03/09/2023,4,143024
10/09/2023,3,107268
17/09/2023,3,107268
24/09/2023,3,107268
01/10/2023,3,107268
08/10/2023,3,107268
15/10/2023,3,107268
22/10/2023,4,143024
29/10/2023,4,143024
05/11/2023,4,143024
12/11/2023,4,143024
19/11/2023,3,107268
26/11/2023,3,107268
03/12/2023,5,178780
10/12/2023,5,178780
17/12/2023,6,214536
24/12/2023,6,214536
31/12/2023,5,178780
07/01/2024,5,178780
14/01/2024,4,143024
21/01/2024,4,143024
28/01/2024,3,107268
04/02/2024,3,107268
11/02/2024,4,143024
18/02/2024,4,143024
25/02/2024,9,321804
03/03/2024,20,715120
10/03/2024,10,357560
17/03/2024,6,214536
24/03/2024,6,214536
31/03/2024,5,178780
07/04/2024,5,178780
14/04/2024,5,178780
