Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,8,39239
07/07/2019,9,44144
14/07/2019,9,44144
21/07/2019,9,44144
28/07/2019,9,44144
04/08/2019,8,39239
11/08/2019,8,39239
18/08/2019,9,44144
25/08/2019,8,39239
01/09/2019,8,39239
08/09/2019,8,39239
15/09/2019,8,39239
22/09/2019,8,39239
29/09/2019,8,39239
06/10/2019,8,39239
13/10/2019,10,49049
20/10/2019,8,39239
27/10/2019,8,39239
03/11/2019,8,39239
10/11/2019,8,39239
17/11/2019,8,39239
24/11/2019,7,34334
01/12/2019,7,34334
08/12/2019,7,34334
15/12/2019,8,39239
22/12/2019,7,34334
29/12/2019,8,39239
05/01/2020,8,39239
12/01/2020,8,39239
19/01/2020,9,44144
26/01/2020,8,39239
02/02/2020,7,34334
09/02/2020,8,39239
16/02/2020,8,39239
23/02/2020,8,39239
01/03/2020,8,39239
08/03/2020,8,39239
15/03/2020,7,34334
22/03/2020,7,34334
29/03/2020,6,29429
05/04/2020,7,34334
12/04/2020,7,34334
19/04/2020,6,29429
26/04/2020,6,29429
03/05/2020,7,34334
10/05/2020,7,34334
17/05/2020,7,34334
24/05/2020,7,34334
31/05/2020,8,39239
07/06/2020,8,39239
14/06/2020,8,39239
21/06/2020,8,39239
28/06/2020,7,34334
05/07/2020,7,34334
12/07/2020,8,39239
19/07/2020,8,39239
26/07/2020,7,34334
02/08/2020,8,39239
09/08/2020,9,44144
16/08/2020,8,39239
23/08/2020,8,39239
30/08/2020,8,39239
06/09/2020,8,39239
13/09/2020,8,39239
20/09/2020,7,34334
27/09/2020,7,34334
04/10/2020,7,34334
11/10/2020,7,34334
18/10/2020,7,34334
25/10/2020,7,34334
01/11/2020,7,34334
08/11/2020,7,34334
15/11/2020,7,34334
22/11/2020,7,34334
29/11/2020,7,34334
06/12/2020,7,34334
13/12/2020,7,34334
20/12/2020,6,29429
27/12/2020,8,39239
03/01/2021,10,49049
10/01/2021,7,34334
17/01/2021,7,34334
24/01/2021,7,34334
31/01/2021,7,34334
07/02/2021,9,44144
14/02/2021,8,39239
21/02/2021,10,49049
28/02/2021,9,44144
07/03/2021,9,44144
14/03/2021,8,39239
21/03/2021,10,49049
28/03/2021,11,53954
04/04/2021,10,49049
11/04/2021,11,53954
18/04/2021,14,68669
25/04/2021,22,107908
02/05/2021,19,93193
09/05/2021,20,98098
16/05/2021,23,112813
23/05/2021,15,73573
30/05/2021,14,68669
06/06/2021,18,88288
13/06/2021,13,63764
20/06/2021,13,63764
27/06/2021,12,58859
04/07/2021,11,53954
11/07/2021,11,53954
18/07/2021,12,58859
25/07/2021,11,53954
01/08/2021,12,58859
08/08/2021,13,63764
15/08/2021,35,171672
22/08/2021,31,152052
29/08/2021,75,367869
05/09/2021,89,436538
12/09/2021,68,333535
19/09/2021,41,201102
26/09/2021,34,166767
03/10/2021,40,196197
10/10/2021,37,181482
17/10/2021,47,230531
24/10/2021,52,255056
31/10/2021,67,328630
07/11/2021,70,343345
14/11/2021,59,289390
21/11/2021,51,250151
28/11/2021,57,279581
