Time (week of),Normalized Value (0-100),Absolute Google Search Volume
30/06/2019,13,6700
07/07/2019,10,5154
14/07/2019,7,3607
21/07/2019,7,3607
28/07/2019,13,6700
04/08/2019,20,10308
11/08/2019,10,5154
18/08/2019,8,4123
25/08/2019,9,4638
01/09/2019,8,4123
08/09/2019,6,3092
15/09/2019,7,3607
22/09/2019,8,4123
29/09/2019,5,2577
06/10/2019,5,2577
13/10/2019,6,3092
20/10/2019,6,3092
27/10/2019,6,3092
03/11/2019,18,9277
10/11/2019,12,6184
17/11/2019,14,7215
24/11/2019,13,6700
01/12/2019,12,6184
08/12/2019,29,14946
15/12/2019,18,9277
22/12/2019,12,6184
29/12/2019,12,6184
05/01/2020,11,5669
12/01/2020,12,6184
19/01/2020,15,7731
26/01/2020,14,7215
02/02/2020,31,15977
09/02/2020,63,32470
16/02/2020,46,23708
23/02/2020,28,14431
01/03/2020,23,11854
08/03/2020,20,10308
15/03/2020,17,8761
22/03/2020,14,7215
29/03/2020,13,6700
05/04/2020,19,9792
12/04/2020,17,8761
19/04/2020,28,14431
26/04/2020,32,16492
03/05/2020,23,11854
10/05/2020,27,13915
17/05/2020,32,16492
24/05/2020,23,11854
31/05/2020,24,12369
07/06/2020,19,9792
14/06/2020,20,10308
21/06/2020,18,9277
28/06/2020,16,8246
05/07/2020,18,9277
12/07/2020,30,15462
19/07/2020,20,10308
26/07/2020,22,11338
02/08/2020,23,11854
09/08/2020,45,23193
16/08/2020,28,14431
23/08/2020,19,9792
30/08/2020,19,9792
06/09/2020,14,7215
13/09/2020,17,8761
20/09/2020,17,8761
27/09/2020,15,7731
04/10/2020,12,6184
11/10/2020,11,5669
18/10/2020,13,6700
25/10/2020,13,6700
01/11/2020,13,6700
08/11/2020,14,7215
15/11/2020,17,8761
22/11/2020,22,11338
29/11/2020,17,8761
06/12/2020,15,7731
13/12/2020,18,9277
20/12/2020,20,10308
27/12/2020,23,11854
03/01/2021,34,17523
10/01/2021,31,15977
17/01/2021,32,16492
24/01/2021,28,14431
31/01/2021,33,17008
07/02/2021,59,30408
14/02/2021,47,24223
21/02/2021,34,17523
28/02/2021,27,13915
07/03/2021,27,13915
14/03/2021,26,13400
21/03/2021,24,12369
28/03/2021,32,16492
04/04/2021,45,23193
11/04/2021,45,23193
18/04/2021,40,20616
25/04/2021,33,17008
02/05/2021,47,24223
09/05/2021,45,23193
16/05/2021,38,19585
23/05/2021,31,15977
30/05/2021,23,11854
06/06/2021,26,13400
13/06/2021,21,10823
20/06/2021,24,12369
27/06/2021,19,9792
04/07/2021,16,8246
11/07/2021,16,8246
18/07/2021,15,7731
25/07/2021,15,7731
01/08/2021,19,9792
08/08/2021,18,9277
15/08/2021,21,10823
22/08/2021,51,26285
