total_return,annualized_return,annualized_sharpe,sortino_ratio,max_drawdown,calmar_ratio,bb_window,rsi_window,bb_threshold,rsi_limits,qty_scale,max_p_value
0.0,0.09,2.0,8.0,0.04,3.0,10,21,0.5,"[20.0, 80.0]",0.1,0.1
0.03,0.01,2.0,8.0,0.05,9.0,10,21,0.5,"[20.0, 80.0]",0.1,0.15
0.03,0.01,2.0,8.0,0.05,9.0,10,21,0.5,"[20.0, 80.0]",0.1,0.2
0.02,0.06,2.0,1.0,0.04,9.0,10,21,0.5,"[20.0, 80.0]",0.7,0.1
0.02,0.05,5.0,3.0,0.08,1.0,10,21,0.5,"[20.0, 80.0]",0.7,0.15
0.02,0.05,5.0,3.0,0.08,1.0,10,21,0.5,"[20.0, 80.0]",0.7,0.2
0.09,0.04,3.0,6.0,0.09,6.0,10,21,0.5,"[20.0, 80.0]",1.2,0.1
0.02,0.02,0.0,2.0,0.05,3.0,10,21,0.5,"[20.0, 80.0]",1.2,0.15
0.02,0.02,0.0,2.0,0.05,3.0,10,21,0.5,"[20.0, 80.0]",1.2,0.2
0.0,0.04,1.0,0.0,0.03,0.0,10,21,0.5,"[20.0, 80.0]",1.6,0.1
0.09,0.09,0.0,1.0,0.01,1.0,10,21,0.5,"[20.0, 80.0]",1.6,0.15
0.09,0.09,0.0,1.0,0.01,1.0,10,21,0.5,"[20.0, 80.0]",1.6,0.2
0.05,0.08,6.0,6.0,0.0,3.0,10,21,0.5,"[25.0, 75.0]",0.1,0.1
0.09,0.03,8.0,7.0,0.02,6.0,10,21,0.5,"[25.0, 75.0]",0.1,0.15
0.09,0.03,8.0,7.0,0.02,6.0,10,21,0.5,"[25.0, 75.0]",0.1,0.2
0.08,0.09,5.0,1.0,0.01,1.0,10,21,0.5,"[25.0, 75.0]",0.7,0.1
0.0,0.04,1.0,2.0,0.02,8.0,10,21,0.5,"[25.0, 75.0]",0.7,0.15
0.0,0.04,1.0,2.0,0.02,8.0,10,21,0.5,"[25.0, 75.0]",0.7,0.2
0.06,0.04,1.0,4.0,0.03,2.0,10,21,0.5,"[25.0, 75.0]",1.2,0.1
0.0,0.09,0.0,1.0,0.08,2.0,10,21,0.5,"[25.0, 75.0]",1.2,0.15
0.0,0.09,0.0,1.0,0.08,2.0,10,21,0.5,"[25.0, 75.0]",1.2,0.2
0.0,0.0,0.0,4.0,0.06,3.0,10,21,0.5,"[25.0, 75.0]",1.6,0.1
0.01,0.02,0.0,0.0,0.0,1.0,10,21,0.5,"[25.0, 75.0]",1.6,0.15
0.01,0.02,0.0,0.0,0.0,1.0,10,21,0.5,"[25.0, 75.0]",1.6,0.2
0.04,0.03,2.0,0.0,0.0,1.0,10,21,0.5,"[30.0, 70.0]",0.1,0.1
